Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Israel,"2,905",D,D,33,-,694,15,19,D,5,400,62,12,D,80,11,D,6,8,5,-,46,104,28,13,-,11,-,-,38,3,200,4,705,30,-,55,7,15,91,6,16,-,7,72,-,6,3,-,34,22,-,13,-,20
Italy,"2,769",6,-,33,D,326,23,81,8,5,351,40,7,3,98,6,D,4,5,4,D,40,149,65,5,D,5,-,3,32,15,288,3,661,39,-,48,4,8,153,9,10,-,10,49,-,7,11,5,62,31,5,17,-,30
Jamaica,"18,953",28,5,22,6,245,29,672,69,34,"6,367",859,47,3,156,18,-,10,12,9,6,492,409,70,26,6,24,D,6,20,13,"1,102",5,"6,653",187,D,85,8,5,459,11,37,D,24,195,-,23,8,D,240,35,7,31,-,168
Japan,"2,192",9,-,15,D,768,21,10,D,D,96,35,250,3,57,10,-,5,14,3,D,29,30,36,10,D,13,D,4,41,6,93,7,235,36,-,25,5,24,21,D,14,-,9,56,-,17,9,D,48,84,D,7,D,21
Jordan,"2,634",32,D,39,3,525,10,14,D,D,158,38,D,-,274,32,-,21,23,27,-,31,37,137,19,7,17,D,9,15,5,209,7,195,79,3,121,11,10,96,D,10,-,32,180,-,23,-,-,91,18,3,21,-,41
Kazakhstan,872,D,D,11,D,112,8,3,D,-,36,14,3,4,19,D,D,4,D,D,5,29,59,13,18,D,11,-,3,-,5,33,3,195,15,-,14,-,12,43,3,-,D,D,21,-,D,5,-,35,100,-,7,D,10
Kenya,"1,636",14,3,9,3,164,8,9,21,8,97,141,7,D,34,17,5,21,5,3,D,103,95,17,77,4,27,-,4,11,20,117,D,65,75,-,39,11,8,53,D,19,-,14,161,-,D,3,D,54,47,-,10,-,23
Kiribati,D,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea,"17,668",70,54,141,21,"5,682",193,65,33,8,380,708,502,5,821,68,5,49,37,16,13,736,185,142,57,8,58,4,10,149,43,"1,367",19,"2,212",276,D,122,42,115,484,10,66,D,87,534,-,103,34,6,"1,071",582,4,19,D,248
Kuwait,903,12,4,13,D,143,5,4,-,-,64,23,D,-,62,8,D,6,6,8,D,17,17,48,8,D,6,-,3,D,8,48,-,62,53,D,37,7,3,18,D,7,D,17,92,-,6,4,-,33,10,D,12,-,15
Kyrgyzstan,246,D,D,D,-,36,4,D,-,3,8,4,D,-,D,D,-,D,-,D,-,3,12,5,6,-,4,D,-,D,D,11,-,42,-,-,5,D,6,10,D,D,-,-,9,-,D,3,-,7,45,-,D,-,-
Laos,"4,114",25,29,19,43,851,26,55,D,-,112,124,40,3,156,19,28,59,15,23,D,10,100,68,707,D,17,D,28,47,16,15,12,39,282,D,75,8,37,51,53,39,3,56,138,-,-,50,D,59,90,D,390,D,86
Latvia,347,-,D,D,-,48,5,6,-,D,30,5,-,-,28,D,-,D,D,-,D,5,7,10,5,-,5,-,D,D,D,11,D,103,7,-,3,D,3,10,-,4,D,-,5,-,-,D,D,6,12,D,4,-,4
Lebanon,"3,393",19,-,39,5,747,12,24,D,6,266,57,D,-,77,16,-,14,8,8,D,46,267,560,23,D,5,-,D,32,37,136,D,206,70,-,134,25,15,74,14,13,-,14,200,-,D,7,3,121,27,3,8,-,44
Lesotho,7,-,-,D,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Liberia,"2,193",8,-,8,D,78,18,9,18,10,43,163,5,-,25,17,4,-,5,D,-,139,99,28,334,-,7,-,D,D,4,181,D,217,139,D,46,16,3,238,104,11,-,9,64,-,D,-,-,66,11,4,10,-,42
Libya,142,D,-,4,-,23,D,D,-,-,8,D,-,-,11,D,D,D,-,D,-,D,5,7,D,-,D,D,-,-,-,3,D,22,3,-,4,D,-,5,-,3,-,D,9,-,-,-,-,7,7,-,D,-,1
Liechtenstein,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Lithuania,964,3,D,3,D,64,12,18,3,-,74,23,-,-,345,5,D,D,D,D,-,17,29,18,11,D,5,-,D,20,D,66,D,113,8,-,31,D,D,15,7,5,-,3,9,-,-,-,D,18,6,D,13,-,2
Luxembourg,9,-,D,-,-,D,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-
Macau,163,-,-,D,-,86,-,-,-,-,D,3,9,-,D,D,-,-,-,-,-,D,7,-,-,-,-,-,-,3,-,3,-,36,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,D,4,-,D,-,1
Macedonia,837,-,4,15,-,17,D,31,-,D,33,3,-,D,91,37,D,-,D,-,-,D,10,103,D,-,D,-,-,5,D,166,-,206,D,-,34,-,3,9,-,-,-,-,12,-,-,D,-,12,3,-,21,-,6
Madagascar,36,-,-,-,-,8,D,-,-,D,3,-,-,-,-,-,-,-,-,-,D,3,D,-,D,3,-,D,-,-,-,D,-,8,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Malawi,67,-,-,D,-,9,-,D,-,-,4,D,-,-,D,4,D,-,D,-,-,D,D,4,D,-,D,-,-,-,D,D,-,4,5,D,D,D,-,D,-,D,-,4,4,-,-,-,-,D,D,-,-,-,1
Malaysia,"1,264",6,-,16,3,314,13,13,D,D,63,53,20,D,25,D,-,16,D,D,D,25,36,17,17,3,9,-,D,12,6,72,3,225,21,D,17,3,10,40,D,7,-,9,100,-,D,D,-,26,26,D,7,-,10
Maldives,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mali,118,-,-,D,D,7,3,-,-,D,D,7,D,-,D,D,-,-,-,-,-,8,3,-,3,-,-,-,-,-,-,4,-,32,D,-,D,D,-,18,D,-,-,4,-,-,-,D,4,3,D,-,D,-,1
Malta,86,-,-,-,-,7,-,D,-,-,-,D,-,-,D,D,-,D,-,-,-,D,4,11,-,-,D,-,-,D,D,D,-,46,-,-,-,-,D,-,-,D,-,-,-,-,D,-,-,D,D,D,-,-,-
Marshall Islands,14,-,-,-,D,D,-,-,-,-,-,-,5,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-
Martinique,16,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,6,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Mauritania,106,-,-,D,-,4,D,-,-,-,3,3,-,-,3,D,-,-,7,-,-,6,D,3,D,-,D,-,-,-,-,D,-,26,D,-,21,-,-,6,-,-,-,D,5,-,D,-,-,D,D,-,-,-,1
Mauritius,65,-,-,4,-,10,-,-,-,-,3,8,-,-,D,-,-,-,-,-,D,D,-,D,D,-,-,-,D,-,-,5,-,5,D,-,-,-,-,3,-,-,-,-,6,-,-,-,-,11,D,-,-,-,-
Mexico,"83,979",138,54,"4,048",362,"38,210","1,338",104,64,17,"2,284","1,246",178,312,"6,675",636,214,695,129,68,11,201,120,426,379,53,329,19,539,"2,188",48,476,726,"1,113","1,136",13,226,529,673,326,37,173,19,229,"12,796",-,66,598,8,507,"1,318",18,438,43,"1,426"
"Micronesia, Federated States",41,-,-,-,-,D,-,-,-,D,-,D,14,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,4,-,D,-,-,-,-,-,-,-,3,-,4,-,-,D,3,-,-,-,1
Moldova,988,6,-,4,-,208,9,3,-,D,28,42,D,D,18,5,-,D,3,-,-,11,57,6,36,D,9,D,-,7,D,34,-,212,31,-,12,3,16,47,D,-,-,9,12,-,D,6,D,17,114,-,D,D,7
Mongolia,60,-,-,-,-,18,4,D,-,-,D,-,-,-,D,-,D,-,3,-,-,4,D,-,-,-,-,-,-,-,-,3,-,D,-,-,D,D,-,-,-,-,D,-,3,-,-,D,D,7,3,-,D,-,-
Montserrat,96,D,-,-,-,D,-,-,-,-,13,D,-,-,-,-,-,-,-,-,-,D,22,D,-,-,-,-,-,-,-,3,-,43,-,-,-,D,-,-,-,-,-,D,D,-,D,-,-,D,-,-,-,-,2
Morocco,"3,643",5,-,19,6,238,60,67,6,12,477,98,D,-,100,22,D,11,16,D,D,64,420,38,46,3,15,-,6,23,22,154,D,633,162,-,75,27,11,169,15,38,-,10,106,-,D,3,5,363,36,D,17,D,32
Mozambique,62,D,-,D,-,6,-,-,-,-,9,D,D,D,-,-,D,-,-,-,-,D,11,-,-,-,-,-,-,D,-,8,-,3,4,-,-,-,-,D,D,-,-,D,3,-,-,D,-,D,-,-,-,-,1
Namibia,17,-,-,-,-,3,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-,D,-,D,-,D,D,-,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-
Nauru,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,575,5,3,5,-,67,25,5,-,D,9,21,6,D,3,5,-,4,D,D,-,43,27,22,17,-,4,-,10,3,8,12,3,49,20,-,5,6,13,9,D,-,-,4,38,-,-,7,D,75,11,-,8,-,14
Netherlands,"1,008",9,D,28,D,166,19,11,D,4,136,37,7,4,24,7,D,4,4,D,5,26,26,34,17,-,6,D,-,12,8,51,7,77,27,-,33,6,16,23,D,17,D,4,50,-,D,5,4,34,23,D,10,D,12
Netherlands Antilles,33,-,-,-,-,D,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,7,D,-,-,-,-,D,-,D,-,-,3,-,3,-,-,-,D,-,-,-,-
New Caledonia,4,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-
New Zealand,440,D,3,11,-,105,14,-,3,3,27,18,25,D,12,5,-,-,3,D,D,3,11,4,6,-,3,3,D,11,4,15,D,23,14,-,7,D,6,6,D,10,D,5,19,-,D,15,-,4,21,-,-,3,4
Nicaragua,"9,283",4,D,36,8,"1,659",15,22,5,16,"5,676",77,16,5,58,16,3,16,8,32,D,140,42,8,13,D,16,4,4,85,3,189,3,298,130,-,25,4,4,30,5,15,7,12,218,-,10,15,D,204,29,D,21,-,70
Niger,46,-,-,D,-,3,-,-,-,-,D,5,-,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,D,D,-,D,-,3,3,-,4,-,-,D,-,D,-,D,4,-,-,-,-,D,D,-,-,-,10
Nigeria,"8,652",59,6,58,15,689,40,72,38,83,257,842,11,D,410,91,3,28,13,33,D,980,258,180,190,7,79,-,14,19,30,594,10,"1,253",283,D,155,67,15,212,49,43,-,62,"1,068",-,D,10,D,154,34,D,32,D,96
Northern Mariana Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Norway,145,D,-,4,-,14,D,D,-,-,23,D,D,-,3,D,-,-,-,D,D,3,4,D,D,-,-,D,-,7,D,10,-,12,9,-,D,-,D,D,-,D,-,-,11,-,-,3,-,5,7,-,-,-,3
Oman,23,-,-,-,-,3,-,D,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,3,-,-,-,-,3,-,-,-,-,-,D,-,3,-,-,-,-,D,D,-,-,-,1
Pakistan,"10,411",30,D,62,8,"1,185",36,170,36,7,496,355,6,3,743,77,6,34,26,37,3,317,163,233,71,6,74,-,5,45,25,757,7,"2,403",218,5,130,47,11,255,14,44,D,42,"1,110",-,6,18,5,815,97,20,49,3,92
Palau,36,-,-,-,-,5,-,-,-,-,-,-,7,-,-,-,-,D,-,-,-,-,-,D,D,-,-,-,-,D,-,-,-,D,D,-,-,-,D,-,-,D,-,-,4,-,3,-,-,D,6,-,-,-,-
Panama,"1,930",20,4,13,7,162,21,9,4,6,523,109,17,-,25,9,-,14,10,16,-,40,21,11,5,3,12,-,10,20,4,58,D,312,88,D,21,5,3,28,4,20,-,11,114,-,18,7,-,100,11,3,7,-,22
Papua New Guinea,12,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-
Paraguay,285,-,-,D,-,14,3,9,D,4,58,8,D,-,4,-,-,-,D,-,-,10,4,-,D,-,D,-,D,3,-,24,-,91,D,-,3,-,D,D,-,D,-,-,6,-,D,3,-,17,4,-,-,-,3
Peru,"10,063",15,6,54,8,"1,454",56,187,12,14,"2,828",177,29,12,130,25,D,21,14,9,4,258,114,25,30,3,26,D,15,85,11,"1,511",13,"1,364",147,D,42,43,35,118,15,32,D,25,211,-,33,74,7,564,82,7,19,D,92
Philippines,"40,500",96,239,428,72,"16,171",150,291,53,34,"2,145",412,"2,140",36,"2,213",211,33,98,93,53,27,744,241,466,151,47,178,21,47,"1,609",98,"2,345",55,"2,339",548,9,229,107,188,370,38,207,14,191,"1,734",-,596,70,9,"1,253","1,014",37,117,9,424
Poland,"10,230",10,3,79,D,348,62,505,18,D,469,70,13,7,"3,342",52,D,10,5,D,9,64,243,220,27,3,17,D,3,42,24,"1,383",12,"2,246",91,D,112,11,10,278,24,20,3,16,76,-,D,5,D,75,56,3,68,-,85
Portugal,"2,638",-,D,9,-,220,D,103,-,D,110,14,3,3,3,D,-,-,-,4,3,37,827,-,4,D,D,-,-,3,30,684,D,222,12,-,5,D,D,49,176,D,-,-,13,-,-,D,D,53,4,-,4,D,26
Puerto Rico,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Qatar,59,-,-,D,-,6,-,-,-,-,10,3,-,-,3,-,-,D,D,-,-,-,D,5,D,-,4,-,-,-,-,D,-,10,D,-,D,-,-,3,-,-,-,-,D,-,-,-,-,D,D,-,-,-,-
Romania,"5,484",9,4,187,24,681,45,64,5,8,464,288,4,8,518,31,4,10,11,D,4,77,66,521,33,4,32,-,9,72,19,166,9,755,93,4,280,10,137,169,5,29,D,38,192,-,4,10,6,71,216,5,18,-,60
Russia,"9,412",44,50,67,D,"1,481",179,109,10,13,482,197,23,16,294,49,4,32,32,14,29,193,485,103,160,6,66,5,24,49,51,470,20,"2,498",162,5,187,21,104,394,16,44,4,33,246,-,D,47,11,194,520,8,68,8,80
Rwanda,178,D,-,12,-,8,-,3,-,-,9,7,-,-,8,D,-,-,4,D,-,7,6,10,3,-,D,-,-,-,10,7,-,12,8,D,12,-,D,D,-,-,-,13,10,-,-,D,3,5,7,-,D,-,2
Saint Helena,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Kitts-Nevis,483,3,D,-,-,5,D,5,D,D,94,20,-,-,4,-,-,-,-,-,-,13,12,D,D,-,-,D,D,-,D,8,-,137,10,-,D,D,-,8,4,D,-,D,12,-,116,-,-,11,D,-,-,-,2
Saint Lucia,623,-,-,4,D,21,D,24,D,-,105,20,D,-,-,D,-,D,D,D,-,11,10,3,-,-,D,-,-,3,D,24,-,252,12,-,D,-,-,11,-,-,-,D,25,-,57,-,D,16,D,-,D,-,4
Saint Vincent and the Grenadines,624,D,-,D,-,14,-,8,D,5,64,17,D,-,D,D,-,D,-,-,-,13,13,-,-,-,D,-,D,D,D,34,-,393,5,-,D,D,-,16,-,D,-,D,3,-,12,-,-,7,D,-,-,-,2
Samoa,201,-,8,3,-,52,D,-,-,-,4,D,63,D,-,-,-,D,-,-,-,-,D,D,D,-,4,-,-,-,-,D,D,4,3,-,D,-,3,D,-,-,-,D,4,-,-,20,-,3,15,-,-,-,1
San Marino,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sao Tome and Principe,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saudi Arabia,511,D,-,3,D,78,6,D,-,-,42,9,3,-,39,4,-,4,4,D,-,16,6,35,8,-,3,-,-,4,D,25,3,30,23,-,21,-,10,6,-,8,-,3,48,-,-,-,-,41,9,D,D,-,8
Senegal,503,3,D,4,D,33,4,3,-,7,15,30,D,-,9,7,-,D,3,-,-,40,21,12,3,-,D,-,-,4,D,27,D,122,17,-,33,3,D,15,17,D,-,8,14,-,-,-,D,19,7,D,4,-,6
Serbia and Montenegro,"5,555",4,D,92,3,357,35,121,8,12,461,183,13,37,410,50,14,7,70,5,9,42,119,238,44,D,42,-,11,55,53,256,5,"1,673",145,12,118,5,49,181,3,12,12,37,167,-,D,41,7,106,57,-,88,-,82
Seychelles,22,-,-,D,-,D,D,-,D,-,3,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,D,3,-,-,-,-,4,D,-,-,-,-
Sierra Leone,"1,683",D,3,25,D,87,D,10,10,9,26,109,3,-,15,D,D,D,3,D,-,281,43,22,48,D,7,-,D,D,7,165,D,159,70,D,88,4,9,125,5,4,-,17,54,-,-,4,-,220,7,D,4,-,24
Singapore,347,D,D,8,D,109,4,D,D,-,14,7,9,-,10,-,-,D,-,D,-,5,6,4,3,-,3,-,D,D,-,16,-,40,11,D,4,D,7,7,D,D,-,D,25,-,-,3,-,16,13,D,D,-,1
Slovak Republic,479,3,-,D,D,44,7,4,-,D,60,10,3,D,39,5,D,-,-,-,-,7,9,6,D,-,D,-,D,5,4,110,D,68,5,-,13,3,3,19,-,D,-,4,8,-,-,D,-,12,3,D,6,-,6
Slovenia,61,-,-,D,-,9,D,-,-,D,4,D,D,D,4,-,-,-,-,-,-,-,D,D,-,-,3,-,-,-,-,D,-,11,D,-,3,-,D,3,-,-,-,D,3,-,-,-,-,D,D,-,-,-,1
Solomon Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,"4,242",-,D,64,D,170,23,8,-,3,20,198,-,D,59,11,D,7,24,D,112,28,110,64,"1,664",-,69,-,13,8,-,5,-,72,63,25,590,-,72,8,-,D,5,99,90,-,-,24,D,194,253,-,28,D,49
South Africa,"2,225",9,3,29,9,427,54,31,6,7,299,232,10,4,67,19,-,7,9,5,D,38,56,28,20,3,21,D,6,22,11,63,9,128,75,-,27,17,22,44,3,42,D,28,139,-,D,25,6,62,61,D,13,4,17
"Soviet Union, former","3,831",8,8,40,5,525,24,30,D,4,164,58,8,5,335,17,D,5,15,D,6,88,270,101,73,D,10,D,7,14,12,299,6,959,53,-,51,D,171,102,9,11,-,7,68,-,-,11,3,67,113,-,23,D,35
Spain,"1,465",3,D,19,3,197,18,16,-,9,341,29,D,D,31,4,D,3,D,3,D,34,38,14,15,-,6,3,4,9,8,157,3,216,25,D,11,3,9,23,8,8,-,D,50,-,35,10,D,50,14,-,8,-,16
Sri Lanka,"1,023",3,D,11,D,262,9,10,D,4,33,17,7,-,18,9,-,D,5,5,-,93,32,9,25,D,7,-,D,15,D,59,D,144,21,D,15,3,14,35,-,6,D,6,60,-,3,D,-,37,11,D,5,-,12
Sudan,"2,587",9,D,93,-,118,75,30,D,11,55,82,D,3,62,15,19,14,13,6,40,72,64,69,134,-,56,-,133,21,38,46,-,161,183,27,37,D,5,106,-,8,58,64,152,-,D,70,8,244,58,-,12,-,110
Suriname,222,D,-,D,-,9,-,D,4,-,65,9,D,-,-,-,-,-,D,-,-,7,4,D,D,-,-,-,-,D,D,20,-,87,-,-,D,-,-,-,-,D,-,D,D,-,-,-,-,D,D,-,D,-,-
Swaziland,10,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,D,-,-,-,-
Sweden,984,D,3,16,-,226,25,28,D,D,121,27,11,D,16,7,-,D,3,D,D,25,27,12,20,-,D,D,3,10,10,35,3,89,30,-,10,6,17,23,5,4,-,4,41,-,D,6,D,41,38,3,9,D,10
Switzerland,539,-,4,13,-,111,11,7,D,D,73,11,5,D,7,4,-,D,D,D,D,8,14,7,4,D,3,3,D,5,4,31,5,77,22,D,5,-,4,12,D,7,-,3,19,-,D,4,5,19,10,-,D,D,6
Syria,"2,395",4,-,18,5,621,7,22,D,D,140,24,-,-,148,19,-,6,12,3,-,22,92,121,4,D,6,-,5,8,5,136,D,422,27,D,72,18,7,159,14,10,-,14,76,-,D,3,D,65,11,16,8,-,35
Taiwan,"8,819",25,4,72,5,"4,577",42,32,12,5,191,182,80,3,153,35,7,25,19,14,D,179,175,77,36,-,46,-,6,78,18,416,14,706,126,D,109,18,31,95,4,38,-,18,520,-,11,37,3,174,244,D,18,D,131
Tajikistan,147,D,-,-,-,10,10,-,-,-,3,D,-,-,D,-,-,-,-,-,-,D,3,-,D,-,-,-,4,D,D,4,-,89,D,-,-,-,4,D,-,-,-,-,-,-,-,-,-,D,6,-,-,-,1
Tanzania,490,3,-,8,-,50,4,5,-,3,60,32,D,-,14,15,D,6,D,-,3,17,18,8,17,3,4,-,D,4,3,31,D,42,19,-,8,D,D,26,-,13,-,4,35,-,-,D,D,11,5,D,D,D,5
Thailand,"4,583",28,28,48,10,"1,311",45,20,6,4,290,102,73,3,131,23,9,20,19,15,12,126,202,53,204,8,22,D,9,147,21,80,9,238,147,D,73,18,48,99,27,36,D,37,170,-,16,39,8,202,154,D,118,D,66
Togo,536,D,-,12,-,12,D,6,D,3,17,59,D,D,36,5,4,4,D,-,5,56,4,6,44,-,3,-,20,3,-,21,D,86,23,D,17,D,D,14,-,D,-,D,18,-,-,4,D,22,3,-,5,-,6
Tonga,235,-,D,10,-,117,D,-,D,-,D,-,44,D,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,8,-,-,-,-,-,-,-,D,D,-,-,-,-,-,8,-,-,26,-,-,8,-,-,-,2
Trinidad and Tobago,"6,612",13,D,16,6,132,7,34,20,24,"1,477",191,14,D,36,9,-,6,15,10,D,263,138,23,26,6,4,-,D,9,7,417,4,"2,964",102,-,31,15,4,141,10,25,-,10,144,-,26,3,D,141,18,4,3,-,56
Tunisia,315,-,-,D,-,52,7,3,D,4,32,5,-,-,9,5,-,4,-,D,D,15,4,13,6,-,4,-,D,3,3,12,D,41,8,-,7,-,D,24,-,3,-,-,5,-,D,-,-,24,6,-,3,-,2
Turkey,"2,742",6,D,21,3,357,20,46,12,4,223,66,5,D,71,24,D,18,10,D,D,69,106,24,17,D,14,D,8,22,9,359,5,627,59,-,35,6,19,106,9,14,D,10,83,-,D,8,D,149,34,6,7,D,33
Turkmenistan,75,-,-,-,-,18,D,-,-,D,3,3,-,-,D,D,-,-,-,-,-,D,D,-,4,-,D,-,-,-,-,D,D,15,-,-,3,D,D,D,-,-,-,-,D,-,-,-,-,D,D,D,8,-,1
Turks and Caicos Islands,30,-,-,-,-,-,-,D,-,D,17,D,-,-,D,D,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,1
Tuvalu,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U.S. Virgin Islands,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,477,-,-,6,3,61,7,6,5,3,35,25,5,D,15,10,-,D,D,-,D,35,41,8,15,-,D,-,-,D,3,35,D,16,21,-,9,D,D,18,D,8,-,4,30,-,D,5,D,16,5,D,6,-,7
Ukraine,"10,184",19,15,39,9,"1,365",119,78,17,4,371,139,9,17,521,50,5,20,25,9,10,175,319,124,139,6,74,9,19,21,31,554,8,"3,246",127,-,347,14,172,618,17,35,10,29,117,-,-,32,D,123,850,D,48,5,69
United Arab Emirates,277,-,-,5,D,34,D,D,-,-,19,19,-,-,17,3,-,3,-,D,-,3,7,23,13,-,D,-,-,D,D,19,-,36,10,-,D,D,D,8,-,4,-,-,17,-,D,-,D,12,D,-,4,-,2
United Kingdom,"9,104",60,11,183,19,"1,580",126,146,30,29,"1,443",351,42,28,203,73,3,40,34,25,20,211,292,197,75,12,53,12,19,99,86,397,33,798,301,7,180,32,81,276,24,133,4,69,508,-,7,49,17,327,184,15,56,5,99
United States,57,-,-,3,-,6,D,-,-,D,4,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,7,-,6,D,-,D,-,-,3,-,D,-,D,D,-,-,D,-,9,D,-,-,-,2
Uruguay,579,D,D,4,-,53,D,16,-,5,180,12,D,D,D,D,-,-,D,D,D,11,17,4,D,-,-,-,D,4,5,88,-,74,5,D,4,D,D,3,-,5,-,D,22,-,8,6,-,22,-,D,D,-,6
Uzbekistan,"1,821",-,D,25,-,150,15,5,-,-,66,47,3,-,27,4,-,3,-,-,D,22,33,5,7,D,8,D,5,4,D,52,-,"1,125",7,-,37,D,16,44,D,-,-,3,14,-,3,D,-,25,33,-,8,D,13
