Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Somalia,"3,816",-,D,101,D,184,41,7,-,D,8,126,-,-,3,59,17,13,11,28,D,93,32,86,58,"1,295",-,121,-,22,D,-,D,-,46,52,16,618,D,56,11,-,-,-,5,105,99,-,-,35,D,182,224,-,23,-,27
South Africa,"2,980",6,4,86,11,593,90,33,D,7,367,172,D,9,11,102,23,11,12,12,21,6,63,73,33,57,5,35,D,6,35,4,97,5,106,69,D,71,16,42,82,D,6,35,D,43,257,D,D,38,4,76,67,D,41,3,20
"Soviet Union, former","3,538",4,13,45,3,572,59,39,-,5,192,46,-,3,D,287,23,15,19,16,6,6,161,208,65,47,D,26,D,9,21,13,318,6,572,18,3,70,D,135,92,D,6,12,4,20,70,D,-,10,5,95,139,-,26,D,24
Spain,"1,958",3,-,35,D,308,16,17,4,8,430,30,D,D,5,48,7,3,10,8,3,-,47,42,21,17,D,11,D,3,16,5,309,7,179,13,-,24,4,15,25,47,8,9,D,5,104,3,-,13,-,50,19,D,9,-,10
Sri Lanka,"1,377",D,4,13,4,403,9,14,-,5,52,13,D,D,D,33,11,D,12,6,4,-,127,42,23,26,D,14,-,D,23,D,104,3,125,3,-,32,-,13,19,-,8,4,-,8,108,D,-,3,-,60,15,-,12,D,10
Sudan,"2,893",9,5,145,D,147,80,36,D,9,73,81,-,-,4,88,12,104,23,41,3,62,88,68,78,107,14,69,-,159,10,39,38,D,121,100,26,68,D,7,115,-,3,7,56,115,226,-,-,49,6,297,57,D,19,-,22
Suriname,202,-,-,-,-,10,-,D,D,-,72,6,-,D,D,3,-,-,-,-,4,-,4,-,D,D,D,-,-,-,D,-,14,-,51,-,-,-,D,D,7,D,-,-,-,-,9,D,D,-,-,6,-,-,-,-,1
Swaziland,8,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-
Sweden,"1,207",D,D,30,D,347,40,30,3,D,125,27,-,3,3,27,9,D,D,4,3,11,19,42,24,19,D,D,D,3,7,D,54,3,83,33,-,12,7,20,26,-,10,5,-,9,58,-,-,11,3,34,33,D,6,D,5
Switzerland,658,D,D,19,-,174,24,11,-,D,70,13,D,8,7,18,3,D,D,-,3,4,8,24,3,3,-,3,4,-,16,4,26,3,62,7,-,7,D,10,16,-,3,D,-,3,43,D,D,5,-,15,17,D,4,-,2
Syria,"2,105",6,-,20,9,562,9,20,D,5,127,18,-,-,-,167,17,D,11,8,11,-,29,62,124,9,3,13,-,D,16,3,144,D,208,24,-,70,13,11,103,3,19,6,D,15,106,-,D,-,-,79,10,8,14,-,15
Taiwan,"8,711",15,5,82,13,"4,486",65,32,17,9,125,148,11,70,4,163,45,26,36,18,22,D,210,163,112,52,3,71,-,12,86,15,473,17,488,53,-,110,15,61,104,-,6,24,D,27,657,D,-,39,7,208,248,9,24,-,20
Tajikistan,168,-,-,-,-,24,17,D,-,D,9,D,-,-,-,5,-,-,-,-,-,-,D,D,-,D,-,D,-,4,D,D,D,-,48,-,-,3,D,13,D,-,-,-,-,D,3,-,-,-,-,6,20,-,-,-,1
Tanzania,464,D,-,14,-,45,D,6,D,-,56,26,-,3,-,14,5,3,9,D,-,-,22,19,7,7,D,8,-,D,D,D,22,3,18,8,-,26,-,3,15,-,D,10,-,7,60,-,D,D,D,19,10,D,D,-,1
Thailand,"6,930",28,34,78,33,"2,491",76,32,D,12,340,146,5,74,13,207,25,18,47,21,33,16,156,286,91,245,12,54,4,18,190,14,103,13,173,106,4,103,21,103,120,-,43,33,7,71,366,8,-,38,6,248,241,8,271,D,40
Togo,673,8,D,13,-,21,9,15,D,D,17,60,-,D,D,42,14,8,4,12,D,5,84,10,6,40,D,4,-,25,-,-,30,D,70,21,-,22,D,D,24,-,D,D,-,5,19,7,-,3,D,39,7,D,9,-,2
Tonga,421,-,6,19,-,214,-,-,-,-,D,-,-,47,D,-,-,-,D,-,-,-,-,D,-,-,-,D,-,-,7,-,-,-,-,3,-,-,-,5,-,-,-,-,-,-,6,-,-,95,-,-,6,-,D,-,5
Trinidad and Tobago,"7,305",21,3,37,D,170,16,78,24,33,"1,561",267,D,10,D,43,18,5,8,12,12,D,485,192,27,15,3,8,-,5,14,D,571,D,"2,668",70,D,32,15,7,257,3,11,27,D,35,289,5,27,D,D,143,15,3,8,-,39
Tunisia,390,D,-,6,D,58,5,D,-,D,41,8,-,D,D,19,10,-,D,4,-,-,18,10,14,D,-,3,-,D,5,-,17,-,34,3,-,13,-,3,22,-,-,D,-,3,15,D,-,D,-,59,D,-,D,-,3
Turkey,"2,771",7,D,21,8,422,35,64,17,9,215,48,D,3,-,107,21,10,10,8,8,D,103,70,30,26,D,16,-,7,25,9,447,7,356,26,D,44,11,18,102,-,7,13,D,21,164,3,D,D,4,165,38,D,19,3,12
Turkmenistan,99,-,-,-,-,17,D,D,-,-,3,D,-,-,-,3,-,-,D,-,-,-,D,D,3,D,D,-,-,-,D,-,D,D,13,-,-,D,-,3,4,-,-,D,-,D,4,D,-,4,-,4,16,D,5,-,-
Turks and Caicos Islands,33,-,-,D,-,-,-,-,-,-,22,D,-,-,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,1
Tuvalu,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U.S. Virgin Islands,5,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,541,3,-,14,-,86,8,8,D,-,32,29,-,-,-,17,4,4,D,D,3,3,27,54,10,15,D,4,D,-,4,D,39,D,26,7,D,26,D,D,15,-,D,D,-,3,27,-,-,D,-,20,22,D,5,-,5
Ukraine,"10,992",10,17,81,15,"1,807",176,119,10,7,416,153,-,6,54,737,79,17,28,36,11,14,184,318,157,166,5,98,7,54,52,21,605,19,"1,723",92,5,409,24,510,739,-,11,53,24,43,166,6,D,33,D,137,"1,400",4,74,D,54
United Arab Emirates,328,-,D,D,-,48,5,4,-,-,12,8,-,-,-,21,3,D,4,D,-,-,5,4,18,5,-,D,-,D,D,-,22,-,30,5,-,14,3,D,12,-,-,-,D,3,59,-,-,D,-,21,4,-,4,-,-
United Kingdom,"12,095",51,17,322,27,"2,467",323,200,44,25,"1,511",392,D,45,32,332,91,28,40,54,33,30,326,425,275,86,20,83,26,18,114,62,540,36,842,192,4,206,56,183,336,-,28,129,7,104,867,6,D,73,25,472,308,21,91,7,57
United States,67,-,-,D,-,13,-,-,-,-,6,D,-,-,D,D,-,-,-,D,-,-,5,3,-,-,D,-,D,-,D,-,3,-,10,-,-,D,-,-,-,-,D,-,-,D,4,-,-,-,-,5,3,D,-,-,-
Uruguay,924,D,-,15,-,86,3,15,-,3,256,29,-,D,D,6,3,-,-,D,D,-,21,39,4,3,-,D,-,-,6,13,181,D,93,6,-,4,D,4,18,4,D,D,-,8,35,D,-,20,-,22,7,D,-,-,3
Uzbekistan,"1,377",D,-,30,D,179,39,9,-,D,56,22,-,D,3,36,9,-,7,5,-,-,26,32,13,4,-,10,-,9,D,D,56,D,554,8,-,34,3,32,48,-,D,D,-,7,29,D,-,7,-,25,54,-,5,-,13
Vanuatu,3,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,"6,557",20,D,67,10,368,57,55,11,15,"3,341",149,-,11,6,98,33,5,18,18,31,D,88,127,47,23,10,21,D,14,21,3,300,4,315,94,D,61,24,14,74,84,16,39,-,36,494,5,D,71,D,162,27,5,20,D,36
Vietnam,"39,584",198,7,832,135,"15,131",674,227,26,30,"1,473","1,267",5,204,59,562,190,315,310,153,672,58,607,"1,445",354,596,139,440,3,183,304,46,712,131,605,436,19,290,351,719,"1,304",6,36,152,41,294,"4,459",5,D,245,35,"1,381","1,334",21,113,D,247
Yemen,"1,080",7,D,D,D,193,D,7,4,-,D,3,-,-,D,41,10,-,D,D,D,D,11,D,413,3,8,3,-,-,-,-,7,D,245,19,-,8,D,4,4,-,-,D,-,12,9,-,-,-,-,29,8,-,D,D,11
Zambia,290,D,D,16,D,45,3,D,D,D,28,15,D,-,D,17,3,-,D,D,D,-,6,4,4,8,D,4,D,D,D,-,10,-,13,D,-,4,5,3,7,-,-,6,-,6,40,-,-,D,-,11,6,-,D,-,1
Zimbabwe,413,6,D,12,D,54,10,3,-,D,28,26,-,D,-,9,15,D,D,6,D,-,15,17,10,4,D,3,D,5,D,3,7,-,11,13,D,8,3,6,13,-,-,7,-,8,52,-,-,7,3,21,11,D,D,-,-
Unknown,"1,134",4,1,21,3,114,2,4,-,1,260,33,-,4,-,70,4,1,5,11,9,-,15,5,31,3,3,8,-,2,4,1,19,5,22,15,-,33,18,5,6,3,1,16,-,29,251,-,4,4,1,16,8,-,6,-,53
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Korea includes both North and South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Yugoslavia (unknown republic) prior to February 7, 2003.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
