Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Armenia," 2,327 ", D , - , 4 , - ," 1,793 ", 15 , 5 , - , D , 32 , 6 , - , D , D , 6 , D , 3 , D , 3 , D , D , 18 , 39 , 10 , 6 , - , D , - , D , 46 , D , 34 , D , 115 , 11 , - , 15 , - , 5 , 19 , - , 5 , 12 , - , 3 , 32 , D , - , 8 , - , 13 , 22 , - , 4 , - , 26 
Aruba, 54 , D , - , D , - , D , - , D , - , D , 17 , - , - , - , - , D , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , 13 , D , - , D , - , - , D , D , - , - , - , D , 6 , - , D , - , - , - , D , - , - , - , - 
Australia," 1,838 ", 17 , 7 , 39 , 10 , 383 , 77 , 25 , 3 , 9 , 98 , 56 , D , 21 , 8 , 54 , 11 , 16 , 8 , 9 , 10 , 9 , 26 , 48 , 35 , 24 , D , 14 , 6 , 5 , 29 , 8 , 39 , 9 , 182 , 52 , - , 23 , 5 , 28 , 40 , D , 5 , 12 , - , 32 , 155 , - , D , 32 , 4 , 44 , 59 , - , 14 , D , 31 
Austria, 214 , D , D , 8 , D , 35 , 7 , D , D , D , 35 , 6 , - , D , - , D , D , - , D , D , D , D , 8 , 4 , 5 , 3 , - , D , D , D , D , - , 7 , - , 28 , 7 , - , D , - , 3 , D , - , - , D , - , D , 9 , D , - , D , - , 5 , 6 , - , D , - , 4 
Azerbaijan, 597 , - , - , 8 , - , 122 , 10 , D , - , 4 , 25 , 6 , - , - , D , 23 , 4 , - , 5 , 3 , D , - , 13 , 10 , 9 , 3 , D , 5 , - , - , D , D , 15 , - , 152 , 14 , D , 6 , - , 6 , 15 , - , D , - , D , D , 44 , - , - , 4 , - , 24 , 40 , - , 3 , - , 13 
Bahamas, 640 , 10 , D , 4 , 4 , 12 , 6 , 3 , - , D , 366 , 66 , - , 3 , D , 8 , D , D , - , D , 3 , - , 7 , 8 , 3 , 4 , 3 , 3 , - , D , D , - , 7 , - , 22 , 15 , - , 7 , - , D , 9 , - , D , 4 , - , 6 , 29 , - , - , D , - , D , D , D , D , - , 6 
Bahrain, 116 , D , - , D , D , 12 , D , - , - , - , - , 6 , - , - , - , 10 , - , - , 3 , D , D , - , D , D , 4 , D , - , D , - , - , - , - , 7 , D , 9 , 3 , D , D , D , D , 8 , - , - , D , - , - , 21 , - , - , D , - , 4 , D , - , D , - , D 
Bangladesh," 9,067 ", 26 , - , 48 , 15 , 436 , 18 , 117 , 14 , 13 , 430 , 277 , D , 5 , D , 98 , 19 , 4 , 37 , 5 , 14 , 7 , 177 , 180 , 718 , 58 , 4 , 16 , D , 3 , 31 , D , 451 , 8 ," 4,064 ", 65 , - , 50 , 23 , 26 , 312 , - , D , 10 , D , 26 , 632 , D , 3 , D , D , 400 , 34 , D , 22 , - , 153 
Barbados, 625 , 3 , - , D , - , 15 , - , 7 , - , 3 , 85 , 33 , - , - , - , D , 4 , - , - , 3 , D , D , 13 , 46 , 3 , 3 , - , - , - , - , 3 , - , 32 , - , 272 , 17 , - , 5 , - , D , 28 , - , D , 4 , - , 3 , 14 , - , - , - , - , 10 , D , - , D , - , 9 
Belarus," 1,730 ", 3 , 3 , 15 , - , 232 , 39 , 19 , 5 , 6 , 152 , 40 , - , D , 3 , 100 , 9 , 3 , 4 , 5 , D , D , 33 , 74 , 18 , 68 , - , 8 , 5 , D , 10 , 4 , 76 , 3 , 333 , 42 , - , 26 , D , 18 , 120 , - , 5 , 20 , - , 4 , 46 , - , - , 4 , - , 45 , 78 , D , 17 , - , 26 
