Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
Bermuda,58,D,-,D,-,6,D,D,D,-,4,D,-,-,D,D,-,-,D,-,-,D,4,-,-,D,-,-,-,D,-,5,-,3,-,-,D,-,-,D,D,-,-,D,5,-,-,4,-,-,D,-,-,2
Bolivia,"1,361",-,D,6,D,215,12,6,D,11,103,7,D,D,12,4,-,D,7,3,-,94,12,3,7,-,4,-,D,3,D,43,5,127,8,-,7,D,D,6,19,D,-,D,62,6,-,535,D,D,5,-,4,7
Bosnia-Herzegovina,"8,921",10,D,315,4,587,147,108,D,4,659,253,D,220,933,129,D,20,250,12,10,38,229,598,164,D,387,-,55,84,63,93,4,572,118,25,288,5,116,336,8,3,67,132,347,317,125,189,281,-,105,-,-,503
Brazil,"4,583",6,4,32,4,701,43,170,D,5,813,56,25,4,75,12,-,12,15,6,5,98,694,42,21,3,19,D,5,38,14,423,6,476,46,D,32,15,13,68,23,9,-,25,211,61,4,121,53,D,22,D,9,36
Bulgaria,"2,906",D,-,37,D,433,54,24,6,4,154,75,4,5,647,17,4,14,28,8,10,64,130,82,31,D,25,-,3,82,8,80,D,246,27,D,64,3,31,88,D,13,3,20,98,10,7,91,122,3,23,D,D,16
Burma,"1,360",-,-,4,3,705,4,6,-,-,25,8,8,D,35,41,-,D,D,-,3,40,52,9,18,-,D,-,D,6,D,26,D,214,3,-,9,5,9,11,D,-,-,D,25,D,-,22,39,D,3,-,D,9
Burundi,56,-,-,6,-,D,-,D,-,D,D,D,-,-,-,D,-,-,-,-,-,D,3,-,D,-,-,-,D,-,-,-,-,5,D,D,D,-,-,D,-,-,-,6,12,-,-,6,D,-,-,-,-,-
Cambodia,"4,806",7,6,22,D,"1,774",39,69,D,-,71,58,8,3,59,13,10,36,19,9,67,29,768,40,187,3,12,-,4,13,7,9,3,73,41,-,129,5,54,230,91,12,3,20,190,44,D,95,411,D,18,-,-,39
Cameroon,661,-,D,D,3,50,4,3,5,7,8,38,D,D,19,5,-,8,3,D,D,144,41,10,22,5,D,-,D,6,-,29,D,38,9,-,27,4,D,10,D,D,-,3,83,D,-,34,6,D,9,-,-,9
Canada,"7,815",22,23,228,18,"1,443",165,154,10,21,712,144,70,43,201,67,3,24,49,33,103,102,289,392,118,15,57,52,14,102,92,176,27,474,183,20,193,35,130,179,22,32,10,106,502,84,72,170,440,21,71,5,6,91
Cape Verde,933,-,-,-,-,7,-,26,-,D,7,D,-,-,-,-,-,-,-,D,-,D,673,-,-,-,-,-,-,-,D,7,-,10,D,-,D,D,-,D,179,-,-,-,-,-,-,3,-,-,-,-,-,10
Chile,"1,183",6,D,17,D,262,14,21,4,D,193,11,7,3,17,3,-,-,-,4,D,30,39,5,8,D,D,-,D,17,D,91,3,195,18,-,12,-,13,13,D,4,-,3,44,31,-,40,13,D,4,-,12,11
"China, People's Republic","31,708",45,14,159,28,"12,659",168,263,46,35,363,219,448,38,965,116,D,64,56,44,35,621,"1,419",358,179,28,113,12,30,166,36,"1,037",28,"7,061",195,-,454,60,386,773,60,43,11,101,"1,047",109,26,515,663,20,133,D,63,188
Colombia,"11,396",10,11,48,9,864,45,323,15,8,"2,908",190,24,5,212,32,D,14,23,23,5,132,378,50,31,9,18,6,10,53,28,"1,742",13,"2,374",135,4,66,31,30,213,141,44,D,50,506,37,D,219,60,4,39,D,81,117
"Congo, Democratic Republic",122,-,-,4,-,14,D,D,-,D,4,6,D,-,3,5,-,-,D,D,9,10,4,D,4,-,-,-,-,-,-,D,-,7,8,-,6,-,4,-,-,D,-,D,13,D,-,3,D,-,D,-,-,2
