Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
Denmark," 1,193 ", D , 3 , 20 , D , 295 , 25 , 27 , D , 4 , 67 , 33 , - , 10 , 6 , 29 , 5 , 3 , 5 , 5 , D , 9 , 37 , 53 , 13 , 11 , D , 5 , 3 , 4 , 8 , 14 , 61 , 8 , 77 , 29 , - , 15 , D , 26 , 27 , D , D , 10 , - , 13 , 76 , - , 3 , 5 , 4 , 34 , 80 , - , 17 , - , 1 ,
Djibouti, 52 , - , D , D , - , D , 4 , - , - , D , - , D , - , - , - , - , - , - , - , D , - , 4 , 4 , 3 , - , 10 , - , - , - , - , - , - , - , - , - , - , D , 3 , - , - , 5 , - , - , - , - , - , 3 , - , - , D , - , D , 5 , - , - , - , - ,
Dominica, 610 , D , 5 , D , - , 12 , D , 16 , - , D , 78 , 30 , - , - , - , 7 , D , - , D , D , 3 , - , 16 , 17 , D , - , D , D , - , - , D , - , 46 , - , 146 , 6 , D , 3 , 3 , - , 7 , D , - , D , - , D , 39 , D , 143 , - , - , 5 , 6 , - , - , - , 3 ,
Dominican Republic," 31,320 ", 13 , 27 , 26 , 6 , 110 , 24 , 587 , 34 , 51 ," 2,774 ", 224 , - , D , 4 , 97 , 46 , 7 , 13 , 12 , 95 , 11 , 306 ," 2,974 ", 89 , 14 , 24 , 24 , D , 8 , 38 , 110 ," 5,148 ", 5 ," 13,297 ", 322 , 5 , 125 , 15 , 8 ," 1,463 "," 1,774 ", 718 , 61 , D , 34 , 220 , 6 , 119 , 31 , 4 , 117 , 24 , 4 , 41 , D , 25 ,
Ecuador," 8,568 ", 7 , D , 23 , 4 , 408 , 22 , 407 , 9 , 7 ," 1,225 ", 96 , D , 5 , 5 , 272 , 13 , 7 , 14 , 11 , 13 , 3 , 133 , 124 , 24 , 84 , 7 , 14 , D , 6 , 28 , 10 ," 1,703 ", 5 ," 2,984 ", 175 , D , 31 , 6 , 15 , 132 , 34 , 21 , 34 , D , 36 , 203 , - , - , 43 , D , 90 , 38 , 4 , 13 , - , 12 ,
Egypt," 5,696 ", 6 , D , 34 , 6 , 984 , 19 , 40 , 28 , 6 , 303 , 51 , - , 6 , 3 , 107 , 41 , 12 , 12 , 19 , 15 , 5 , 74 , 189 , 86 , 66 , 6 , 17 , - , 4 , 16 , 8 ," 1,013 ", 7 , 784 , 116 , 3 , 97 , 12 , 39 , 215 , D , 16 , 48 , D , 411 , 322 , - , D , 7 , - , 328 , 75 , 5 , 22 , 3 , 5 ,
El Salvador," 17,213 ", 10 , 10 , 116 , 140 ," 5,964 ", 122 , 79 , 14 , 151 , 609 , 324 , - , 7 , 15 , 122 , 70 , 55 , 58 , 22 , 27 , 7 ," 1,420 ", 569 , 40 , 73 , 10 , 43 , D , 68 , 416 , 9 , 612 , 24 ," 1,483 ", 366 , 4 , 42 , 36 , 78 , 63 , 13 , 33 , 46 , 12 , 68 ," 2,136 ", 4 , 3 , 82 , D ," 1,331 ", 162 , 14 , 16 , D , 10 ,
Equatorial Guinea, 18 , - , - , - , - , 3 , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , D , - , - , - , - , - , - , - , 5 , - , - , - , - , D , D , - , D , - , - ,
Eritrea," 1,797 ", D , - , 37 , D , 243 , 65 , 5 , D , 43 , 25 , 68 , - , - , 7 , 38 , 16 , 25 , 9 , 15 , 6 , 3 , 114 , 32 , 11 , 57 , D , 34 , D , D , 49 , - , 8 , - , 53 , 80 , D , 73 , 16 , 20 , 42 , - , 6 , 6 , 20 , 20 , 196 , - , - , 15 , - , 110 , 210 , D , 5 , - , 3 ,
Estonia, 183 , D , D , D , - , 16 , D , 4 , D , - , 33 , 5 , - , 3 , - , 7 , - , - , - , - , D , D , 4 , 4 , D , D , - , D , - , - , 4 , - , 11 , D , 23 , 8 , D , 4 , D , D , 5 , - , D , D , - , - , 7 , - , - , - , D , 8 , 12 , - , D , - , 1 ,
Ethiopia," 8,725 ", 8 , 3 , 81 , 4 , 816 , 349 , 19 , 7 , 327 , 87 , 512 , - , D , D , 132 , 52 , 69 , 59 , 30 , 9 , 12 ," 1,066 ", 166 , 53 , 594 , 3 , 68 , D , 34 , 297 , 3 , 58 , 9 , 176 , 144 , 27 , 234 , 27 , 109 , 119 , - , 9 , 14 , 71 , 130 , 744 , D , - , 10 , D , 984 , 914 , 27 , 35 , D , 14 ,
Falkland Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Fiji, 996 , 3 , - , 11 , - , 717 , 3 , D , - , - , 14 , 7 , 3 , 6 , D , D , D , - , D , - , - , - , - , D , 6 , D , - , D , D , - , 7 , - , D , - , D , D , - , 4 , D , 25 , 5 , - , - , D , - , D , 15 , D , - , D , D , 7 , 140 , - , - , - , - ,
Finland, 303 , D , D , 3 , D , 57 , 6 , 3 , - , 3 , 42 , 15 , - , D , - , 5 , 3 , - , D , D , D , 3 , 10 , 7 , 9 , 7 , - , D , D , - , - , - , 10 , 3 , 20 , 6 , D , 5 , D , 4 , 6 , - , - , 3 , D , 3 , 20 , - , - , 9 , - , 6 , 17 , D , D , - , 2 ,
France," 2,841 ", 6 , 3 , 38 , D , 719 , 38 , 37 , 5 , 34 , 325 , 72 , - , 7 , 10 , 68 , 8 , 4 , 7 , 4 , 21 , 5 , 80 , 124 , 46 , 36 , D , 14 , D , - , 32 , 11 , 100 , 11 , 387 , 33 , D , 23 , 10 , 47 , 63 , 5 , 12 , 23 , D , 9 , 144 , D , - , 20 , 6 , 72 , 81 , D , 26 , D , 5 ,
French Polynesia, 18 , - , - , - , - , D , - , - , - , - , D , - , - , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , 5 , - , - , - , - , - , - , - ,
Gabon, 83 , D , - , - , - , 6 , 3 , D , - , D , D , 7 , - , - , - , D , - , D , - , - , - , - , 12 , D , - , D , - , D , - , - , D , - , D , - , 10 , 3 , - , 3 , D , D , D , - , - , - , - , - , 12 , - , - , - , D , 3 , D , - , D , - , - ,
Gambia, 724 , 3 , 5 , 4 , D , 11 , 5 , 4 , D , D , 20 , 78 , - , - , - , 8 , 3 , D , 11 , 13 , D , D , 55 , 11 , 16 , 19 , - , 7 , - , 3 , D , D , 10 , - , 174 , 22 , D , 25 , D , 6 , 9 , - , 7 , 5 , D , 11 , 42 , - , - , D , - , 7 , 88 , - , 24 , - , 2 ,
Georgia, 988 , D , D , 4 , D , 168 , 12 , 12 , D , D , 22 , 11 , - , - , - , 15 , D , D , - , 5 , D , D , 20 , 17 , 10 , 4 , 3 , D , - , - , D , D , 107 , - , 414 , 12 , - , 16 , D , 7 , 41 , D , - , 6 , - , D , 16 , - , - , D , D , 15 , 23 , - , 4 , D , 1 ,
Germany," 4,329 ", 42 , 16 , 103 , 16 , 734 , 117 , 52 , 12 , 18 , 389 , 155 , D , 31 , 22 , 121 , 35 , 16 , 25 , 30 , 19 , 10 , 103 , 124 , 125 , 31 , 3 , 39 , 11 , 7 , 47 , 12 , 136 , 33 , 315 , 146 , 7 , 82 , 29 , 88 , 116 , D , 14 , 68 , 3 , 67 , 247 , 8 , 4 , 23 , 19 , 165 , 197 , 10 , 54 , 8 , 22 ,
Ghana," 6,411 ", 9 , 10 , 38 , 13 , 183 , 105 , 161 , 35 , 7 , 109 , 308 , - , D , - , 238 , 42 , 17 , 13 , 31 , 14 , D , 571 , 384 , 53 , 81 , 4 , 32 , 4 , 11 , 16 , 6 , 588 , 9 ," 1,299 ", 149 , 31 , 394 , 51 , 21 , 172 , D , 21 , 36 , D , 46 , 381 , 13 , D , 13 , D , 559 , 72 , 10 , 25 , 4 , 14 ,
Gibraltar, 5 , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - ,
Greece," 1,013 ", 3 , - , 10 , D , 114 , 6 , 27 , 4 , 3 , 57 , 12 , - , - , - , 65 , 5 , D , D , D , 3 , 4 , 39 , 101 , 22 , D , - , 5 , D , - , 9 , 12 , 74 , D , 247 , 20 , D , 16 , 4 , 5 , 43 , - , D , 9 , - , 6 , 29 , D , D , 3 , 4 , 17 , 13 , D , 3 , - , 1 ,
Greenland, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Grenada, 658 , - , D , D , - , 7 , - , 6 , D , D , 48 , 15 , - , - , - , 3 , - , - , - , D , D , - , 25 , 10 , 4 , - , - , D , D , - , D , - , 28 , - , 442 , 5 , - , D , D , - , 14 , - , D , D , - , D , 22 , - , D , - , - , 4 , 3 , - , - , - , 1 ,
Guatemala," 9,764 ", 41 , 9 , 99 , 50 ," 3,735 ", 70 , 143 , 25 , 15 , 686 , 230 , - , 4 , 14 , 330 , 50 , 48 , 26 , 22 , 43 , D , 296 , 368 , 37 , 47 , 6 , 38 , - , 93 , 230 , 6 , 456 , 26 , 590 , 145 , D , 45 , 70 , 132 , 79 , 11 , 251 , 30 , 21 , 85 , 534 , D , - , 76 , D , 299 , 114 , 3 , 14 , D , 14 ,
Guinea," 1,077 ", 11 , - , - , D , 17 , 10 , 13 , - , 6 , 4 , 69 , - , D , D , 13 , 14 , 7 , - , D , D , - , 81 , 38 , 18 , 18 , 3 , 7 , - , - , D , D , 35 , - , 492 , 13 , - , 55 , D , - , 58 , - , 5 , - , D , 11 , 20 , - , - , 4 , - , 18 , 21 , D , D , - , 3 ,
Guinea-Bissau, 20 , - , - , - , - , D , - , - , - , - , D , D , - , - , D , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , D , - , 3 , - , - , D , - , - , - , - , 3 , - , - , - , - , - , - , - , - , D , - , - , D , - , - ,
Guyana," 5,284 ", 3 , D , 7 , 4 , 58 , D , 88 , 20 , 6 , 435 , 132 , - , D , - , 12 , 4 , 4 , 5 , 6 , 3 , - , 133 , 44 , 7 , 52 , 3 , 10 , - , D , 8 , - , 445 , D ," 3,478 ", 37 , - , 29 , D , D , 73 , 3 , - , 10 , - , 15 , 62 , - , 4 , - , - , 52 , 14 , D , D , - , 5 ,
Haiti," 15,276 ", 8 , - , 13 , - , 88 , 19 , 343 , 76 , D ," 7,105 ", 293 , - , D , 3 , 82 , 30 , 7 , 8 , 17 , 43 , 8 , 230 ," 1,737 ", 32 , 8 , D , 38 , - , D , 14 , 12 ," 1,143 ", D ," 2,942 ", 86 , 15 , 46 , 22 , 11 , 396 , 6 , 60 , 33 , D , 37 , 65 , 4 , 24 , 19 , - , 80 , 35 , 3 , 3 , D , 21 ,
Honduras," 5,819 ", 19 , 3 , 38 , 14 , 656 , 33 , 54 , 11 , 14 ," 1,294 ", 145 , - , 4 , 4 , 108 , 58 , 16 , 23 , 20 , 229 , D , 185 , 175 , 33 , 22 , 20 , 37 , D , 20 , 54 , 4 , 387 , 15 , 674 , 198 , 3 , 31 , 23 , 31 , 61 , 9 , 7 , 50 , D , 60 , 616 , D , - , 18 , D , 265 , 40 , D , 17 , D , 10 ,
Hong Kong," 1,662 ", D , - , 16 , D , 660 , 10 , 15 , D , 4 , 30 , 26 , D , 22 , 3 , 23 , 7 , D , 8 , D , 7 , - , 28 , 77 , 19 , 9 , - , 9 , D , 4 , 20 , - , 65 , - , 257 , 13 , - , 19 , 6 , 22 , 25 , D , 3 , 4 , D , 3 , 72 , D , - , 11 , - , 29 , 107 , 3 , 5 , - , 5 ,
Hungary, 934 , D , D , 8 , D , 169 , 18 , 21 , D , D , 184 , 21 , - , 5 , - , 17 , 6 , - , D , D , D , D , 19 , 21 , 10 , 7 , D , 5 , - , D , 28 , 3 , 55 , D , 132 , 11 , - , 18 , D , 19 , 23 , D , D , 6 , - , 7 , 38 , D , - , 6 , 3 , 19 , 27 , - , 3 , - , 2 ,
Iceland, 88 , D , - , 4 , D , 12 , D , D , - , - , 12 , D , - , - , D , - , - , - , - , - , - , D , D , 4 , - , - , D , - , - , - , D , - , D , - , 4 , - , - , - , D , D , 4 , - , D , 4 , - , D , 4 , - , - , - , - , 5 , 9 , D , 5 , - , 1 ,
India," 46,188 ", 288 , 8 , 442 , 145 ," 10,298 ", 293 , 576 , 194 , 39 ," 1,381 "," 1,818 ", D , 19 , 32 ," 2,779 ", 414 , 131 , 217 , 185 , 168 , 31 ," 1,200 "," 1,215 ", 960 , 370 , 95 , 326 , 12 , 60 , 153 , 114 ," 5,312 ", 60 ," 2,954 "," 1,077 ", 33 , 943 , 209 , 323 ," 1,643 ", 5 , 46 , 306 , 16 , 470 ," 4,670 ", 3 , D , 72 , 17 ," 1,916 "," 1,708 ", 40 , 326 , 10 , 61 ,
Indonesia," 1,641 ", 5 , 3 , 18 , 4 , 611 , 54 , 8 , D , 3 , 43 , 38 , - , 13 , 9 , 26 , 4 , 10 , D , 6 , 5 , 4 , 37 , 21 , 18 , 12 , D , 8 , D , D , 26 , 25 , 44 , 3 , 118 , 15 , D , 22 , 9 , 21 , 89 , - , D , 6 , 3 , 6 , 117 , D , - , 9 , D , 34 , 115 , - , 5 , - , 3 ,
Iran," 9,507 ", 15 , D , 144 , 7 ," 5,404 ", 76 , 35 , 6 , 21 , 209 , 200 , D , 11 , 23 , 151 , 29 , 9 , 26 , 35 , 15 , D , 342 , 163 , 91 , 42 , 7 , 31 , D , 15 , 97 , 4 , 89 , 9 , 280 , 70 , 5 , 75 , 56 , 91 , 68 , D , 3 , 12 , - , 65 , 750 , - , - , 41 , D , 355 , 281 , 8 , 25 , D , 7 ,
Iraq," 12,130 ", 20 , 4 , 541 , 9 ," 2,786 ", 145 , 59 , 4 , 6 , 188 , 142 , - , D , 64 , 723 , 54 , 64 , 32 , 191 , 30 , 84 , 120 , 289 ," 2,571 ", 149 , D , 168 , D , 119 , 53 , 35 , 59 , 42 , 326 , 114 , 37 , 195 , 53 , 133 , 180 , - , 12 , 19 , 19 , 255 ," 1,020 ", - , - , 98 , 6 , 436 , 383 , D , 61 , D , 25 ,
Ireland," 1,383 ", 3 , D , 12 , D , 223 , 20 , 30 , D , 6 , 76 , 24 , - , 3 , D , 62 , 4 , D , D , 15 , D , 3 , 18 , 179 , 14 , 13 , D , 8 , D , D , 5 , 6 , 62 , D , 304 , 16 , - , 18 , 3 , 19 , 47 , - , 12 , 10 , D , 7 , 51 , - , D , D , D , 26 , 47 , D , 10 , - , 3 ,
Israel," 3,071 ", 11 , D , 36 , - , 763 , 27 , 34 , D , 10 , 312 , 58 , - , 6 , - , 88 , 14 , 8 , 6 , 6 , 16 , - , 58 , 89 , 43 , 4 , D , 17 , - , D , 62 , D , 234 , 4 , 642 , 32 , D , 45 , 5 , 24 , 70 , - , D , 24 , - , 31 , 160 , D , D , D , 3 , 37 , 57 , 4 , 8 , - , 8 ,
Italy," 2,692 ", 3 , D , 29 , 4 , 416 , 29 , 67 , 5 , 17 , 310 , 24 , 3 , 9 , D , 92 , 12 , 4 , D , 4 , 12 , 3 , 52 , 122 , 87 , 10 , D , 21 , D , D , 22 , 5 , 199 , 10 , 554 , 59 , D , 39 , 7 , 18 , 113 , 9 , 21 , 13 , - , 8 , 87 , D , - , 17 , D , 69 , 63 , D , 16 , D , 11 ,
Jamaica," 16,772 ", 25 , 4 , 47 , 6 , 285 , 50 , 889 , 67 , 38 ," 4,516 ", 850 , D , 7 , D , 220 , 30 , 5 , 9 , 12 , 36 , 17 , 551 , 502 , 87 , 26 , 32 , 49 , 4 , 4 , 29 , 16 ," 1,021 ", 6 ," 5,607 ", 185 , 11 , 92 , 34 , 12 , 506 , 3 , 27 , 123 , D , 32 , 316 , 14 , 7 , 6 , 17 , 217 , 42 , 11 , 35 , D , 29 ,
Japan," 1,758 ", 9 , 5 , 23 , D , 616 , 22 , 15 , D , 6 , 46 , 31 , 13 , 154 , D , 37 , 9 , 5 , 7 , 14 , 3 , 4 , 24 , 21 , 20 , 8 , 5 , 8 , D , 6 , 26 , 7 , 51 , 8 , 163 , 20 , D , 29 , D , 29 , 33 , - , - , 5 , D , 12 , 62 , D , D , 12 , D , 48 , 109 , 5 , 5 , - , 7 ,
Jordan," 2,552 ", 24 , D , 33 , 10 , 400 , 21 , 14 , D , 3 , 139 , 40 , - , - , D , 307 , 28 , 7 , 18 , 33 , 68 , D , 34 , 49 , 138 , 28 , 7 , 39 , - , 5 , 6 , 3 , 175 , 6 , 157 , 76 , D , 153 , 11 , 18 , 55 , 3 , - , 22 , - , 52 , 201 , - , 4 , 7 , D , 72 , 32 , 3 , 40 , - , 4 ,
Kazakhstan, 760 , - , D , 6 , - , 118 , 13 , 8 , - , 4 , 42 , 6 , - , D , 3 , 23 , D , 5 , 3 , 8 , 4 , D , 26 , 23 , 7 , 11 , 3 , 12 , - , - , 4 , - , 34 , - , 130 , 10 , - , 18 , 5 , 26 , 33 , - , - , 14 , D , 3 , 36 , 3 , - , D , D , 37 , 66 , - , 4 , - , - ,
Kenya," 4,834 ", 62 , D , 82 , 13 , 346 , 67 , 19 , 61 , 16 , 112 , 269 , D , 3 , 5 , 75 , 86 , 58 , 102 , 29 , 7 , 20 , 256 , 332 , 69 , 319 , 7 , 114 , - , 20 , 22 , 26 , 187 , 12 , 145 , 169 , 23 , 136 , 51 , 29 , 136 , - , 7 , 40 , 3 , 50 , 729 , 4 , D , 11 , 8 , 116 , 336 , 3 , 15 , 3 , 19 ,
Kiribati, D , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - ,
"Korea, North", 16 , - , - , - , - , D , D , D , - , - , - , 3 , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , 4 , D , - , - , - , - ,
"Korea, South"," 14,347 ", 123 , 32 , 138 , 16 ," 4,525 ", 193 , 91 , 19 , 23 , 257 , 711 , 33 , 160 , 7 , 475 , 59 , 17 , 37 , 39 , 31 , 12 , 522 , 237 , 171 , 44 , 13 , 103 , 5 , 10 , 100 , 15 ," 1,120 ", 20 ," 1,478 ", 171 , 4 , 126 , 122 , 98 , 317 , D , 17 , 93 , 4 , 81 , 774 , 34 , D , 30 , 7 , 805 , 706 , 7 , 32 , - , 80 ,
Kosovo, 530 , - , - , 6 , - , 12 , D , 34 , - , 3 , 20 , 15 , - , - , 3 , 22 , - , 5 , D , 6 , D , D , 6 , 8 , 39 , D , - , 7 , - , D , - , - , 20 , D , 200 , 9 , D , 3 , 7 , 3 , 20 , - , - , D , D , 10 , 25 , - , - , D , D , 11 , 5 , - , 13 , - , - ,
Kuwait, 790 , 11 , D , 17 , 5 , 103 , 6 , 4 , D , 5 , 38 , 10 , - , - , 5 , 39 , 14 , 5 , 4 , 5 , 11 , 6 , 17 , 24 , 49 , 15 , - , 7 , - , D , D , D , 31 , D , 60 , 24 , - , 35 , 9 , 5 , 24 , D , D , 4 , D , 11 , 121 , D , - , D , - , 25 , 18 , D , 6 , - , 3 ,
Kyrgyzstan, 408 , - , 4 , 5 , - , 55 , 7 , - , - , 3 , 14 , 5 , - , - , D , 23 , - , 3 , 3 , D , 3 , - , 7 , 12 , D , 12 , - , 3 , - , D , 4 , - , 13 , D , 76 , 9 , - , 13 , D , 13 , 21 , - , - , 4 , - , D , 11 , D , - , D , D , 16 , 52 , D , D , - , 2 ,
Laos," 1,999 ", 6 , 12 , 9 , 62 , 476 , 16 , 20 , - , D , 36 , 60 , - , 21 , 4 , 24 , 4 , 17 , 26 , D , 15 , 4 , 6 , 25 , 57 , 341 , - , 8 , - , 3 , 20 , 3 , 10 , 5 , 15 , 91 , D , 28 , 39 , 43 , 19 , - , 23 , 9 , D , 79 , 73 , - , - , 4 , D , 16 , 84 , D , 172 , - , 6 ,
Latvia, 356 , D , - , D , - , 55 , 5 , 6 , D , - , 42 , 8 , - , D , - , 25 , D , D , D , D , - , D , 8 , 12 , 7 , 5 , - , D , - , - , D , D , 16 , D , 47 , 14 , - , 11 , 3 , 6 , 4 , - , - , 6 , D , D , 9 , - , - , 3 , - , 10 , 22 , - , 8 , D , 1 ,
Lebanon," 2,284 ", 10 , D , 26 , - , 421 , 17 , 19 , D , 8 , 108 , 41 , - , D , D , 47 , 15 , 12 , 9 , 4 , 6 , D , 25 , 171 , 562 , 19 , D , 7 , - , D , 17 , 6 , 72 , 4 , 124 , 26 , D , 67 , 19 , 5 , 45 , D , 10 , 10 , D , 13 , 187 , - , - , 7 , - , 67 , 46 , - , 4 , 5 , 7 ,
Lesotho, 9 , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Liberia," 3,022 ", 3 , - , 61 , D , 68 , 22 , 21 , 47 , D , 26 , 137 , - , - , - , 35 , 32 , 78 , 3 , 35 , 9 , - , 245 , 111 , 39 , 335 , - , 40 , D , 3 , 4 , 5 , 211 , D , 187 , 106 , 87 , 62 , 12 , 18 , 518 , - , 120 , 15 , 22 , 29 , 141 , D , D , 14 , D , 64 , 19 , D , 16 , - , 10 ,
Libya, 210 , D , - , 3 , D , 35 , 8 , 5 , - , - , 14 , 5 , D , - , - , 5 , 3 , D , - , D , D , D , D , 5 , 11 , D , D , - , - , - , D , - , 13 , - , 17 , 3 , D , 5 , 4 , D , 7 , - , - , D , - , D , 23 , - , D , D , - , 9 , 7 , D , D , - , 1 ,
Lithuania, 626 , - , - , 3 , D , 46 , 13 , 16 , 4 , D , 63 , 17 , - , D , - , 233 , 4 , - , D , D , - , - , 11 , 21 , 8 , 6 , D , - , D , D , 9 , D , 15 , - , 59 , 10 , D , 14 , D , D , 10 , - , - , 4 , - , 3 , 13 , - , - , D , - , 10 , 8 , D , 4 , D , 1 ,
Luxembourg, 18 , - , - , D , D , 3 , D , D , - , D , - , - , - , - , - , - , - , D , - , - , - , - , D , D , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , D , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - ,
Macau, 101 , - , - , D , - , 50 , 3 , D , - , - , - , D , - , 5 , - , D , - , D , - , - , - , - , D , 3 , D , - , - , D , - , - , D , - , - , - , 11 , D , - , D , - , - , D , - , - , - , - , - , 5 , - , - , D , - , D , 4 , - , D , - , 1 ,
Macedonia, 704 , - , 10 , 5 , D , 29 , 3 , 30 , - , - , 44 , 5 , - , - , - , 97 , 38 , - , D , - , D , D , - , 12 , 65 , D , 4 , 8 , - , - , 8 , D , 136 , - , 110 , 3 , - , 24 , D , D , 8 , - , D , - , D , - , 18 , D , - , D , - , 8 , 5 , - , 16 , D , 1 ,
Madagascar, 75 , D , - , D , - , 10 , - , - , - , D , 7 , - , D , - , - , - , - , D , - , - , - , - , 8 , D , D , D , - , - , - , - , - , D , 3 , - , 10 , D , - , 3 , - , - , - , - , - , 5 , - , - , 4 , - , - , - , - , 8 , 3 , - , - , - , - ,
Malawi, 95 , 3 , - , D , D , 9 , D , D , - , - , 5 , 10 , - , - , D , 4 , D , D , D , - , - , - , 3 , 3 , 5 , - , - , D , - , - , D , - , 3 , - , 5 , D , - , 5 , D , - , 4 , - , - , - , - , D , 12 , - , - , D , - , D , 4 , - , - , - , - ,
Malaysia," 1,189 ", 4 , D , 18 , 6 , 248 , 13 , 9 , D , D , 30 , 39 , D , 4 , D , 32 , 7 , 4 , 8 , 7 , 3 , - , 20 , 31 , 17 , 20 , 4 , 17 , D , D , 12 , D , 51 , D , 221 , 18 , - , 19 , 13 , 15 , 27 , - , D , 5 , - , 18 , 113 , - , - , 5 , D , 37 , 69 , - , 6 , D , 3 ,
Maldives, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Mali, 456 , D , - , D , - , 10 , 9 , D , D , 4 , 4 , 22 , - , - , - , 4 , 3 , 3 , - , D , 6 , - , 40 , D , 5 , 3 , - , D , - , - , D , - , 10 , - , 188 , 15 , - , 12 , D , - , 54 , - , 4 , 3 , - , 3 , 21 , D , - , - , D , 8 , 8 , - , D , - , 1 ,
Malta, 43 , - , - , - , - , 4 , - , - , - , - , 4 , D , - , - , - , 3 , - , - , D , - , D , - , D , - , 7 , - , - , - , - , - , - , - , 3 , - , 6 , 3 , D , D , D , D , D , - , - , D , - , - , - , - , - , - , - , - , - , D , D , - , - ,
Marshall Islands, 27 , - , D , - , D , 3 , - , - , - , - , D , 3 , D , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , - , 4 , - , - , - , - , - , 3 , - , - , - , 1 ,
Mauritania, 323 , D , - , 3 , - , 4 , 12 , - , - , - , D , 7 , - , - , - , 6 , 4 , - , - , 14 , 11 , - , 9 , D , 4 , D , D , 8 , - , - , - , - , D , - , 76 , 4 , 5 , 90 , - , D , 19 , - , - , - , - , 16 , 5 , - , - , - , - , 9 , 7 , - , - , - , - ,
Mauritius, 63 , - , - , D , - , 12 , - , D , - , - , 9 , D , - , D , D , D , D , D , - , - , D , D , 4 , 3 , D , - , - , - , - , - , - , D , 4 , D , - , 3 , - , - , - , D , D , - , - , - , - , - , 5 , - , - , D , D , 3 , - , - , - , - , - ,
Mexico," 103,550 ", 276 , 53 ," 4,943 ", 572 ," 39,228 "," 2,188 ", 238 , 134 , 34 ," 2,648 "," 1,895 ", D , 63 , 478 ," 5,041 ", 800 , 408 , 809 , 229 , 236 , 31 , 376 , 258 , 906 , 502 , 135 , 392 , 20 , 522 ," 2,383 ", 39 , 788 ," 1,481 "," 1,672 "," 1,433 ", 38 , 424 , 902 ," 1,612 ", 512 , 59 , 28 , 456 , 22 , 595 ," 22,687 ", 11 , 3 , 975 , D , 594 ," 2,472 ", 35 , 687 , 58 , 164 ,
