Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Azerbaijan, 568 , D , D , 3 , D , 189 , 6 , D , D , D , 8 , 5 , - , - , D , 12 , D , - , - , 5 , D , 3 , 15 , 21 , 7 , 4 , - , 5 , D , - , 5 , - , 14 , D , 118 , 8 , D , 6 , - , 4 , 21 , - , 3 , D , D , D , 33 , - , - , 4 , - , 24 , 19 , - , 3 , - , 5 
Bahamas, 697 , 5 , - , D , D , 17 , - , 3 , D , - , 415 , 46 , - , D , - , 7 , 6 , D , D , 4 , D , - , 7 , 9 , 4 , D , D , 4 , - , - , D , - , 10 , D , 32 , 15 , D , 6 , 5 , D , 10 , - , - , 4 , - , 8 , 31 , D , - , - , - , 17 , 3 , - , D , - , 6 
Bahrain, 107 , - , - , D , - , 17 , D , D , - , - , 6 , 3 , - , - , - , 5 , D , D , - , - , - , - , 3 , 5 , D , D , - , - , - , - , D , - , 7 , - , 9 , 3 , - , D , 3 , D , D , - , - , - , - , - , 21 , - , - , - , - , 7 , 3 , - , - , - , D 
Bangladesh," 10,110 ", 9 , 4 , 61 , 12 , 640 , 23 , 213 , 27 , 10 , 329 , 206 , - , - , D , 48 , 18 , 10 , 11 , 11 , 7 , 5 , 231 , 180 , 489 , 38 , D , 23 , 4 , 10 , 23 , 4 , 638 , D ," 5,232 ", 64 , 4 , 51 , 27 , 28 , 343 , D , 8 , 8 , D , 22 , 479 , D , D , D , D , 376 , 70 , 3 , 12 , - , 87 
Barbados, 641 , - , D , 3 , D , 14 , 3 , 25 , 5 , D , 57 , 30 , - , - , - , D , 8 , - , - , 5 , - , - , 27 , 44 , D , D , 4 , D , - , - , D , D , 44 , - , 265 , 11 , - , 3 , D , D , 37 , - , - , D , - , - , 18 , - , - , - , - , 13 , 4 , - , - , - , 6 
Belarus," 1,676 ", 3 , D , 7 , - , 326 , 42 , 24 , D , 4 , 156 , 30 , - , 4 , D , 95 , 3 , D , D , D , D , D , 16 , 78 , 14 , 28 , D , 5 , 3 , D , 9 , 3 , 78 , D , 311 , 43 , - , 24 , D , 18 , 104 , - , D , 16 , D , 7 , 60 , D , - , 4 , - , 27 , 74 , D , 21 , D , 13 
Belgium, 515 , - , D , 10 , D , 97 , 13 , 11 , - , D , 67 , 16 , - , D , 3 , 9 , D , D , - , D , 7 , 5 , 13 , 21 , 9 , 3 , D , - , - , - , D , - , 22 , D , 81 , 5 , - , 8 , 3 , 5 , 14 , - , D , 4 , - , 3 , 38 , D , - , 3 , D , 7 , 12 , D , - , - , 4 
Belize," 1,051 ", D , D , 17 , D , 453 , 6 , 5 , D , D , 74 , 8 , - , - , - , 72 , 3 , - , 4 , 5 , 4 , - , 10 , 4 , 5 , D , D , 11 , D , - , 14 , D , 17 , D , 123 , 11 , D , 4 , D , D , 21 , - , D , 3 , - , 8 , 105 , D , - , D , D , 10 , 12 , - , 3 , D , 12 
Benin, 354 , D , - , 4 , - , 11 , 12 , 3 , D , D , 12 , 12 , - , - , D , 18 , 11 , 22 , D , - , D , D , 33 , 3 , D , 7 , - , D , D , 11 , D , - , 6 , - , 56 , 17 , - , 11 , 5 , - , 32 , - , - , - , - , D , 18 , 3 , - , - , D , 19 , 3 , - , D , - , 4 
Bermuda, 64 , - , - , D , - , 3 , - , 5 , D , - , 14 , 7 , - , - , - , D , - , - , - , D , - , - , D , D , - , - , - , - , - , - , - , D , 4 , - , 4 , D , - , - , D , D , 3 , - , D , - , - , - , 6 , - , - , - , - , D , D , - , - , - , D 
