Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Taiwan,"7,606",14,5,89,7,"4,027",46,54,7,1,119,98,11,61,2,124,43,14,20,13,14,5,141,115,51,44,6,42,-,6,58,7,276,14,630,102,-,60,7,53,108,-,5,22,-,23,504,2,-,31,4,157,312,7,24,-,21
Tajikistan,156,-,-,1,-,11,15,3,-,-,8,2,-,-,-,-,1,-,2,-,-,-,3,2,1,1,1,3,-,4,2,-,2,-,62,-,-,2,1,7,5,-,-,-,-,-,2,-,-,-,-,4,10,-,-,-,1
Tanzania,567,8,-,3,2,73,-,4,1,4,43,30,1,1,1,12,3,-,20,1,3,-,34,24,6,20,-,19,-,3,6,4,19,5,42,14,-,24,2,1,17,-,2,2,-,5,67,1,-,1,-,18,12,1,7,-,1
Thailand,"4,962",22,29,62,16,"1,609",65,53,5,12,317,77,9,65,22,122,26,16,31,13,32,17,100,166,56,170,9,34,2,7,123,9,53,11,207,156,2,46,24,52,82,-,23,40,2,39,238,10,-,19,6,222,258,2,127,6,41
Togo,"1,132",4,-,21,1,26,19,45,2,6,34,95,-,3,1,64,12,10,9,8,2,3,124,14,3,93,1,17,-,49,6,1,38,-,146,51,1,33,3,3,37,-,3,4,-,5,29,2,-,6,2,72,15,-,7,-,2
Tonga,269,-,6,10,-,137,3,-,-,-,1,-,-,26,1,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,6,-,-,-,3,-,-,-,1,-,1,-,-,2,-,-,9,-,-,48,-,2,10,-,-,-,-
Trinidad and Tobago,"5,726",10,4,33,5,145,12,62,18,42,"1,020",168,2,10,-,21,9,2,6,15,22,-,315,121,13,14,6,8,-,1,9,2,357,6,"2,465",113,1,19,7,8,178,3,7,34,1,17,184,6,20,-,-,135,28,2,7,-,33
Tunisia,479,2,1,6,-,65,5,3,3,8,69,8,-,1,1,14,7,1,2,1,4,1,16,5,15,8,1,3,-,1,6,1,21,2,47,17,-,10,-,4,36,1,-,1,-,6,15,1,-,1,-,47,5,-,4,-,3
Turkey,"3,219",9,3,35,13,438,26,70,23,18,238,77,-,7,2,79,24,8,4,5,18,7,73,93,25,9,3,17,3,3,31,5,439,9,635,96,-,56,8,20,98,1,4,18,-,24,132,3,1,4,1,174,79,3,14,2,32
Turkmenistan,91,1,-,2,-,12,-,-,-,1,4,-,-,-,-,4,-,-,-,-,-,-,3,3,1,-,-,1,-,-,-,1,5,-,27,1,-,1,-,-,3,-,-,-,-,-,4,-,-,-,-,3,8,-,6,-,-
Turks and Caicos Islands,21,-,-,-,-,-,-,-,-,-,16,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U.S. Virgin Islands,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,489,3,-,5,1,75,9,7,5,3,38,12,-,1,2,4,1,3,4,1,-,1,35,73,8,12,-,4,-,1,1,1,16,1,13,22,1,11,1,3,6,-,-,3,-,4,39,-,-,2,1,29,16,1,4,-,6
Ukraine,"9,123",20,20,58,11,"1,233",105,155,9,9,407,83,-,9,35,542,49,13,31,35,10,7,143,252,131,111,5,68,6,25,48,25,397,7,"1,955",195,9,240,18,227,547,1,12,61,18,66,139,1,1,27,3,138,"1,279",3,52,3,69
United Arab Emirates,383,4,-,9,3,60,1,1,3,-,18,6,-,-,1,19,2,1,4,1,2,-,11,6,13,12,-,4,-,-,2,1,20,1,35,14,-,16,1,3,9,-,1,-,-,7,53,-,-,2,1,21,7,-,8,-,-
United Kingdom,"10,060",41,19,205,28,"1,938",201,221,30,52,"1,112",316,4,36,32,291,74,33,31,38,41,39,246,353,203,88,16,71,14,13,81,52,394,44,825,405,8,154,23,121,331,1,25,151,7,80,640,5,2,45,21,407,307,18,50,5,72
United States,51,-,-,-,-,9,-,2,-,-,4,-,-,-,-,-,-,-,1,-,-,-,5,-,3,-,-,-,-,-,-,-,2,-,10,2,-,2,-,-,1,-,1,-,-,-,4,-,-,-,-,4,1,-,-,-,-
Uruguay,634,-,-,7,-,49,5,13,-,-,216,29,-,-,-,6,3,-,-,-,1,1,9,26,2,2,1,-,-,-,6,6,85,2,59,13,-,3,-,2,4,1,2,7,-,1,15,-,-,11,-,31,5,-,6,-,5
Uzbekistan,"1,513",3,3,25,2,173,15,6,-,3,75,17,-,1,5,29,7,2,6,5,1,-,16,42,9,10,1,13,1,2,9,1,51,4,717,22,2,21,3,10,60,-,4,10,-,7,21,2,-,2,3,22,49,2,13,-,6
Vanuatu,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,"4,735",11,1,32,6,261,36,36,12,9,"2,316",105,1,12,3,55,23,4,19,8,39,4,70,90,27,28,14,21,3,9,18,2,149,8,302,144,-,43,20,16,68,48,13,31,-,37,337,3,3,42,-,121,29,3,10,-,33
Vietnam,"31,168",129,26,574,101,"11,381",377,227,53,16,"1,311",926,6,173,42,440,143,172,261,85,745,51,401,"1,120",243,431,184,328,3,116,219,52,482,109,642,781,13,207,234,414,"1,051",5,29,151,24,256,"3,485",7,3,124,11,"1,062","1,451",10,64,4,213
Yemen,"1,243",19,-,7,4,252,2,14,6,2,8,3,-,-,1,34,19,-,1,1,16,2,5,6,295,2,10,1,-,-,1,-,9,-,371,44,-,4,-,1,6,-,1,1,-,29,12,-,-,1,-,25,14,3,-,-,11
Zambia,289,6,1,4,1,41,8,7,2,1,21,15,-,1,-,8,2,-,1,1,-,1,13,6,4,4,1,3,-,1,3,-,17,-,11,12,-,8,5,4,9,-,-,3,1,3,33,-,-,2,-,16,6,-,2,-,1
Zimbabwe,489,2,1,11,2,60,11,5,1,1,39,28,-,2,-,6,16,2,5,2,3,1,8,20,10,6,1,5,1,8,5,5,21,-,25,30,1,11,3,4,15,-,-,4,1,8,64,-,-,1,2,15,13,1,-,-,3
Unknown,940,4,1,10,4,139,5,11,-,-,112,24,-,1,-,84,6,5,4,13,21,-,14,33,17,7,7,5,1,1,3,-,23,12,85,17,-,34,4,4,17,3,4,14,-,15,96,-,-,2,-,20,14,2,1,-,41
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Yugoslavia (unknown republic) prior to February 7, 2003.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
