Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
Madagascar, 65 , - , - , - , D , 6 , - , D , - , - , 5 , D , - , D , - , D , D , - , D , D , - , - , 10 , - , D , - , - , - , - , - , - , - , D , - , 10 , - , - , 4 , - , - , - , - , - , - , - , - , 7 , - , - , D , - , 8 , - , D , - , - , - ,
Malawi, 91 , - , - , - , 4 , 6 , D , D , - , D , 4 , 7 , - , D , - , 3 , 6 , - , - , 7 , D , - , 9 , D , D , - , - , 3 , - , 3 , - , D , D , - , 4 , D , - , 3 , D , D , 3 , - , - , - , - , D , 8 , - , - , - , - , 3 , D , - , - , - , - ,
Malaysia," 1,113 ", 4 , - , 22 , 5 , 252 , 12 , 7 , - , D , 51 , 39 , 3 , 7 , - , 28 , 7 , D , 6 , 3 , 7 , D , 26 , 20 , 19 , 24 , D , 11 , D , D , 8 , 3 , 30 , D , 212 , 17 , - , 10 , 15 , 19 , 17 , - , 3 , 3 , - , 16 , 119 , - , - , D , - , 30 , 33 , D , 9 , - , 2 ,
Maldives, 4 , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - ,
Mali, 405 , D , D , 3 , D , 3 , 6 , 7 , D , 3 , - , 18 , - , - , - , 6 , 4 , 4 , - , 3 , D , - , 34 , D , 3 , D , - , - , D , - , - , - , 13 , - , 167 , 9 , - , 16 , - , D , 53 , - , D , 3 , - , D , 19 , - , - , - , D , 3 , 7 , - , 5 , - , - ,
Malta, 50 , - , - , D , - , 6 , D , - , - , - , 7 , - , - , - , - , - , D , - , - , - , - , - , - , - , 8 , 3 , - , - , - , - , - , - , - , - , 11 , - , - , - , - , - , D , - , - , D , - , - , 4 , - , - , - , - , 3 , D , - , D , - , - ,
Marshall Islands, 22 , - , - , - , - , D , D , - , - , - , D , D , - , D , - , D , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , 3 , D , - , - , - , D , - , - , - , D , - , - , - , - , 3 , - , - , - , 2 ,
Mauritania, 355 , D , - , D , - , 6 , 14 , - , - , D , - , 10 , - , - , - , 12 , 6 , D , - , 20 , 12 , - , 8 , - , 4 , D , - , 7 , D , - , 3 , - , 3 , - , 103 , 5 , 7 , 80 , - , D , 9 , - , - , - , - , 22 , D , - , - , - , D , 7 , 5 , - , - , - , - ,
Mauritius, 60 , - , - , - , D , 11 , D , - , - , D , D , 4 , - , - , - , D , D , - , - , - , - , - , 4 , D , - , D , - , - , - , - , - , - , 4 , - , 9 , D , - , D , D , - , D , - , - , D , - , - , 3 , D , - , D , - , 4 , - , - , - , - , - ,
Mexico," 105,958 ", 316 , 49 ," 5,912 ", 453 ," 43,503 "," 2,296 ", 247 , 146 , 24 ," 2,306 "," 1,925 ", - , 80 , 446 ," 4,705 ", 712 , 408 , 698 , 190 , 269 , 12 , 328 , 193 , 618 , 425 , 144 , 319 , 18 , 387 ," 1,775 ", 26 , 697 ," 1,454 "," 1,392 "," 1,212 ", 30 , 360 , 937 ," 1,364 ", 433 , 62 , 34 , 419 , 26 , 626 ," 23,603 ", 15 , - ," 1,137 ", 7 , 553 ," 1,829 ", 26 , 607 , 68 , 137 ,
"Micronesia, Federated States", 85 , - , 3 , - , - , 5 , 4 , - , - , - , D , 19 , D , 9 , D , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , 8 , - , - , - , - , 12 , - , D , 5 , D , D , - , - , D , 6 , - , - , - , 1 ,
Moldova," 1,681 ", 14 , 9 , 12 , - , 348 , 22 , 10 , - , - , 93 , 86 , - , 3 , 5 , 54 , 9 , - , D , 4 , 8 , D , 20 , 123 , 13 , 48 , D , 32 , D , 4 , 25 , D , 28 , - , 144 , 90 , D , 17 , 4 , 69 , 50 , D , - , 10 , - , 23 , 26 , - , - , 6 , 4 , 37 , 210 , - , 4 , 3 , 3 ,
Monaco, D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - ,
Mongolia, 324 , - , 3 , 3 , D , 117 , 13 , D , - , D , 9 , D , - , D , - , 41 , 4 , D , - , - , - , - , 9 , D , - , - , - , D , - , D , 4 , - , 3 , - , 9 , 3 , - , 3 , - , - , D , - , - , 4 , - , 4 , 7 , - , - , 8 , - , 42 , 15 , - , 3 , D , 2 ,
Montenegro, 209 , - , - , - , - , 8 , - , D , - , - , 8 , D , - , - , - , 16 , D , - , - , - , - , - , - , - , 40 , - , D , D , - , - , - , - , 10 , D , 113 , D , - , - , - , - , D , - , - , - , - , - , D , - , - , D , - , D , - , - , D , - , - ,
Montserrat, 43 , D , - , - , - , D , - , 4 , - , - , 5 , D , - , - , - , - , - , - , - , - , - , - , D , 11 , D , - , - , - , - , - , - , - , D , - , 12 , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , D , - , - , - , - , - ,
Morocco," 3,805 ", 16 , 3 , 21 , 8 , 239 , 70 , 91 , 19 , 17 , 378 , 86 , - , 3 , 3 , 129 , 17 , 10 , 7 , 31 , 16 , 7 , 71 , 511 , 19 , 28 , 14 , 10 , D , - , 27 , 11 , 251 , 6 , 490 , 132 , D , 108 , 41 , 16 , 215 , 4 , 18 , 21 , D , 20 , 189 , - , - , 3 , - , 351 , 36 , D , 30 , D , 6 ,
Mozambique, 43 , D , - , - , - , 7 , - , D , - , D , 8 , D , - , D , - , D , - , - , - , - , - , - , D , - , - , D , - , - , - , - , D , - , 3 , - , 3 , - , - , D , D , - , D , - , D , - , - , - , 6 , - , - , - , - , D , - , - , - , - , - ,
Namibia, 42 , D , - , D , - , 7 , 3 , - , - , - , 6 , D , - , - , D , - , - , - , - , - , - , - , D , D , - , D , - , - , - , D , - , - , - , - , 3 , 6 , - , - , - , - , D , - , - , D , D , - , D , - , - , - , - , D , - , D , D , - , - ,
Nepal," 4,225 ", 22 , 5 , 57 , 5 , 668 , 200 , 66 , 3 , 6 , 43 , 103 , D , 11 , 8 , 100 , 20 , 37 , 25 , 49 , 23 , - , 229 , 223 , 30 , 41 , D , 41 , D , 48 , 15 , 47 , 50 , 10 , 512 , 91 , 3 , 89 , 41 , 35 , 129 , - , 6 , 64 , 5 , 10 , 555 , D , - , 38 , 12 , 336 , 67 , 7 , 27 , D , 7 ,
Netherlands, 778 , 6 , 4 , 15 , 3 , 137 , 16 , 12 , - , 5 , 85 , 18 , D , 3 , 3 , 25 , 7 , 3 , 3 , 3 , 3 , 3 , 13 , 28 , 18 , 5 , D , 6 , D , D , 7 , 6 , 28 , 6 , 50 , 12 , - , 17 , D , 15 , 30 , D , 6 , 7 , - , 4 , 82 , D , - , 7 , D , 28 , 27 , 4 , 5 , - , 2 ,
Netherlands Antilles (former), 35 , - , - , D , - , - , - , D , - , - , 10 , 3 , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , D , - , 7 , - , - , D , D , - , - , D , - , - , - , - , D , - , 3 , - , - , D , D , - , - , - , - ,
New Caledonia, 5 , - , - , - , - , D , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
New Zealand, 514 , D , D , 14 , D , 125 , 29 , 7 , - , D , 32 , 9 , D , 14 , D , 13 , 4 , - , D , 3 , D , D , 11 , 9 , 3 , 6 , D , D , - , - , 11 , - , 8 , 6 , 33 , 9 , D , 9 , D , 21 , 12 , - , D , 4 , D , 4 , 31 , - , - , 19 , - , 11 , 29 , - , 5 , - , 1 ,
Nicaragua," 3,951 ", 11 , D , 29 , 9 , 903 , 15 , 22 , 3 , 9 ," 1,822 ", 70 , - , D , - , 27 , 22 , 3 , 4 , 7 , 43 , 3 , 87 , 29 , 6 , 15 , 6 , 7 , - , 4 , 31 , 3 , 77 , 8 , 145 , 50 , D , 12 , 5 , 16 , 28 , 6 , D , 18 , 3 , 20 , 235 , - , - , 17 , - , 85 , 16 , 3 , 11 , D , - ,
Niger, 180 , D , D , D , D , D , D , - , - , D , 4 , 10 , - , D , - , 3 , 16 , - , - , D , 3 , - , 16 , 4 , 4 , - , - , - , - , D , - , - , D , - , 37 , 26 , - , 12 , D , - , 22 , - , - , - , - , - , D , - , - , - , - , D , D , - , - , - , - ,
Nigeria," 10,363 ", 46 , 9 , 88 , 26 , 747 , 75 , 87 , 54 , 73 , 256 , 819 , D , D , 5 , 515 , 159 , 11 , 24 , 23 , 45 , D ," 1,350 ", 297 , 131 , 181 , 13 , 109 , D , 11 , 41 , 8 , 518 , 14 ," 1,090 ", 230 , 9 , 178 , 101 , 39 , 237 , D , 61 , 97 , - , 113 ," 2,105 ", 4 , D , 12 , D , 188 , 67 , 6 , 60 , 4 , 17 ,
Northern Mariana Islands, D , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Norway, 80 , - , - , D , D , 6 , D , D , - , - , 7 , 5 , - , - , D , - , - , - , - , - , D , - , D , - , 3 , D , - , D , - , D , - , - , D , - , 8 , 4 , D , - , D , D , 5 , - , - , - , - , D , 12 , - , - , D , - , D , 5 , - , - , D , - ,
Oman, 47 , - , - , D , - , 4 , 4 , - , - , - , 4 , 3 , - , - , - , D , - , D , - , - , - , - , D , D , D , D , - , - , - , - , - , - , 3 , - , 8 , - , - , - , D , - , D , - , - , - , - , - , 10 , - , - , - , - , - , D , - , - , - , - ,
Pakistan," 11,912 ", 70 , 16 , 75 , 32 ," 1,458 ", 64 , 217 , 45 , 9 , 394 , 392 , - , D , D , 785 , 76 , 27 , 46 , 46 , 74 , 5 , 531 , 252 , 242 , 46 , 5 , 94 , D , 10 , 41 , 16 , 692 , 13 ," 2,231 ", 178 , D , 150 , 55 , 23 , 312 , D , 33 , 28 , - , 84 ," 2,036 ", - , - , 70 , 4 , 723 , 120 , 10 , 62 , - , 12 ,
Palau, 44 , D , D , D , - , 6 , D , - , - , - , D , 5 , D , 4 , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , 4 , - , D , - , - , 3 , - , D , 6 , D , - , - , - , - , 3 , - , - , - , 1 ,
Panama," 1,412 ", 13 , 3 , 18 , 5 , 115 , 19 , 8 , 3 , 7 , 326 , 79 , - , 5 , D , 17 , 10 , D , 3 , 7 , 13 , - , 50 , 28 , 8 , 7 , 7 , 12 , - , 4 , 8 , D , 36 , 4 , 215 , 29 , - , 15 , 13 , 5 , 31 , 17 , D , 17 , D , 17 , 144 , - , - , 6 , D , 50 , 22 , D , 4 , - , 3 ,
Papua New Guinea, 21 , D , - , - , - , 5 , D , - , - , - , D , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , D , - , - , D , - , - , D , - , - , - , - , - , D , - , - , D , - , D , D , - , - , - , - ,
Paraguay, 338 , D , - , 4 , D , 20 , 4 , 10 , - , 3 , 57 , 13 , - , - , D , 6 , D , 3 , D , D , - , - , 15 , 3 , D , - , - , 5 , - , - , D , - , 36 , - , 106 , 3 , - , D , D , D , 7 , D , D , 3 , - , - , 7 , - , - , D , - , 9 , D , - , D , - , - ,
Peru," 10,701 ", 20 , 9 , 98 , 15 ," 1,568 ", 145 , 338 , 14 , 25 ," 2,484 ", 301 , D , 22 , 21 , 131 , 41 , 9 , 27 , 34 , 23 , 6 , 342 , 204 , 23 , 21 , 16 , 27 , D , 16 , 113 , 8 ," 1,407 ", 30 ," 1,021 ", 187 , D , 77 , 57 , 56 , 127 , 37 , 13 , 75 , 5 , 45 , 466 , - , - , 259 , 9 , 583 , 76 , 13 , 37 , D , 14 ,
Philippines," 40,815 ", 160 , 326 , 715 , 94 ," 17,113 ", 307 , 256 , 74 , 41 ," 1,618 ", 445 , 542 ," 1,877 ", 58 ," 1,831 ", 229 , 83 , 117 , 119 , 159 , 45 , 836 , 231 , 368 , 178 , 87 , 206 , 35 , 46 ," 1,543 ", 45 ," 1,785 ", 125 ," 2,001 ", 381 , 17 , 366 , 211 , 289 , 388 , - , 55 , 301 , 20 , 202 ," 2,209 ", 33 , 84 , 137 , 15 , 969 ," 1,093 ", 31 , 145 , 36 , 138 ,
Poland," 7,886 ", 3 , 6 , 95 , 4 , 312 , 97 , 591 , 7 , 8 , 360 , 72 , - , 26 , 3 ," 2,351 ", 31 , 6 , 12 , 12 , 9 , 7 , 67 , 228 , 162 , 17 , D , 13 , D , 4 , 49 , 9 , 970 , 3 ," 1,565 ", 46 , - , 56 , 10 , 23 , 229 , D , 23 , 31 , 5 , 26 , 124 , - , - , 17 , 3 , 69 , 52 , 5 , 52 , D , 10 ,
Portugal," 1,690 ", D , D , 4 , D , 159 , 3 , 114 , - , - , 69 , 6 , - , 3 , D , 4 , D , - , D , - , D , D , 22 , 499 , D , D , D , 3 , - , - , 3 , 13 , 409 , - , 144 , 11 , - , D , D , 5 , 28 , D , 118 , 3 , - , D , 21 , - , - , D , D , 10 , 5 , D , 3 , - , 4 ,
Qatar, 75 , D , - , D , - , 12 , D , - , D , - , - , D , - , - , - , 5 , D , D , D , - , - , - , D , D , 7 , D , - , D , - , - , - , - , 5 , - , 6 , - , - , 6 , - , - , D , - , - , - , - , - , 11 , - , - , - , - , 4 , - , - , D , - , - ,
Romania," 3,478 ", 12 , D , 140 , 11 , 490 , 52 , 60 , 10 , 10 , 316 , 229 , - , 5 , 16 , 355 , 19 , 8 , 10 , 8 , 14 , 4 , 40 , 81 , 199 , 18 , 5 , 25 , 6 , 3 , 56 , 17 , 100 , 8 , 297 , 59 , - , 98 , 15 , 68 , 94 , - , D , 25 , D , 28 , 194 , D , - , 10 , D , 87 , 146 , - , 16 , D , 5 ,
Russia," 6,552 ", 29 , 33 , 53 , 7 ," 1,166 ", 170 , 72 , 18 , 13 , 520 , 151 , D , 22 , 25 , 220 , 39 , 12 , 22 , 26 , 22 , 27 , 173 , 337 , 68 , 75 , 9 , 37 , 8 , 15 , 68 , 18 , 296 , 16 ," 1,074 ", 95 , 5 , 77 , 35 , 139 , 253 , - , 6 , 67 , 4 , 48 , 268 , D , - , 45 , 4 , 173 , 415 , 5 , 55 , 4 , 8 ,
Rwanda, 300 , D , - , 20 , - , 10 , 8 , 4 , - , D , 4 , 8 , - , - , 4 , 9 , 7 , 10 , - , 3 , - , 5 , 7 , 10 , 17 , 5 , - , 10 , - , 4 , D , 4 , 5 , D , 18 , 7 , 3 , 22 , D , 3 , 9 , - , D , 3 , - , 14 , 34 , - , - , 7 , 3 , 7 , 5 , D , D , - , - ,
Saint Kitts-Nevis, 360 , - , - , - , - , 5 , D , 7 , 3 , - , 63 , 11 , - , - , - , D , 3 , - , - , - , D , - , 8 , 5 , - , D , - , - , - , - , D , - , 12 , - , 94 , 4 , - , - , D , - , 9 , 11 , D , 5 , - , - , 10 , D , 85 , D , - , 6 , 4 , - , D , - , 1 ,
Saint Lucia, 775 , D , - , 5 , D , 16 , - , 45 , 4 , - , 107 , 27 , - , D , - , 8 , - , D , D , - , 3 , D , 19 , 17 , D , - , - , D , - , - , D , - , 22 , D , 336 , 7 , - , D , D , D , 11 , D , 5 , 7 , - , 3 , 50 , - , 49 , - , - , 5 , 3 , D , - , D , 1 ,
Saint Vincent and the Grenadines, 467 , D , - , 3 , D , 10 , D , 5 , D , D , 35 , 9 , - , D , - , 3 , - , - , - , - , D , - , 11 , 16 , D , - , D , - , - , - , - , - , 16 , - , 285 , 5 , - , D , - , - , 20 , - , D , 4 , D , D , 14 , - , 5 , D , - , 8 , D , - , - , - , 1 ,
Samoa, 213 , - , 13 , D , - , 63 , D , - , - , - , 4 , D , - , 26 , D , D , - , - , - , D , - , - , D , - , D , - , - , 3 , - , - , 10 , - , - , D , - , - , - , - , D , 5 , - , D , - , D , - , D , D , - , - , 43 , - , D , 23 , - , D , - , 2 ,
San Marino, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Sao Tome and Principe, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Saudi Arabia, 796 , 7 , D , 7 , D , 111 , 8 , 13 , 4 , 4 , 31 , 19 , - , D , D , 43 , 8 , 5 , 13 , 5 , 8 , D , 20 , 11 , 53 , 11 , 5 , 6 , - , 4 , 6 , D , 40 , - , 72 , 17 , - , 33 , 7 , 6 , 27 , D , D , D , - , 4 , 115 , - , - , 4 , - , 40 , 9 , D , 6 , - , 2 ,
Senegal, 974 , 7 , D , 10 , D , 35 , 13 , 7 , D , 6 , 18 , 74 , - , D , D , 17 , 18 , D , 3 , 17 , 4 , 3 , 64 , 22 , 27 , 8 , 3 , 8 , - , D , 3 , D , 43 , D , 267 , 40 , D , 66 , 9 , D , 21 , D , 27 , 7 , - , 7 , 44 , - , - , - , D , 36 , 9 , D , 7 , D , 5 ,
Serbia, 522 , - , D , 13 , - , 69 , 5 , 5 , D , 3 , 45 , 6 , - , D , D , 110 , 4 , D , 6 , 3 , D , D , 8 , 11 , 13 , D , - , 7 , - , D , 18 , D , 22 , - , 59 , 12 , - , 13 , D , 4 , 10 , - , D , D , - , 4 , 22 , - , - , 4 , D , 14 , 7 , D , 7 , - , - ,
Serbia and Montenegro (former)," 1,297 ", D , 4 , 24 , 4 , 92 , 13 , 30 , 4 , 8 , 74 , 15 , - , 4 , - , 124 , 15 , 9 , D , 15 , - , D , 20 , 22 , 113 , 6 , D , 18 , - , D , 19 , 15 , 78 , D , 351 , 10 , 3 , 35 , 6 , 4 , 15 , - , 3 , 5 , 3 , 10 , 44 , - , - , 7 , - , 29 , 15 , - , 23 , - , - ,
Seychelles, 7 , - , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - ,
Sierra Leone," 1,692 ", 7 , 3 , 17 , D , 76 , 9 , 6 , 11 , 8 , 20 , 77 , - , D , - , 30 , 9 , 8 , 3 , 5 , D , - , 361 , 52 , 16 , 18 , 3 , 8 , - , - , 4 , 3 , 90 , D , 236 , 37 , D , 78 , D , 5 , 159 , - , 7 , 8 , - , 6 , 76 , - , - , 5 , - , 197 , 18 , D , 3 , - , 4 ,
Singapore, 285 , - , D , 5 , D , 71 , 7 , D , - , - , 8 , 9 , - , 4 , D , 10 , D , - , - , D , - , - , 3 , 8 , 4 , 4 , - , - , - , - , 7 , D , 7 , - , 21 , 9 , - , 4 , 7 , 3 , 8 , - , - , D , - , D , 40 , - , - , 3 , - , 9 , 15 , - , 4 , - , 3 ,
Sint Maarten, 17 , - , - , - , - , - , - , - , - , - , 7 , - , - , - , - , D , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , D , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - ,
Slovakia, 443 , D , - , 7 , D , 42 , 9 , 12 , D , D , 57 , 13 , - , 6 , - , 43 , D , 4 , D , D , - , D , 9 , 6 , D , D , - , - , - , - , D , - , 72 , D , 60 , 9 , - , 6 , - , 3 , 20 , D , - , D , - , 4 , 17 , D , - , D , D , 12 , 7 , - , D , - , - ,
Slovenia, 61 , - , - , D , - , 11 , 3 , - , - , D , 8 , D , - , D , D , 4 , - , - , - , - , - , - , D , D , - , D , - , D , - , - , D , - , - , - , 9 , D , - , D , - , D , D , - , D , D , - , D , D , - , D , - , - , - , D , - , D , - , - ,
Somalia," 3,691 ", 3 , 8 , 113 , - , 95 , 131 , 11 , D , D , 5 , 90 , - , D , 13 , 58 , 13 , 68 , 60 , 56 , D , 149 , 7 , 94 , 30 ," 1,021 ", D , 106 , - , 137 , 13 , 9 , D , D , 114 , 16 , 62 , 411 , 4 , 89 , 44 , - , - , - , 14 , 72 , 111 , - , - , 63 , 58 , 65 , 215 , - , 49 , - , 6 ,
South Africa," 2,538 ", 17 , 3 , 61 , D , 397 , 68 , 36 , 11 , 9 , 267 , 181 , - , 10 , 9 , 66 , 21 , 6 , 24 , 16 , 8 , 10 , 59 , 80 , 30 , 24 , 8 , 12 , 3 , 10 , 31 , 3 , 50 , 5 , 130 , 125 , 5 , 45 , 18 , 34 , 71 , - , D , 53 , D , 39 , 251 , - , - , 27 , D , 82 , 72 , 7 , 30 , D , 6 ,
South Sudan, 131 , - , D , 4 , - , 3 , 3 , - , - , - , D , 4 , - , - , - , D , - , 19 , D , 5 , - , 5 , D , 7 , 3 , 3 , - , 7 , - , 24 , D , - , - , - , 5 , - , - , - , 3 , - , 6 , - , - , D , D , 5 , 8 , - , - , D , D , 3 , D , - , - , - , - ,
Soviet Union (former)," 2,372 ", 9 , 10 , 18 , 3 , 408 , 54 , 35 , 10 , 6 , 182 , 40 , D , 3 , 9 , 104 , 12 , 14 , 13 , 7 , 4 , D , 61 , 132 , 37 , 30 , - , 18 , D , 4 , 23 , 39 , 119 , 3 , 414 , 29 , - , 42 , D , 43 , 67 , D , D , 19 , D , 18 , 106 , - , D , 17 , 5 , 59 , 106 , 3 , 18 , D , 4 ,
Spain," 1,414 ", 8 , - , 19 , D , 232 , 26 , 13 , D , 12 , 285 , 26 , - , 4 , D , 39 , 6 , 5 , 6 , 6 , 8 , 3 , 33 , 49 , 12 , 5 , - , 7 , - , D , 12 , 7 , 101 , 4 , 163 , 19 , D , 15 , D , 13 , 27 , 33 , 6 , 14 , D , 5 , 88 , D , - , 9 , - , 39 , 26 , - , 12 , D , 5 ,
Sri Lanka," 1,246 ", 5 , D , 8 , D , 336 , 6 , 7 , D , 3 , 30 , 22 , D , D , 3 , 52 , 8 , - , 9 , 8 , 6 , - , 83 , 33 , 15 , 11 , 3 , 5 , - , 4 , 18 , 4 , 88 , D , 212 , 15 , - , 22 , 8 , 14 , 27 , - , D , 9 , - , 4 , 86 , - , - , 5 , D , 31 , 23 , D , 10 , - , 2 ,
Sudan," 1,740 ", 12 , 7 , 71 , - , 106 , 68 , 24 , D , 5 , 43 , 48 , - , - , 4 , 58 , 22 , 88 , 9 , 18 , 5 , 18 , 63 , 45 , 31 , 57 , D , 27 , D , 85 , 4 , 9 , 29 , - , 117 , 77 , 17 , 36 , 8 , 3 , 70 , - , D , 8 , 20 , 43 , 132 , - , - , 25 , 3 , 163 , 46 , - , 8 , - , 3 ,
Suriname, 183 , - , - , D , - , 4 , - , D , - , D , 50 , 3 , - , - , - , D , - , - , - , - , - , - , 7 , 3 , D , D , - , - , - , - , D , - , 14 , - , 69 , D , - , D , D , D , 7 , - , - , - , - , - , 7 , - , - , - , - , 3 , - , - , - , - , 2 ,
Swaziland, 12 , D , - , - , - , - , - , - , - , D , D , D , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - ,
Sweden, 885 , 5 , D , 14 , - , 222 , 31 , 27 , D , 6 , 74 , 22 , - , 9 , D , 12 , 6 , D , D , 3 , 3 , 5 , 22 , 19 , 21 , 16 , - , 6 , D , - , 9 , 3 , 27 , D , 91 , 26 , - , 12 , 4 , 16 , 17 , - , 7 , 9 , - , 6 , 51 , - , - , 11 , D , 22 , 32 , - , 5 , - , 1 ,
Switzerland, 411 , D , D , 10 , - , 92 , 11 , 4 , 3 , D , 33 , 7 , - , 4 , D , 8 , 9 , - , D , D , D , D , 9 , 12 , 3 , D , - , D , - , D , 9 , D , 17 , D , 50 , 12 , - , 6 , D , 7 , 18 , - , D , D , - , 8 , 23 , - , D , 5 , D , 9 , 10 , - , D , D , - ,
Syria," 2,004 ", 4 , - , 32 , 4 , 546 , 12 , 20 , 3 , 5 , 109 , 18 , - , - , - , 176 , 19 , D , 6 , 11 , 6 , - , 20 , 63 , 117 , 11 , D , 14 , - , 4 , 13 , D , 136 , D , 167 , 28 , D , 71 , 11 , 13 , 139 , - , 8 , 11 , - , 13 , 106 , - , - , 8 , 3 , 42 , 15 , 8 , 5 , - , - ,
Taiwan," 4,420 ", 11 , - , 50 , 7 ," 2,077 ", 40 , 30 , 5 , 8 , 72 , 85 , 10 , 32 , D , 99 , 22 , 10 , 17 , 16 , 10 , 5 , 94 , 111 , 52 , 16 , 4 , 24 , D , 3 , 45 , 5 , 148 , 5 , 406 , 45 , - , 46 , 17 , 43 , 54 , - , 8 , 13 , - , 10 , 388 , - , - , 27 , 4 , 65 , 159 , 4 , 12 , - , 3 ,
Tajikistan, 156 , - , - , D , D , 17 , 16 , D , D , - , 7 , 5 , - , - , - , 7 , - , - , - , - , - , - , 5 , D , D , D , - , 3 , - , 4 , D , - , 4 , - , 45 , 3 , - , D , - , 4 , 4 , - , - , D , - , - , 3 , - , - , - , - , 6 , 8 , - , 3 , - , - ,
Tanzania, 553 , 8 , - , 5 , D , 46 , D , D , D , 3 , 23 , 37 , - , D , 4 , 24 , 6 , 11 , 12 , D , D , - , 48 , 32 , 6 , 7 , D , 9 , - , 3 , 4 , D , 21 , 3 , 45 , 9 , - , 22 , D , 4 , 6 , - , 3 , 7 , 3 , 11 , 64 , - , - , 4 , - , 24 , 15 , - , 3 , - , 4 ,
Thailand," 5,213 ", 42 , 31 , 88 , 26 ," 1,389 ", 91 , 60 , 9 , 8 , 267 , 140 , 14 , 53 , 20 , 117 , 48 , 36 , 44 , 23 , 29 , 16 , 89 , 160 , 46 , 279 , 10 , 47 , 3 , 49 , 123 , 22 , 67 , 15 , 260 , 121 , 3 , 65 , 54 , 75 , 83 , - , 15 , 25 , 9 , 44 , 322 , D , D , 60 , 4 , 169 , 189 , 10 , 224 , 3 , 14 ,
Togo," 1,171 ", 19 , 3 , 25 , D , 20 , 17 , 18 , 3 , 16 , 13 , 68 , D , D , - , 114 , 6 , 21 , 8 , 8 , D , - , 169 , 9 , 3 , 51 , - , 12 , - , 58 , 5 , - , 30 , D , 185 , 55 , 3 , 27 , 9 , - , 37 , - , D , 18 , - , 4 , 48 , D , - , 4 , 5 , 54 , 6 , - , 7 , - , 3 ,
