Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
Bangladesh," 9,750 ", 32 , 3 , 70 , 8 , 534 , 12 , 178 , 14 , 13 , 455 , 283 , - , 3 , D , 78 , 19 , 6 , 26 , 9 , 39 , 3 , 195 , 184 , 546 , 21 , D , 34 , - , D , 24 , 5 , 624 , 3 ," 4,825 ", 52 , 3 , 101 , 49 , 14 , 340 , - , 4 , 14 , - , 35 , 498 , D , D , 7 , D , 301 , 50 , D , 15 , - , 9 ,
Barbados, 646 , D , D , 5 , - , 20 , 4 , 11 , 3 , 3 , 71 , 23 , - , - , - , 9 , - , - , - , D , D , D , 16 , 71 , D , - , - , D , - , - , 4 , - , 29 , - , 281 , 13 , - , 5 , D , - , 22 , - , - , D , - , D , 27 , D , D , D , - , 10 , D , D , - , - , 1 ,
Belarus," 1,710 ", 8 , - , 6 , - , 269 , 44 , 52 , 13 , D , 112 , 32 , - , - , 3 , 89 , 6 , D , D , 3 , D , 4 , 21 , 102 , 12 , 56 , - , 8 , D , D , 4 , 3 , 74 , 4 , 357 , 21 , - , 39 , D , 33 , 108 , - , D , 23 , D , 6 , 31 , D , - , D , - , 49 , 86 , - , 11 , D , 2 ,
Belgium, 505 , D , 3 , 13 , - , 84 , 11 , 10 , D , 4 , 52 , 23 , - , D , D , 14 , 6 , - , D , - , 3 , 3 , 14 , 15 , 26 , D , - , 4 , D , D , 4 , - , 18 , - , 64 , 10 , - , 6 , D , 5 , 10 , - , - , D , D , 3 , 44 , - , - , 4 , 3 , 18 , 9 , D , D , - , 2 ,
Belize, 851 , D , - , 7 , D , 319 , D , D , - , - , 64 , 14 , - , - , - , 90 , 3 , D , D , 3 , 9 , - , 3 , 3 , 5 , 3 , 3 , 5 , - , - , 17 , - , 19 , D , 125 , 9 , - , 3 , 7 , 6 , 7 , D , - , 7 , - , 9 , 84 , - , - , - , - , 10 , D , D , 3 , - , - ,
Benin, 310 , D , - , D , 4 , 3 , 9 , D , - , 6 , 3 , 21 , - , - , - , 25 , 16 , D , D , - , D , - , 31 , 12 , D , 7 , - , D , - , 10 , 4 , - , 3 , - , 44 , 10 , - , 9 , 6 , D , 18 , - , - , 11 , - , 3 , 17 , D , - , D , - , 22 , - , - , D , - , - ,
Bermuda, 66 , D , - , D , - , 3 , D , D , - , - , 13 , 12 , - , - , - , - , D , - , - , - , - , - , 4 , 4 , - , - , D , D , - , - , - , - , 4 , - , 7 , 3 , - , - , - , D , - , - , D , - , - , D , - , - , - , - , - , D , D , - , - , - , - ,
Bhutan," 4,562 ", - , 6 , 124 , - , 78 , 201 , D , - , - , D , 289 , - , - , 46 , 118 , - , 90 , 37 , 133 , - , - , 77 , 135 , 69 , 91 , - , 56 , - , 13 , 8 , 165 , D , 5 , 394 , 109 , 60 , 676 , - , 54 , 607 , - , 20 , - , 48 , 48 , 323 , - , - , 166 , 87 , 103 , 115 , - , 5 , - , 1 ,
Bolivia," 1,689 ", 4 , - , 9 , - , 173 , 17 , 20 , D , 12 , 264 , 16 , - , D , - , 20 , D , 5 , D , 5 , 4 , D , 139 , 26 , 5 , 3 , D , 4 , - , - , 8 , D , 59 , D , 122 , 9 , - , 3 , 5 , 4 , 6 , 7 , 42 , 17 , - , 4 , 92 , D , - , 34 , - , 520 , 9 , - , 5 , D , 3 ,
Bosnia-Herzegovina," 3,304 ", 4 , - , 134 , - , 109 , 41 , 131 , D , - , 233 , 231 , - , D , 49 , 198 , 70 , 202 , D , 149 , 13 , 3 , 17 , 33 , 157 , 30 , 3 , 425 , - , 21 , 34 , 46 , 33 , - , 215 , 37 , 26 , 73 , - , 31 , 122 , - , D , 4 , 3 , 23 , 137 , - , - , 49 , 15 , 90 , 57 , D , 48 , - , 1 ,
Botswana, 28 , - , - , D , - , 3 , - , D , - , - , 4 , 3 , - , - , - , D , - , - , - , - , - , - , D , D , - , D , - , - , - , - , - , - , D , - , D , - , - , D , D , - , - , - , - , - , - , - , D , - , - , - , - , 3 , - , - , - , - , - ,
Brazil," 10,516 ", 50 , 7 , 74 , 17 ," 1,110 ", 105 , 447 , 8 , 21 ," 2,522 ", 420 , D , 46 , 15 , 146 , 39 , 19 , 32 , 26 , 42 , 12 , 174 ," 1,767 ", 80 , 44 , 14 , 45 , 5 , 12 , 90 , 59 , 719 , 13 , 753 , 137 , D , 68 , 30 , 41 , 130 , 14 , 31 , 89 , 8 , 55 , 486 , D , D , 149 , 11 , 170 , 106 , 6 , 28 , 4 , 13 ,
British Virgin Islands, 59 , - , - , - , - , D , - , D , - , - , 12 , 9 , - , - , - , - , - , - , - , - , - , - , D , D , D , - , - , - , - , - , - , - , D , - , 11 , - , - , - , - , - , D , - , - , D , - , - , D , - , 13 , - , - , D , D , - , - , - , - ,
Brunei, 13 , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , D , D , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - ,
Bulgaria," 2,336 ", 6 , 4 , 41 , 5 , 298 , 56 , 18 , 17 , 8 , 152 , 89 , - , 11 , D , 444 , 18 , 11 , 5 , 12 , 8 , 14 , 55 , 130 , 48 , 15 , D , 26 , D , D , 101 , 8 , 105 , 5 , 179 , 32 , D , 33 , 9 , 12 , 72 , - , 5 , 29 , - , 15 , 80 , - , - , 8 , D , 74 , 53 , - , 14 , - , 2 ,
Burkina Faso, 307 , D , - , D , D , 5 , D , D , - , - , 4 , 17 , - , - , - , 10 , 4 , D , - , D , 6 , - , 22 , D , D , D , - , 3 , - , 7 , D , D , 23 , D , 88 , 4 , D , 8 , 5 , 4 , 18 , - , 3 , 12 , - , - , 14 , - , - , D , D , 16 , 6 , D , 3 , - , 1 ,
Burma," 6,045 ", 9 , - , 122 , 4 , 494 , 98 , 31 , 4 , 4 , 134 , 182 , - , 9 , 19 , 184 , 661 , 175 , 88 , 72 , 22 , 3 , 249 , 48 , 84 , 475 , D , 82 , D , 184 , 18 , 4 , 45 , 5 , 726 , 294 , - , 115 , 142 , 65 , 112 , - , 4 , 25 , 51 , 92 , 480 , D , - , 120 , 15 , 71 , 97 , 7 , 112 , - , 3 ,
Burundi, 437 , 4 , - , 29 , - , 10 , 3 , 5 , - , D , 6 , 4 , - , - , 22 , 16 , D , 28 , D , 25 , - , 9 , 13 , 14 , 4 , - , - , 10 , - , 5 , D , 8 , D , D , 29 , 6 , 14 , 9 , D , D , 8 , - , 4 , 4 , 9 , 22 , 64 , - , - , 11 , 5 , 15 , 10 , D , - , - , 1 ,
Cambodia," 2,878 ", 8 , 3 , 34 , 20 , 888 , 36 , 36 , D , 7 , 71 , 83 , - , 11 , 3 , 35 , 11 , 15 , 20 , 40 , 19 , 22 , 30 , 364 , 22 , 106 , 9 , 6 , - , - , 21 , 10 , 14 , D , 55 , 43 , D , 39 , 11 , 30 , 154 , - , 60 , 17 , - , 18 , 179 , - , - , 25 , - , 65 , 216 , D , 14 , - , 2 ,
Cameroon," 3,170 ", 14 , 9 , 36 , 7 , 140 , 14 , 9 , 31 , 55 , 58 , 181 , D , - , D , 83 , 5 , 9 , 15 , 20 , 16 , D ," 1,036 ", 135 , 49 , 113 , 3 , 20 , - , 10 , 18 , 4 , 52 , 5 , 112 , 43 , 3 , 100 , 51 , 6 , 57 , - , 3 , 55 , D , 9 , 413 , 3 , - , 10 , - , 102 , 14 , 8 , 23 , D , 4 ,
Canada," 9,492 ", 60 , 30 , 350 , 23 ," 1,358 ", 275 , 150 , 14 , 23 ," 1,030 ", 338 , D , 58 , 45 , 253 , 88 , 28 , 33 , 38 , 39 , 84 , 112 , 389 , 401 , 98 , 13 , 63 , 34 , 22 , 119 , 97 , 217 , 30 , 665 , 324 , 17 , 180 , 35 , 162 , 217 , D , 27 , 117 , D , 116 , 733 , - , 5 , 115 , 48 , 184 , 492 , 15 , 90 , 15 , 18 ,
Cape Verde," 1,054 ", - , - , - , - , 6 , D , 19 , - , D , 10 , 3 , - , D , - , D , - , - , - , - , - , D , D , 786 , - , - , - , D , - , - , - , - , 9 , - , 5 , - , - , D , D , - , D , - , 197 , D , - , D , D , - , - , D , - , D , - , - , - , - , - ,
