Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Dominica, 594 , D , 6 , 4 , D , 9 , D , 15 , D , - , 94 , 21 , - , D , - , 8 , D , - , D , - , D , - , 10 , 27 , D , D , - , D , - , - , - , - , 37 , D , 120 , 5 , - , D , D , - , 6 , 4 , - , 6 , - , 4 , 41 , D , 135 , - , - , 4 , 4 , D , - , - , 13 
Dominican Republic," 20,508 ", 20 , 34 , 30 , 5 , 75 , 16 , 288 , 36 , 17 ," 2,285 ", 145 , - , 6 , 3 , 64 , 41 , 8 , 12 , 21 , 71 , 4 , 145 ," 1,913 ", 42 , 13 , 9 , 14 , D , D , 18 , 79 ," 2,802 ", D ," 8,684 ", 176 , - , 84 , 23 , 7 ," 1,013 "," 1,052 ", 603 , 49 , D , 23 , 109 , 23 , 122 , 28 , D , 96 , 26 , 3 , 41 , - , 121 
East Timor, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ecuador," 6,929 ", 4 , 9 , 25 , 7 , 346 , 18 , 267 , 8 , 9 ," 1,185 ", 82 , - , 6 , - , 292 , 15 , 10 , 18 , 13 , 10 , - , 95 , 95 , 7 , 75 , 3 , 26 , 4 , 7 , 32 , 5 ," 1,274 ", 4 ," 2,168 ", 152 , - , 29 , 13 , 9 , 143 , 13 , 12 , 39 , - , 19 , 143 , 9 , D , 38 , D , 96 , 20 , - , 20 , - , 53 
Egypt," 5,848 ", 19 , D , 43 , 5 , 999 , 17 , 48 , 24 , 5 , 351 , 58 , D , D , D , 137 , 56 , 4 , 4 , 14 , 31 , 4 , 68 , 239 , 100 , 62 , - , 21 , - , 3 , 20 , 21 ," 1,061 ", 3 , 747 , 152 , D , 98 , 22 , 29 , 251 , - , 18 , 52 , D , 380 , 217 , D , - , 3 , D , 242 , 81 , 5 , 22 , 3 , 99 
El Salvador," 13,834 ", 18 , 13 , 124 , 117 ," 5,346 ", 108 , 41 , 10 , 76 , 508 , 222 , D , 4 , 15 , 120 , 56 , 42 , 62 , 12 , 28 , 9 , 847 , 460 , 20 , 75 , 10 , 36 , - , 55 , 315 , 5 , 369 , 15 ," 1,083 ", 287 , D , 45 , 27 , 56 , 57 , 11 , 30 , 46 , 11 , 71 ," 1,812 ", 21 , - , 98 , D , 589 , 128 , 3 , 22 , 4 , 290 
Equatorial Guinea, 9 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , 3 , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - 
Eritrea, 985 , D , - , 14 , D , 203 , 35 , 3 , 4 , 20 , 11 , 36 , - , - , - , 24 , 10 , D , - , D , 4 , D , 72 , 19 , 7 , 45 , - , 7 , - , D , 35 , - , 4 , - , 27 , 28 , - , 32 , 4 , 14 , 13 , - , - , 4 , 7 , 10 , 87 , - , D , 4 , - , 61 , 107 , - , D , - , 21 
Estonia, 217 , - , - , - , D , 34 , 8 , D , - , - , 35 , D , - , - , D , 11 , D , - , - , D , - , - , 5 , 7 , 4 , 8 , - , 3 , - , D , D , - , 16 , D , 18 , 4 , - , 6 , D , D , 7 , - , D , - , - , D , 3 , D , - , D , - , 7 , 21 , - , D , - , 1 
Ethiopia," 8,519 ", 12 , 4 , 85 , - , 960 , 329 , 23 , 10 , 215 , 107 , 567 , - , 7 , 6 , 201 , 31 , 14 , 49 , 26 , 18 , 9 , 833 , 201 , 52 , 799 , D , 89 , - , 27 , 368 , - , 65 , 4 , 169 , 137 , D , 226 , 16 , 101 , 132 , - , 8 , 20 , 51 , 196 , 657 , 3 , - , 26 , - , 691 , 656 , 8 , 16 , - , 291 
Fiji," 1,118 ", - , 5 , 7 , - , 887 , D , D , D , - , D , D , - , 16 , D , 10 , D , - , 4 , D , - , - , D , 8 , D , - , - , D , D , - , 7 , - , 4 , 3 , 3 , D , - , D , D , 24 , D , - , - , D , - , - , 17 , 3 , D , 4 , D , 7 , 80 , - , - , - , 1 
Finland, 344 , D , - , 5 , - , 66 , 5 , 3 , - , D , 58 , 19 , - , D , - , 9 , 4 , - , D , D , D , 3 , 6 , 15 , 3 , D , - , D , - , D , D , D , 13 , 4 , 21 , 14 , - , 3 , 4 , 6 , 5 , D , - , D , - , D , 29 , D , - , 4 , D , 4 , 11 , - , D , - , 5 
France," 2,527 ", 9 , 3 , 42 , 4 , 576 , 32 , 29 , 7 , 10 , 330 , 55 , D , 12 , 4 , 57 , 12 , 7 , 8 , 9 , 18 , 5 , 92 , 115 , 33 , 25 , D , 8 , 8 , D , 34 , 10 , 97 , 10 , 320 , 46 , - , 26 , 8 , 28 , 50 , 3 , 7 , 27 , D , 19 , 142 , 3 , 7 , 6 , 3 , 44 , 63 , 4 , 26 , D , 28 
French Polynesia, 14 , - , - , - , - , 3 , - , - , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , D , - , - , - , - , D , - , - , - , D , - , - , D , - , - , - , - 
Gabon, 53 , D , - , - , - , 4 , D , D , D , - , 3 , D , - , - , - , - , - , - , - , - , - , - , 8 , D , D , - , - , - , - , 6 , - , - , D , - , 5 , - , - , D , - , D , 3 , - , - , - , - , D , 4 , D , - , - , - , D , - , - , - , - , 1 
Gambia, 505 , D , 8 , D , D , 13 , D , D , D , - , 5 , 46 , - , D , - , 3 , - , 3 , 10 , 8 , D , D , 61 , 10 , 13 , 15 , - , 4 , - , D , D , - , D , - , 78 , 37 , - , 20 , D , 3 , 15 , - , 10 , 5 , - , 9 , 16 , 3 , - , - , - , 8 , 56 , - , 22 , - , 5 
Georgia," 1,253 ", - , D , 6 , - , 308 , 13 , 7 , - , D , 43 , 22 , - , - , 6 , 38 , D , - , - , 4 , 3 , - , 25 , 20 , 5 , 4 , D , 6 , - , D , 13 , D , 111 , D , 383 , 7 , - , 27 , D , 15 , 60 , - , D , D , - , 7 , 17 , - , - , 3 , D , 11 , 60 , - , 3 , - , 9 
Germany," 4,461 ", 54 , 15 , 105 , 17 , 724 , 121 , 55 , 8 , 13 , 487 , 155 , 4 , 41 , 22 , 145 , 42 , 10 , 31 , 47 , 16 , 13 , 116 , 126 , 102 , 33 , 8 , 46 , 17 , 8 , 39 , 23 , 137 , 35 , 269 , 152 , 6 , 84 , 34 , 71 , 126 , 8 , 12 , 80 , 7 , 53 , 268 , 40 , D , 30 , 13 , 130 , 151 , 9 , 45 , D , 54 
Ghana," 4,690 ", 8 , D , 34 , 7 , 131 , 73 , 95 , 36 , 5 , 80 , 261 , D , 4 , 4 , 260 , 22 , 8 , 14 , 32 , D , D , 388 , 270 , 22 , 87 , 6 , 12 , 3 , 9 , 11 , 4 , 420 , 6 , 961 , 112 , D , 283 , 51 , 7 , 142 , - , 26 , 34 , D , 38 , 233 , 16 , - , 6 , 5 , 306 , 32 , D , 16 , D , 100 
Gibraltar, 4 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Greece, 844 , D , - , 13 , - , 118 , 6 , 24 , 4 , D , 64 , 9 , - , 3 , - , 75 , 5 , D , D , D , 3 , - , 25 , 67 , 24 , 5 , D , 3 , - , D , 10 , 13 , 35 , D , 169 , 17 , - , 17 , D , D , 35 , D , 4 , 12 , - , 6 , 26 , D , - , 6 , 3 , 7 , 13 , - , 3 , - , 4 
Grenada, 528 , D , - , - , - , 5 , - , 9 , D , 5 , 47 , 12 , - , - , - , D , - , - , - , - , - , - , 21 , 6 , D , D , - , D , - , - , - , - , 21 , - , 328 , 7 , - , D , D , D , 7 , - , - , 6 , - , 5 , 16 , D , 4 , D , D , 10 , D , - , - , - , 2 
Guatemala," 7,285 ", 30 , 4 , 130 , 26 ," 2,878 ", 75 , 81 , 5 , 9 , 552 , 131 , - , 9 , 12 , 271 , 47 , 27 , 25 , 22 , 26 , 6 , 158 , 347 , 18 , 41 , 3 , 27 , 3 , 63 , 128 , 8 , 309 , 18 , 401 , 81 , D , 36 , 43 , 66 , 44 , 8 , 203 , 28 , 6 , 58 , 432 , 8 , - , 64 , D , 133 , 72 , D , 22 , D , 86 
Guinea, 575 , 4 , - , 6 , - , 7 , 10 , 9 , 11 , D , 9 , 54 , - , - , - , 9 , 12 , - , D , D , - , - , 50 , 23 , 13 , 21 , D , - , - , - , - , D , 21 , - , 156 , 12 , - , 35 , D , D , 43 , - , 6 , 3 , - , 14 , 7 , D , - , D , D , 10 , 10 , - , D , - , 5 
Guinea-Bissau, 29 , - , - , 3 , - , 4 , - , D , - , - , D , D , - , - , - , - , - , - , - , - , - , - , 3 , 7 , D , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Guyana," 5,413 ", 8 , - , 5 , 3 , 57 , D , 114 , 11 , 7 , 630 , 152 , - , 3 , - , 24 , 3 , 3 , 4 , 3 , 9 , - , 144 , 43 , 11 , 88 , 5 , 9 , - , D , 11 , D , 417 , - ," 3,291 ", 31 , - , 34 , 5 , D , 77 , D , D , 20 , - , 11 , 78 , 12 , 3 , - , D , 43 , 7 , 3 , D , - , 23 
Haiti," 14,191 ", 14 , 4 , 17 , D , 81 , 19 , 256 , 51 , 5 ," 7,980 ", 322 , - , 6 , 4 , 86 , 21 , D , 8 , 19 , 27 , 4 , 153 ," 1,365 ", 17 , 12 , D , 38 , - , 5 , 19 , 10 , 721 , 3 ," 2,057 ", 52 , D , 25 , 19 , 10 , 305 , 6 , 79 , 46 , - , 32 , 63 , 24 , 25 , 8 , D , 67 , 20 , 3 , D , - , 75 
Honduras," 3,980 ", 23 , 5 , 29 , 14 , 469 , 37 , 34 , 4 , 5 , 905 , 99 , - , 3 , D , 74 , 29 , 11 , 14 , 11 , 211 , - , 98 , 128 , 9 , 23 , 5 , 13 , - , 17 , 38 , 7 , 244 , 4 , 442 , 119 , D , 28 , 25 , 14 , 47 , 8 , 8 , 35 , D , 32 , 420 , 8 , - , 22 , - , 94 , 26 , D , 22 , D , 58 
Hong Kong," 2,184 ", 8 , D , 36 , 3 , 910 , 14 , 14 , 3 , D , 65 , 32 , 4 , 39 , D , 51 , 6 , D , 7 , 9 , 7 , D , 27 , 103 , 16 , 12 , D , 8 , - , - , 26 , 4 , 54 , D , 328 , 15 , - , 16 , 6 , 14 , 27 , D , 3 , 15 , D , 6 , 124 , - , - , 6 , D , 15 , 109 , D , 11 , - , 15 
Hungary, 953 , 6 , D , 24 , D , 155 , 21 , 24 , D , D , 209 , 10 , - , D , D , 26 , 3 , - , - , 4 , - , - , 11 , 25 , 12 , 5 , D , 4 , - , D , 18 , D , 63 , 3 , 109 , 17 , D , 30 , 5 , 7 , 29 , - , D , 5 , - , 4 , 39 , D , - , 4 , - , 23 , 20 , - , 9 , - , 8 
Iceland, 76 , - , - , - , - , 8 , D , D , D , - , 15 , D , - , D , D , 4 , D , - , - , - , D , - , D , 6 , D , - , - , - , - , - , D , - , D , D , D , D , - , D , - , - , D , - , - , - , - , - , 3 , - , - , - , D , 5 , 5 , - , D , - , 3 
India," 45,985 ", 259 , 13 , 550 , 121 ," 9,549 ", 260 , 712 , 175 , 30 ," 1,834 "," 1,898 ", - , 19 , 19 ," 3,074 ", 508 , 95 , 232 , 266 , 134 , 34 ," 1,005 "," 1,434 "," 1,086 ", 420 , 109 , 347 , 6 , 85 , 214 , 154 ," 4,929 ", 81 ," 3,326 "," 1,053 ", 12 ," 1,038 ", 184 , 283 ," 1,971 ", D , 68 , 326 , 17 , 517 ," 4,216 ", D , 9 , 64 , 27 ," 1,193 "," 1,118 ", 30 , 391 , 8 , 475 
Indonesia," 2,345 ", 9 , D , 25 , 3 , 942 , 52 , 10 , D , D , 56 , 94 , - , 14 , D , 49 , 7 , 9 , 11 , 12 , 7 , 4 , 32 , 26 , 6 , 9 , - , 7 , - , 6 , 33 , 51 , 66 , D , 229 , 35 , - , 30 , 11 , 23 , 164 , - , 3 , 13 , - , 11 , 138 , 4 , - , 9 , - , 42 , 56 , D , 15 , D , 12 
Iran," 9,286 ", 24 , 3 , 165 , 8 ," 5,191 ", 85 , 36 , 6 , 4 , 231 , 182 , D , 4 , 5 , 214 , 22 , 14 , 31 , 18 , 15 , 9 , 283 , 124 , 60 , 40 , 7 , 47 , D , 12 , 99 , 8 , 130 , 9 , 298 , 92 , 5 , 73 , 51 , 74 , 83 , D , 6 , 27 , D , 83 , 647 , - , - , 68 , D , 334 , 191 , 7 , 30 , - , 123 
Iraq," 3,360 ", 11 , - , 158 , - , 609 , 27 , 10 , D , D , 55 , 36 , - , 3 , 5 , 190 , 10 , 6 , D , 17 , 7 , 5 , 20 , 21 ," 1,269 ", 31 , D , 40 , - , 37 , 18 , 5 , 21 , 12 , 61 , 19 , - , 31 , 14 , 22 , 43 , D , 3 , 25 , 3 , 183 , 131 , D , - , 28 , - , 80 , 40 , D , 4 , - , 41 
Ireland," 1,171 ", D , D , 24 , D , 188 , 14 , 27 , 3 , 8 , 68 , 20 , - , - , D , 62 , 5 , 3 , D , 6 , D , 5 , 18 , 144 , 9 , 6 , - , 5 , D , 3 , 3 , 17 , 57 , D , 230 , 22 , - , 21 , 3 , 13 , 35 , - , 7 , 8 , - , 5 , 40 , D , D , 4 , D , 17 , 37 , D , 10 , - , 6 
Israel," 3,153 ", 9 , D , 37 , 5 , 733 , 24 , 10 , 5 , 4 , 416 , 74 , - , 7 , - , 116 , 13 , 3 , 10 , 10 , 5 , 3 , 43 , 102 , 35 , 16 , D , 20 , D , D , 58 , 12 , 198 , D , 671 , 36 , - , 58 , D , 9 , 76 , 4 , 5 , 13 , - , 22 , 143 , D , 4 , 4 , D , 31 , 48 , D , 21 , - , 27 
Italy," 2,231 ", 15 , D , 23 , D , 326 , 28 , 53 , 7 , 7 , 270 , 46 , 3 , 10 , D , 68 , 12 , 7 , D , 9 , 7 , 3 , 45 , 123 , 51 , 9 , D , 8 , D , D , 24 , 7 , 178 , 7 , 387 , 59 , - , 33 , 5 , 15 , 115 , 5 , 15 , 15 , - , 10 , 63 , 17 , - , 12 , D , 39 , 45 , D , 15 , - , 22 
Jamaica," 14,591 ", 14 , 3 , 42 , 7 , 247 , 24 , 635 , 69 , 23 ," 4,532 ", 804 , D , 9 , D , 172 , 24 , 10 , 10 , 27 , 17 , 12 , 468 , 422 , 63 , 31 , 16 , 35 , D , D , 22 , 7 , 850 , 8 ," 4,382 ", 155 , D , 87 , 51 , 11 , 437 , 5 , 19 , 139 , - , 34 , 230 , 50 , 8 , 5 , D , 187 , 39 , 8 , 35 , D , 95 
Japan," 1,744 ", 7 , 3 , 29 , 3 , 619 , 27 , 15 , - , 4 , 67 , 22 , 11 , 156 , 3 , 50 , 4 , D , 3 , 7 , D , D , 23 , 40 , 16 , 7 , D , 12 , D , 4 , 30 , 7 , 54 , 7 , 170 , 24 , D , 14 , 5 , 21 , 21 , - , - , 13 , D , 6 , 63 , 12 , D , 13 , D , 30 , 85 , 3 , 7 , D , 15 
Jordan," 2,345 ", 18 , D , 26 , 9 , 389 , 7 , 17 , 5 , D , 154 , 33 , - , - , D , 356 , 15 , 5 , 16 , 26 , 50 , D , 19 , 38 , 97 , 25 , 14 , 23 , - , D , 3 , D , 116 , 6 , 146 , 62 , 4 , 114 , 11 , 9 , 67 , 7 , 3 , 13 , - , 45 , 217 , - , 4 , 4 , - , 56 , 28 , 4 , 28 , - , 47 
Kazakhstan, 891 , 7 , D , 11 , D , 169 , 9 , D , - , D , 67 , 18 , D , D , 7 , 21 , 3 , 5 , D , 4 , D , 3 , 19 , 30 , 5 , 21 , D , 3 , - , D , 8 , D , 21 , D , 148 , 14 , D , 16 , 5 , 28 , 30 , - , - , 18 , - , 8 , 32 , D , - , D , D , 21 , 105 , - , 3 , D , 8 
Kenya," 3,621 ", 81 , D , 77 , 4 , 350 , 34 , 17 , 73 , 6 , 103 , 237 , - , 4 , 5 , 66 , 47 , 26 , 92 , 13 , 6 , 11 , 189 , 257 , 35 , 235 , 5 , 75 , D , 12 , 22 , 27 , 147 , 7 , 60 , 130 , D , 66 , 43 , 23 , 140 , - , 5 , 51 , - , 36 , 499 , 10 , - , 10 , D , 93 , 134 , D , 20 , D , 26 
Kiribati, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - 
"Korea, North", 13 , - , - , D , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Korea, South"," 12,664 ", 76 , 38 , 121 , 12 ," 3,854 ", 155 , 63 , 32 , 7 , 258 , 594 , 39 , 189 , 13 , 570 , 56 , 23 , 52 , 40 , 23 , 5 , 460 , 201 , 164 , 61 , 10 , 66 , 5 , 14 , 129 , 9 , 978 , 21 ," 1,258 ", 193 , D , 110 , 66 , 102 , 390 , - , 7 , 90 , D , 84 , 625 , 55 , 8 , 37 , 3 , 566 , 501 , 3 , 45 , 7 , 171 
Kosovo, 465 , - , - , 12 , - , 10 , D , 19 , D , - , 21 , 10 , - , D , D , 28 , - , 5 , - , 8 , - , - , D , 9 , 18 , D , D , 10 , - , - , D , 7 , 25 , D , 175 , D , - , 4 , D , D , 12 , - , D , - , - , 13 , 36 , D , - , 3 , - , 4 , 5 , - , 10 , - , 1 
Kuwait, 869 , 3 , - , 18 , D , 130 , 10 , 11 , D , D , 64 , 23 , - , D , D , 61 , 10 , - , 11 , 4 , 11 , - , 18 , 19 , 44 , 7 , D , 11 , - , 4 , D , - , 42 , D , 52 , 28 , D , 51 , 6 , D , 9 , - , 6 , 4 , D , 28 , 97 , - , D , 5 , D , 21 , 14 , D , 13 , - , 16 
Kyrgyzstan, 440 , D , 3 , 10 , - , 64 , 6 , D , - , - , 20 , D , - , D , D , 11 , 8 , - , D , D , D , - , 12 , 19 , 5 , 12 , D , 4 , - , D , D , 4 , 12 , D , 65 , 7 , D , 11 , D , 17 , 16 , - , - , 4 , - , D , 16 , 5 , - , D , - , 19 , 56 , - , D , - , 6 
Laos," 5,452 ", 22 , 59 , 13 , 40 ," 2,773 ", 39 , 18 , - , - , 51 , 67 , - , 9 , 7 , 25 , 4 , 32 , 54 , 3 , 7 , D , 6 , 36 , 46 , 955 , 3 , 15 , D , 3 , 15 , 4 , 4 , D , 39 , 108 , D , 27 , 25 , 30 , 29 , - , 26 , 15 , 3 , 49 , 102 , 4 , - , 27 , - , 20 , 106 , D , 491 , - , 35 
Latvia, 401 , D , D , 6 , - , 59 , 5 , 7 , 3 , - , 28 , 11 , - , D , - , 37 , - , 4 , D , D , D , - , 13 , 14 , 3 , 8 , 3 , 7 , - , D , 4 , D , 20 , - , 67 , 12 , - , 10 , D , D , 11 , - , D , 3 , - , 4 , 9 , - , - , - , - , 7 , 12 , D , 14 , - , 6 
Lebanon," 3,127 ", 20 , - , 41 , 3 , 585 , 14 , 29 , 8 , - , 243 , 59 , - , 5 , - , 68 , 12 , D , 17 , 14 , 12 , 7 , 23 , 291 , 537 , 17 , D , 16 , D , 4 , 36 , 18 , 95 , D , 182 , 39 , - , 128 , 21 , 15 , 55 , 5 , 25 , 20 , 3 , 22 , 251 , - , - , 4 , D , 92 , 24 , 4 , 11 , - , 45 
Lesotho, 11 , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , D , - , - , D , - , 1 
Liberia," 3,794 ", 12 , - , 73 , D , 110 , 27 , 28 , 39 , D , 57 , 145 , - , 3 , - , 63 , 38 , 37 , 11 , 28 , 8 , - , 259 , 163 , 53 , 533 , 3 , 45 , D , 8 , 15 , 19 , 266 , - , 251 , 145 , 16 , 97 , 19 , 16 , 585 , - , 162 , 14 , 23 , 33 , 181 , 9 , D , 25 , - , 70 , 31 , 3 , 20 , - , 45 
Libya, 180 , 4 , - , D , - , 22 , 3 , D , - , - , 15 , 7 , - , - , - , 5 , D , - , 4 , D , D , - , 5 , D , 7 , D , - , 3 , - , 3 , 5 , - , 8 , - , 14 , D , D , 7 , - , 5 , 6 , - , D , D , D , D , 15 , - , - , - , D , 9 , 8 , - , D , - , 5 
Liechtenstein, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Lithuania, 973 , - , - , 3 , - , 79 , 14 , 10 , D , - , 90 , 17 , - , D , - , 401 , 5 , D , D , - , D , - , 11 , 33 , 13 , 10 , D , D , D , D , 11 , 3 , 58 , 3 , 75 , 7 , - , 15 , D , 3 , 26 , D , D , 6 , - , 6 , 16 , D , - , 3 , - , 8 , 13 , - , 7 , D , 5 
Luxembourg, 18 , - , - , D , D , 3 , - , D , - , - , D , D , - , D , - , - , - , D , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , 1 
Macau, 86 , - , - , 3 , - , 51 , - , D , - , - , D , 4 , - , D , - , - , - , - , - , - , - , - , - , D , D , D , - , - , - , - , D , - , - , - , 6 , - , - , D , - , - , 3 , - , - , - , - , - , 3 , - , - , - , - , D , D , - , - , - , - 
Macedonia, 578 , D , 18 , 9 , D , 16 , 4 , 35 , - , - , 34 , 3 , - , - , D , 65 , 33 , - , D , 3 , D , D , D , 5 , 45 , - , - , 4 , - , - , 8 , D , 99 , D , 98 , 4 , - , 27 , - , D , 6 , - , - , - , - , 3 , 12 , - , - , D , D , 6 , D , D , 16 , - , 7 
Madagascar, 44 , D , - , - , - , 7 , - , - , - , D , 3 , D , - , - , - , D , D , - , - , D , - , - , D , - , - , D , - , - , - , - , - , - , D , D , 6 , D , - , - , - , D , D , - , - , - , - , - , D , - , - , D , D , 5 , D , - , - , - , 1 
Malawi, 86 , D , - , - , 3 , 12 , D , D , - , - , D , 3 , - , - , - , D , 7 , - , - , - , - , - , 4 , 3 , D , 3 , - , D , - , D , - , - , D , - , 3 , D , - , D , - , - , 6 , - , - , D , - , D , 8 , D , - , - , - , 9 , D , - , D , - , 1 
Malaysia," 1,137 ", 3 , - , 13 , 7 , 266 , 17 , 12 , D , D , 42 , 38 , D , 8 , D , 42 , 5 , 4 , 11 , 3 , 10 , - , 17 , 21 , 13 , 13 , 5 , 12 , - , 4 , 14 , 3 , 44 , D , 180 , 18 , D , 17 , 21 , 14 , 22 , - , D , 11 , - , 11 , 110 , - , - , 3 , D , 25 , 40 , D , 11 , - , 14 
Maldives, 3 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Mali, 274 , - , - , D , - , 8 , 11 , - , - , - , 6 , 23 , - , D , - , 5 , 5 , - , D , - , - , D , 30 , D , - , 3 , - , D , - , D , - , - , 6 , D , 74 , 6 , - , 10 , D , D , 40 , - , 4 , D , - , D , 11 , D , - , D , - , 10 , D , - , D , - , 1 
Malta, 54 , - , - , - , - , 7 , - , - , - , - , 5 , - , - , - , - , - , D , - , D , - , - , - , D , 3 , 4 , 4 , - , D , - , - , - , - , 4 , - , 17 , D , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , D , - , - , - , - , 1 
Marshall Islands, 32 , - , - , - , D , D , - , - , - , - , - , 4 , - , D , - , - , - , - , D , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , 7 , - , - , - , 3 , D , - , - , - , 2 
Mauritania, 405 , D , - , D , - , 4 , 27 , - , 3 , - , 3 , 11 , - , - , - , 10 , 4 , - , - , 21 , 7 , D , 8 , 8 , 6 , - , D , 3 , - , - , - , - , D , - , 103 , D , - , 104 , D , - , 20 , - , 3 , D , - , 22 , 6 , - , - , - , - , 9 , 8 , - , D , - , 3 
Mauritius, 64 , D , - , D , - , 19 , D , - , - , - , 3 , D , - , - , - , 3 , - , D , - , - , - , - , 6 , - , D , - , - , - , - , D , - , - , 3 , - , 4 , D , - , D , - , D , D , - , - , - , D , - , 6 , - , - , - , - , 4 , D , - , - , - , 1 
Mexico," 94,783 ", 314 , 70 ," 5,765 ", 510 ," 37,011 "," 2,048 ", 129 , 133 , 13 ," 2,330 "," 1,717 ", D , 89 , 621 ," 5,901 ", 685 , 368 , 711 , 202 , 172 , 13 , 276 , 168 , 581 , 461 , 133 , 358 , 23 , 477 ," 2,035 ", 36 , 505 ," 1,427 ", 963 ," 1,237 ", 22 , 379 , 626 ," 1,270 ", 500 , 60 , 45 , 319 , 27 , 508 ," 18,862 ", 166 , D , 927 , 7 , 373 ," 2,077 ", 18 , 745 , 73 , 294 
"Micronesia, Federated States", 74 , D , D , D , - , 7 , D , - , - , D , D , 4 , 3 , 4 , - , - , - , - , - , D , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , D , - , - , 3 , - , - , - , - , 3 , - , - , 13 , 6 , D , - , D , 5 , 8 , - , - , - , 1 
Moldova," 1,398 ", 7 , 3 , 9 , D , 321 , 16 , 12 , - , 3 , 31 , 43 , - , - , 3 , 28 , 4 , D , - , 6 , 3 , D , 22 , 73 , 6 , 93 , - , 29 , D , D , 5 , D , 22 , - , 122 , 49 , - , 8 , D , 68 , 36 , - , - , 9 , - , 10 , 16 , D , - , 4 , D , 22 , 291 , - , 5 , - , 8 
Monaco, D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Mongolia, 242 , - , - , - , D , 87 , 16 , - , - , D , D , 3 , - , - , 3 , 28 , 9 , D , - , D , D , - , 6 , - , D , D , - , 3 , - , - , D , - , - , - , 11 , D , - , 4 , D , - , D , - , - , - , - , D , 5 , - , - , D , - , 22 , 9 , D , D , - , 14 
