Return to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Gabon,133,D,0,0,0,4,D,3,0,D,D,6,0,0,0,3,3,D,D,0,0,0,17,3,D,4,0,0,0,D,0,0,5,D,21,D,0,D,D,D,4,0,0,0,D,D,35,0,0,0,0,3,D,0,D,0,0
Gambia,"1,072",6,10,D,D,16,9,8,4,D,6,97,0,D,D,13,4,D,4,28,0,0,63,10,24,37,3,4,0,D,D,0,21,0,234,30,3,57,3,5,27,0,15,D,0,11,56,0,0,0,0,17,157,0,64,0,14
Georgia,"1,402",D,0,4,D,141,10,17,0,6,48,18,0,0,0,35,4,0,4,5,D,D,33,17,D,6,0,D,0,D,10,D,193,0,591,7,0,20,D,D,120,D,0,3,0,D,25,D,0,D,0,31,22,D,D,0,8
Germany,"4,218",65,17,87,21,745,78,50,9,26,388,177,0,24,23,121,27,12,9,38,19,14,78,100,147,34,5,35,13,7,36,18,150,20,299,125,D,78,33,82,128,D,12,61,4,54,304,15,0,22,7,109,188,16,44,9,29
Ghana,"7,588",18,4,58,8,211,135,181,85,14,90,421,0,10,4,265,43,30,27,50,13,D,596,363,36,94,9,45,D,11,19,5,776,16,"1,317",114,31,554,41,30,220,D,24,21,D,60,499,24,0,18,5,747,101,7,41,3,88
Greece,"1,452",D,D,14,D,175,12,34,7,6,104,20,0,D,0,84,12,D,3,3,4,0,49,92,23,5,D,5,0,D,7,11,98,D,377,11,0,25,3,8,76,0,4,8,D,3,62,0,0,D,D,24,42,D,9,0,13
Grenada,748,3,D,D,0,8,D,10,D,3,41,17,0,0,D,3,D,D,D,D,D,0,23,7,D,D,0,D,0,0,D,0,41,0,482,4,0,D,0,0,7,0,0,D,D,D,46,0,D,0,0,12,5,0,D,0,8
Guatemala,"10,912",78,8,159,68,"3,620",61,165,29,30,693,292,D,7,24,271,70,64,49,42,46,4,353,460,52,87,15,46,D,100,165,12,483,22,677,143,D,87,70,176,146,10,252,58,23,87,848,7,0,96,D,380,152,7,34,D,76
Guinea,"1,315",6,0,11,D,14,3,12,6,6,9,70,0,D,0,14,35,7,4,6,0,D,76,19,16,33,0,6,D,D,D,0,75,D,514,13,D,85,0,7,105,0,5,D,0,13,37,0,0,0,D,36,36,0,12,0,11
Guyana,"6,872",10,D,11,D,49,5,147,21,14,525,208,0,4,D,17,3,D,5,5,9,D,180,42,16,63,D,7,D,0,6,0,674,D,"4,452",34,0,20,3,5,108,0,D,15,0,18,74,6,3,0,D,44,7,3,D,D,42
