Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Djibouti, 39 , - , D , - , - , 3 , 3 , - , D , - , D , - , - , - , - , D , - , D , - , - , - , D , D , - , - , 3 , - , - , - , - , - , - , - , - , D , D , - , 5 , - , - , D , - , - , D , D , D , 3 , - , - , - , - , 5 , 3 , - , - , - , - 
Dominica, 642 , - , 4 , - , - , 8 , - , 16 , D , D , 110 , 31 , - , - , - , 10 , 3 , - , D , D , D , - , 20 , 20 , 5 , D , - , - , - , D , - , - , 59 , - , 137 , 11 , D , D , 4 , - , 5 , - , D , 5 , - , D , 34 , - , 130 , - , - , 5 , 5 , D , - , - , 4 
Dominican Republic," 39,590 ", 14 , 45 , 41 , 7 , 117 , 16 , 533 , 37 , 56 ," 3,368 ", 269 , D , 5 , 4 , 89 , 41 , 8 , 10 , 16 , 90 , 11 , 260 ," 2,489 ", 92 , 26 , 14 , 20 , - , 6 , 32 , 116 ," 5,377 ", D ," 20,402 ", 289 , D , 168 , 18 , 6 ," 2,061 "," 1,852 ", 872 , 82 , D , 25 , 170 , 8 , 120 , 15 , 3 , 141 , 17 , 5 , 31 , D , 89 
East Timor, D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ecuador," 9,470 ", 6 , D , 29 , 6 , 444 , 23 , 389 , 7 , 8 ," 1,306 ", 86 , - , 6 , 5 , 214 , 15 , 15 , 14 , 16 , 16 , D , 106 , 114 , 17 , 73 , 5 , 8 , D , 5 , 37 , 7 ," 1,618 ", 11 ," 3,952 ", 175 , D , 41 , 23 , 20 , 158 , 17 , 13 , 53 , - , 20 , 180 , 8 , - , 44 , D , 91 , 25 , D , 13 , D , 23 
Egypt," 6,213 ", 23 , D , 44 , 12 ," 1,101 ", 12 , 40 , 15 , 7 , 339 , 86 , - , 3 , 9 , 136 , 29 , 6 , 16 , 21 , 15 , D , 93 , 183 , 125 , 67 , 6 , 20 , D , 6 , 21 , 10 ," 1,107 ", D , 920 , 119 , 5 , 139 , 12 , 37 , 233 , D , 5 , 49 , - , 395 , 249 , - , - , 4 , D , 337 , 91 , 12 , 19 , - , 26 
El Salvador," 18,401 ", 20 , 10 , 144 , 145 ," 6,807 ", 83 , 47 , 11 , 185 , 700 , 315 , D , 7 , 17 , 133 , 55 , 63 , 66 , 33 , 35 , 6 ," 1,172 ", 493 , 28 , 84 , 8 , 40 , - , 73 , 319 , 4 , 534 , 23 ," 1,981 ", 375 , - , 41 , 33 , 78 , 63 , 12 , 26 , 49 , 6 , 79 ," 2,213 ", D , - , 72 , D ," 1,491 ", 130 , 12 , 26 , - , 49 
Equatorial Guinea, 14 , - , - , - , - , 5 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , D , - , - , - , - , - , D , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Eritrea," 1,145 ", - , - , 17 , D , 197 , 45 , 3 , D , 30 , 9 , 68 , - , - , - , 26 , 18 , 5 , 7 , D , 4 , - , 86 , 17 , 9 , 43 , - , 19 , - , 7 , 28 , - , 7 , - , 20 , 37 , - , 31 , 6 , 13 , 23 , - , 3 , - , 5 , 7 , 83 , - , - , 4 , - , 111 , 138 , 3 , 5 , - , 6 
Estonia, 213 , D , - , D , - , 34 , 4 , 3 , - , - , 39 , 4 , - , - , - , 5 , 3 , D , D , D , - , - , 9 , 5 , 3 , D , - , 4 , - , - , D , - , 8 , D , 29 , D , - , 10 , - , 5 , 5 , - , - , 5 , - , D , 5 , D , - , D , - , 4 , 13 , - , - , - , - 
Ethiopia," 8,323 ", 11 , 3 , 81 , D , 892 , 288 , 19 , 9 , 354 , 116 , 592 , - , 3 , 5 , 158 , 38 , 41 , 59 , 20 , 14 , 11 , 853 , 184 , 48 , 729 , 4 , 84 , - , 50 , 300 , D , 46 , D , 120 , 123 , D , 248 , 19 , 85 , 132 , - , D , 18 , 54 , 165 , 635 , D , - , 9 , 4 , 974 , 638 , 11 , 24 , 3 , 40 
Fiji," 1,003 ", - , 3 , 5 , - , 785 , D , - , - , - , 8 , 9 , - , 8 , - , 4 , - , D , 5 , D , D , - , - , 6 , D , D , - , 6 , - , - , 6 , - , 6 , D , 3 , - , D , 6 , - , 23 , D , - , - , D , - , D , 21 , - , - , 4 , - , D , 76 , - , D , - , D 
Finland, 300 , - , - , 3 , D , 53 , 4 , 3 , - , D , 37 , 23 , - , D , D , 6 , D , D , D , D , 3 , 3 , 6 , 8 , D , 8 , - , 3 , 3 , - , D , 3 , 4 , - , 25 , 6 , - , 9 , D , 4 , 11 , - , D , - , D , 3 , 33 , - , - , 3 , - , 5 , 5 , - , 6 , D , - 
France," 2,534 ", 9 , 7 , 46 , D , 601 , 36 , 38 , D , 30 , 269 , 69 , D , 15 , 7 , 76 , 11 , 5 , 8 , 12 , 13 , 5 , 85 , 85 , 43 , 33 , D , 7 , 3 , 5 , 28 , 10 , 98 , 15 , 295 , 46 , D , 27 , 8 , 32 , 60 , 4 , 11 , 33 , D , 15 , 128 , - , 8 , 8 , 5 , 88 , 56 , D , 21 , - , 9 
French Polynesia, 8 , - , - , - , - , D , - , - , - , - , 3 , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
Gabon, 72 , D , D , - , - , 9 , - , - , - , D , 3 , 4 , - , - , - , - , 3 , - , - , - , D , - , 7 , D , D , D , - , - , - , - , - , - , 4 , - , 10 , D , - , 4 , - , - , - , - , D , D , - , - , 8 , - , - , - , - , 4 , D , - , - , - , - 
Gambia, 573 , D , 7 , D , D , 4 , 3 , D , D , D , 8 , 68 , - , - , D , D , D , - , 5 , 17 , - , - , 50 , 10 , 16 , 14 , - , 3 , - , D , - , - , 15 , - , 100 , 30 , - , 25 , D , 7 , 14 , - , 14 , 4 , D , 11 , 13 , - , - , - , - , 13 , 74 , D , 28 , - , D 
Georgia," 1,205 ", - , 3 , 9 , - , 179 , 15 , 15 , D , - , 40 , 30 , - , - , D , 27 , 7 , 4 , D , 6 , D , D , 22 , 11 , 13 , 11 , - , 8 , - , - , 8 , 3 , 97 , - , 481 , 4 , - , 21 , D , 12 , 74 , - , - , D , - , 4 , 17 , - , - , 6 , - , 28 , 30 , - , 4 , - , 4 
Germany," 4,066 ", 40 , 17 , 101 , 14 , 666 , 77 , 67 , 6 , 19 , 432 , 158 , 3 , 33 , 14 , 96 , 36 , 18 , 18 , 44 , 15 , 12 , 93 , 100 , 112 , 44 , 10 , 51 , 10 , 14 , 44 , 23 , 124 , 28 , 279 , 111 , 5 , 95 , 44 , 61 , 106 , 4 , 13 , 74 , 6 , 48 , 243 , D , D , 17 , 9 , 151 , 150 , 8 , 48 , 7 , 45 
Ghana," 5,105 ", 12 , D , 30 , 7 , 151 , 71 , 144 , 39 , 10 , 81 , 288 , D , D , 4 , 224 , 22 , 9 , 5 , 30 , 5 , 7 , 469 , 275 , 36 , 83 , 8 , 25 , - , 8 , 18 , 4 , 497 , 10 , 847 , 117 , 5 , 355 , 45 , 14 , 166 , - , 24 , 91 , D , 38 , 246 , 3 , D , 15 , 6 , 458 , 30 , 5 , 19 , 3 , 39 
Gibraltar, 6 , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Greece, 938 , D , - , 15 , - , 119 , D , 30 , 3 , D , 90 , 10 , - , - , - , 61 , 4 , D , - , D , 9 , 3 , 24 , 72 , 24 , 7 , - , 5 , - , - , D , 7 , 61 , D , 216 , 22 , - , 29 , - , 5 , 34 , - , D , D , - , 5 , 26 , - , - , D , - , 21 , 14 , - , 4 , - , D 
Grenada, 717 , 3 , - , - , D , 5 , - , 7 , D , 3 , 45 , 17 , - , - , - , 5 , D , - , - , - , - , - , 21 , 8 , D , - , - , D , D , D , 3 , - , 28 , - , 499 , 4 , - , - , D , D , 9 , - , - , 6 , - , D , 29 , - , 6 , - , - , 7 , - , - , - , - , - 
Guatemala," 9,530 ", 23 , 3 , 139 , 48 ," 4,088 ", 41 , 119 , 9 , 20 , 691 , 174 , - , 9 , 9 , 274 , 23 , 33 , 33 , 29 , 36 , D , 216 , 309 , 35 , 46 , 4 , 19 , D , 80 , 162 , 5 , 351 , 24 , 696 , 126 , D , 40 , 42 , 95 , 57 , 5 , 220 , 40 , 13 , 56 , 573 , 3 , - , 67 , - , 302 , 97 , 4 , 16 , 7 , 15 
Guinea, 958 , 3 , - , - , - , 10 , 12 , 4 , 7 , 5 , 9 , 66 , - , - , D , 18 , 15 , 5 , 5 , D , D , - , 64 , 18 , 18 , 35 , - , 5 , - , D , D , - , 19 , - , 425 , 16 , - , 48 , D , 4 , 61 , - , 8 , 3 , - , 8 , 18 , D , - , D , D , 17 , 8 , - , 6 , - , 6 
Guinea-Bissau, 24 , - , - , D , - , - , - , D , - , - , D , D , - , - , - , - , D , - , - , - , - , - , - , 7 , - , - , - , - , - , - , - , - , - , - , 5 , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , D 
Guyana," 6,295 ", - , D , 10 , D , 62 , 4 , 76 , 18 , 8 , 571 , 168 , - , 5 , - , 21 , 4 , D , - , D , 4 , D , 138 , 31 , 9 , 93 , D , 3 , - , D , 4 , 3 , 429 , D ," 4,313 ", 33 , - , 27 , 8 , D , 80 , - , 4 , 33 , - , 8 , 44 , D , 4 , - , D , 36 , 10 , D , D , - , 15 
Haiti," 23,480 ", 11 , 4 , 22 , - , 80 , 13 , 319 , 59 , 13 ," 14,097 ", 378 , - , 6 , D , 74 , 21 , 3 , 9 , 37 , 25 , 8 , 180 ," 1,560 ", 19 , 16 , D , 16 , - , 6 , 10 , 18 ," 1,838 ", 5 ," 3,623 ", 90 , D , 44 , 15 , 18 , 400 , 6 , 61 , 78 , D , 19 , 76 , 5 , 29 , 9 , - , 86 , 18 , 5 , 5 , - , 41 
Honduras," 5,462 ", 11 , 4 , 32 , 17 , 638 , 27 , 65 , - , 14 ," 1,297 ", 121 , - , - , 3 , 75 , 43 , 19 , 12 , 15 , 221 , 7 , 127 , 132 , 13 , 22 , 14 , 24 , D , 12 , 39 , 4 , 288 , 4 , 825 , 146 , D , 37 , 16 , 20 , 57 , 8 , 7 , 38 , D , 43 , 571 , 4 , - , 22 , D , 262 , 43 , D , 30 , D , 24 
Hong Kong," 2,093 ", 5 , D , 30 , D , 934 , 11 , 16 , D , 4 , 56 , 35 , 5 , 31 , D , 51 , 4 , 4 , 8 , 3 , D , D , 25 , 92 , 24 , 10 , - , 9 , D , D , 20 , 3 , 76 , - , 281 , 23 , - , 21 , 4 , 23 , 26 , - , 4 , 6 , - , 6 , 95 , - , - , 8 , - , 32 , 88 , - , 8 , - , D 
Hungary, 984 , D , D , 16 , 3 , 173 , 18 , 26 , - , D , 225 , 22 , - , 3 , D , 26 , 3 , D , D , 4 , 7 , D , 11 , 24 , 7 , 4 , D , D , D , - , 31 , D , 55 , D , 116 , 17 , D , 15 , 4 , 3 , 26 , - , D , 8 , 3 , 8 , 43 , - , - , 4 , D , 23 , 20 , D , 7 , D , D 
Iceland, 75 , D , - , D , - , 18 , D , - , - , D , 9 , D , - , D , D , - , - , D , - , D , - , D , D , 3 , D , 5 , - , - , - , D , - , D , D , - , 4 , D , - , - , - , D , - , - , - , D , - , D , D , - , - , - , - , 8 , 3 , - , D , - , - 
India," 49,897 ", 182 , 9 , 578 , 94 ," 10,820 ", 256 , 802 , 230 , 36 ," 1,741 "," 2,147 ", D , 22 , 29 ," 3,120 ", 486 , 130 , 221 , 287 , 142 , 28 ," 1,291 "," 1,298 "," 1,334 ", 443 , 133 , 338 , 11 , 94 , 201 , 162 ," 5,354 ", 78 ," 3,638 "," 1,061 ", 31 ," 1,106 ", 210 , 279 ," 1,997 ", 3 , 41 , 344 , 23 , 490 ," 4,476 ", D , 7 , 82 , 27 ," 2,007 "," 1,379 ", 44 , 405 , 10 , 136 
Indonesia," 2,190 ", D , - , 25 , 5 , 996 , 33 , 10 , 3 , D , 56 , 64 , - , 6 , 3 , 42 , 9 , D , 7 , 6 , 6 , 3 , 46 , 21 , 11 , 19 , 4 , 6 , D , - , 40 , 27 , 55 , D , 199 , 24 , D , 25 , 14 , 10 , 127 , - , D , 5 , D , 12 , 116 , - , - , 7 , D , 44 , 75 , D , 10 , 3 , 3 
Iran," 11,623 ", 23 , D , 226 , 10 ," 6,848 ", 83 , 46 , 7 , 21 , 247 , 268 , D , 6 , 19 , 190 , 41 , 15 , 26 , 24 , 24 , 15 , 329 , 130 , 80 , 45 , 6 , 56 , D , 27 , 111 , 9 , 134 , 19 , 344 , 94 , D , 113 , 69 , 61 , 94 , D , 6 , 34 , D , 91 , 784 , - , - , 65 , D , 463 , 245 , 8 , 35 , D , 20 
Iraq," 7,771 ", 19 , 5 , 426 , 3 ," 1,764 ", 54 , 35 , - , 13 , 127 , 113 , - , 3 , 64 , 446 , 23 , 33 , 42 , 84 , 18 , 66 , 55 , 89 ," 2,115 ", 66 , - , 111 , 6 , 78 , 29 , 29 , 66 , 20 , 159 , 64 , 28 , 120 , 38 , 30 , 134 , - , 12 , 31 , 6 , 137 , 427 , - , - , 50 , 13 , 335 , 131 , D , 36 , D , 13 
Ireland," 1,295 ", D , D , 13 , 3 , 245 , 5 , 37 , D , 5 , 86 , 30 , D , 3 , 3 , 87 , 5 , D , 5 , 11 , 4 , 7 , 17 , 134 , 8 , 10 , D , 8 , D , D , 4 , 6 , 58 , - , 261 , 25 , - , 25 , D , 10 , 36 , - , 9 , 12 , D , 5 , 40 , D , D , 3 , D , 27 , 22 , - , 8 , - , 3 
Israel," 3,466 ", 8 , D , 43 , D , 927 , 21 , 27 , D , 12 , 391 , 65 , - , 4 , D , 114 , 8 , 5 , 5 , 7 , 13 , - , 73 , 112 , 36 , 17 , 4 , 24 , - , 4 , 72 , 3 , 232 , 5 , 699 , 44 , - , 64 , 5 , 8 , 65 , - , 10 , 17 , - , 18 , 168 , D , D , 6 , D , 48 , 39 , 3 , 19 , D , 11 
Italy," 2,355 ", 7 , D , 33 , D , 343 , 17 , 51 , 5 , 12 , 266 , 41 , 3 , 10 , 3 , 81 , 7 , 7 , D , 3 , 8 , 5 , 47 , 91 , 65 , 16 , D , 15 , D , D , 25 , 11 , 201 , 4 , 534 , 38 , D , 32 , 4 , 18 , 96 , 4 , 8 , 15 , D , 9 , 71 , - , D , 11 , 3 , 66 , 32 , D , 12 , D , 12 
Jamaica," 16,442 ", 22 , 3 , 51 , 4 , 265 , 28 , 743 , 64 , 41 ," 4,607 ", 846 , - , 12 , D , 244 , 19 , D , 11 , 20 , 25 , 13 , 470 , 385 , 86 , 30 , 27 , 47 , D , - , 22 , 22 , 978 , 3 ," 5,688 ", 167 , - , 103 , 60 , 9 , 486 , D , 17 , 189 , - , 20 , 242 , 20 , 5 , 6 , 6 , 215 , 38 , 6 , 31 , - , 40 
Japan," 1,837 ", 6 , 5 , 22 , 3 , 646 , 12 , 12 , D , 6 , 56 , 39 , 8 , 168 , D , 63 , 8 , 7 , 8 , 10 , 4 , 3 , 34 , 32 , 22 , 15 , - , 9 , 4 , 4 , 26 , 4 , 71 , 7 , 183 , 21 , - , 22 , 8 , 24 , 16 , D , D , 12 , D , 9 , 55 , 3 , D , 16 , D , 51 , 76 , - , 8 , - , 8 
Jordan," 2,816 ", 16 , - , 42 , 11 , 464 , 18 , 15 , 3 , D , 183 , 35 , - , D , D , 322 , 32 , 7 , 5 , 43 , 62 , D , 26 , 41 , 131 , 28 , 4 , 38 , - , 6 , 15 , 7 , 180 , 10 , 168 , 76 , - , 166 , 18 , 8 , 85 , 14 , D , 16 , - , 56 , 258 , - , 8 , 8 , - , 103 , 29 , 4 , 35 , - , 13 
Kazakhstan, 909 , D , D , 14 , - , 144 , 15 , 8 , - , D , 57 , 19 , - , D , 3 , 32 , 7 , 3 , 10 , D , D , 8 , 17 , 32 , 10 , 21 , D , 4 , - , D , 4 , D , 37 , D , 136 , 14 , - , 18 , 4 , 37 , 37 , - , D , 14 , - , 6 , 38 , - , - , 3 , - , 38 , 84 , D , 9 , - , 7 
Kenya," 4,257 ", 20 , 8 , 100 , 8 , 406 , 28 , 25 , 66 , 13 , 98 , 298 , - , 3 , 7 , 89 , 72 , 24 , 99 , 25 , 6 , 20 , 186 , 268 , 38 , 290 , 7 , 106 , D , 18 , 29 , 35 , 195 , 4 , 95 , 138 , 8 , 120 , 75 , 25 , 124 , - , 11 , 69 , 4 , 40 , 516 , D , - , 7 , 5 , 139 , 245 , 4 , 21 , D , 14 
Kiribati, 3 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - 
"Korea, North", 27 , D , D , - , - , D , D , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , 3 , D , 5 , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , D , D , - , - , - , - 
"Korea, South"," 15,786 ", 53 , 47 , 121 , 21 ," 5,205 ", 156 , 76 , 16 , 18 , 239 , 790 , 47 , 205 , 18 , 620 , 63 , 27 , 46 , 34 , 27 , 4 , 598 , 191 , 186 , 56 , 10 , 74 , 4 , 18 , 115 , 22 ," 1,267 ", 10 ," 1,620 ", 219 , 4 , 130 , 71 , 90 , 399 , D , 17 , 109 , D , 101 , 772 , 12 , D , 22 , 3 ," 1,070 ", 610 , 10 , 45 , 5 , 88 
Kosovo, 487 , - , - , 14 , D , 15 , D , 33 , - , 3 , 20 , 7 , - , - , D , 25 , D , 3 , - , 9 , - , - , 3 , 4 , 34 , 3 , - , 16 , - , D , D , D , 9 , D , 170 , 12 , - , 3 , 8 , 4 , 16 , - , - , D , - , 5 , 32 , - , - , D , - , 9 , 5 , - , 9 , - , - 
Kuwait, 920 , 17 , - , 13 , 3 , 146 , 5 , 6 , 3 , 3 , 64 , 26 , - , D , D , 66 , 12 , 4 , 12 , 8 , 10 , 6 , 18 , 16 , 54 , 6 , 7 , 6 , D , 3 , 3 , - , 46 , D , 51 , 20 , - , 44 , 8 , 8 , 16 , D , - , 3 , - , 14 , 110 , - , D , D , - , 35 , 19 , 3 , 10 , - , 7 
Kyrgyzstan, 395 , D , 3 , 3 , - , 62 , 4 , D , D , 3 , 25 , 6 , - , D , - , 9 , 3 , D , - , - , D , - , 8 , 9 , 4 , 13 , - , D , D , D , 6 , - , 20 , D , 60 , 7 , - , 10 , 4 , 16 , 18 , - , - , 4 , - , 3 , 8 , D , - , 5 , - , 25 , 36 , - , D , D , 3 
Laos," 3,932 ", 4 , 51 , 17 , 62 ," 1,248 ", 20 , 21 , - , 3 , 56 , 84 , - , 10 , 6 , 26 , 10 , 40 , 72 , 8 , 12 , - , 8 , 34 , 84 , 631 , - , 7 , D , 7 , 30 , 11 , 5 , - , 14 , 184 , - , 32 , 39 , 72 , 32 , - , 63 , 42 , 4 , 58 , 264 , D , - , 28 , - , 21 , 94 , - , 409 , - , 6 
Latvia, 364 , D , D , D , D , 58 , 4 , 3 , D , D , 26 , 14 , - , D , - , 30 , 4 , D , - , - , - , D , 9 , 13 , 5 , 9 , - , D , - , - , D , D , 13 , - , 71 , 9 , - , 6 , - , D , 13 , - , D , 8 , D , 3 , 7 , - , - , 3 , - , 7 , 16 , - , 10 , - , D 
Lebanon," 3,002 ", 6 , - , 46 , 3 , 604 , 6 , 22 , 4 , 5 , 167 , 40 , - , - , - , 70 , 18 , 13 , 11 , 9 , 10 , 5 , 29 , 193 , 672 , 20 , 3 , 7 , - , 3 , 47 , 14 , 100 , 7 , 153 , 46 , - , 107 , 16 , 15 , 56 , - , 16 , 19 , D , 16 , 247 , - , - , 4 , - , 121 , 33 , D , 11 , - , 5 
Lesotho, 10 , - , - , D , - , D , - , D , - , - , - , D , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Liberia," 3,923 ", 6 , - , 97 , - , 94 , 25 , 25 , 44 , 9 , 40 , 177 , - , 3 , 5 , 66 , 31 , 101 , D , 40 , 11 , D , 279 , 122 , 38 , 584 , - , 44 , - , 9 , 9 , 10 , 289 , D , 225 , 154 , 26 , 86 , 16 , 20 , 654 , - , 154 , 26 , 21 , 21 , 168 , D , - , 19 , 3 , 97 , 29 , D , 24 , - , 14 
Libya, 206 , - , - , 4 , D , 49 , 3 , D , - , D , 8 , 7 , - , D , - , 9 , 3 , D , D , D , 3 , - , D , 5 , 10 , D , - , 5 , - , D , - , - , 4 , - , 16 , D , - , 9 , - , D , 9 , - , - , D , - , D , 21 , - , - , - , - , 8 , 7 , D , D , - , D 
Lithuania, 933 , D , - , 4 , - , 74 , 16 , 22 , D , - , 78 , 12 , - , - , - , 388 , 12 , - , D , - , D , D , 12 , 28 , 13 , 7 , 3 , 6 , - , - , 8 , D , 56 , 4 , 52 , 13 , D , 23 , - , 6 , 27 , - , 3 , D , D , 5 , 10 , D , - , 3 , - , 21 , 10 , D , 3 , D , D 
Luxembourg, 16 , - , - , - , - , 3 , - , - , - , - , 3 , - , - , D , - , - , D , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Macau, 97 , - , - , 3 , - , 46 , - , D , - , - , - , D , - , D , - , 3 , - , - , D , - , - , - , D , D , - , - , - , D , - , - , 4 , - , - , - , 17 , - , - , D , D , D , D , - , - , - , - , - , 5 , - , - , - , - , D , 3 , - , - , - , - 
Macedonia, 665 , - , 9 , 8 , - , 16 , 3 , 28 , - , - , 42 , 4 , - , - , - , 108 , 37 , D , D , 5 , - , D , D , 7 , 71 , - , - , 6 , - , - , 4 , D , 128 , D , 90 , 3 , - , 23 , D , - , 9 , - , - , D , - , D , 15 , - , - , - , D , 12 , 4 , - , 17 , - , D 
Madagascar, 50 , - , - , D , - , 3 , D , - , - , 3 , D , - , - , - , D , D , - , - , - , - , D , - , 6 , D , - , 6 , - , - , - , - , - , - , D , - , 7 , D , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , 7 , 3 , - , - , - , D 
Malawi, 83 , - , - , 4 , D , 7 , - , D , - , - , 3 , 8 , - , - , - , 3 , 6 , - , D , - , - , - , 3 , - , 4 , D , - , 4 , D , D , - , - , D , - , D , 4 , - , D , D , - , 3 , - , - , - , - , - , 11 , - , - , - , - , 4 , D , - , D , - , - 
Malaysia," 1,169 ", 8 , D , 14 , 7 , 263 , 14 , 14 , 5 , 4 , 27 , 62 , - , 9 , D , 30 , 5 , 7 , 7 , 4 , 3 , D , 32 , 18 , 15 , 19 , D , 18 , D , 3 , 9 , D , 40 , 5 , 206 , 16 , 7 , 18 , 15 , 8 , 29 , - , D , 4 , D , 9 , 109 , - , - , 4 , D , 36 , 44 , D , 8 , - , D 
Maldives, 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Mali, 332 , D , - , 6 , - , 5 , 4 , D , - , 3 , 4 , 18 , - , - , - , 3 , 7 , - , D , - , - , 3 , 39 , 4 , 6 , D , - , - , - , - , D , D , 8 , - , 108 , 7 , - , 7 , - , D , 51 , - , 4 , 5 , - , 5 , 12 , - , - , D , - , 4 , 4 , - , 3 , - , D 
Malta, 59 , - , - , 3 , - , 7 , D , D , D , - , 5 , D , - , - , - , D , - , - , - , - , D , - , D , D , 3 , - , - , - , - , - , - , D , - , D , 15 , D , - , D , - , D , D , - , D , D , - , - , 3 , - , - , - , - , D , - , - , - , - , - 
Marshall Islands, 17 , - , - , D , - , D , D , - , - , - , - , D , D , 4 , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , D , D , - , - , - , - 
Mauritania, 520 , D , - , D , - , D , 20 , 3 , D , 3 , - , 10 , - , - , - , 7 , 4 , - , - , 45 , 3 , - , 11 , 5 , 4 , - , D , 7 , D , - , 3 , - , D , - , 142 , 5 , D , 140 , - , - , 17 , - , D , D , - , 32 , D , - , - , - , - , 24 , 14 , - , D , - , 3 
Mauritius, 67 , - , - , D , - , 15 , - , - , - , D , 4 , 3 , - , D , - , D , D , - , - , - , D , - , 8 , D , D , - , - , D , - , - , - , D , 3 , D , 4 , 4 , - , D , D , D , - , - , - , - , - , D , 4 , - , - , - , - , 3 , D , - , - , - , - 
Mexico," 99,385 ", 230 , 51 ," 5,813 ", 486 ," 40,238 "," 1,495 ", 224 , 129 , 24 ," 2,694 "," 1,788 ", 4 , 77 , 410 ," 5,088 ", 722 , 400 , 660 , 286 , 162 , 9 , 313 , 160 , 825 , 504 , 124 , 427 , 33 , 464 ," 1,923 ", 31 , 714 ," 1,299 "," 1,443 "," 1,371 ", 18 , 386 , 845 ," 1,210 ", 497 , 39 , 43 , 450 , 15 , 520 ," 20,232 ", 53 , D , 683 , D , 712 ," 2,031 ", 25 , 725 , 69 , 203 
"Micronesia, Federated States", 96 , - , 3 , D , - , 6 , 4 , - , - , - , D , 6 , 5 , 9 , - , D , - , - , D , 3 , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , 4 , - , - , 7 , - , - , - , - , 3 , - , - , 8 , 11 , - , - , - , 11 , 4 , - , - , - , D 
Moldova," 1,594 ", 5 , 4 , 8 , D , 395 , 14 , 11 , D , 3 , 73 , 54 , - , D , D , 40 , 5 , 4 , 4 , D , 4 , - , 21 , 85 , 7 , 72 , D , 21 , - , 3 , 7 , 3 , 34 , 3 , 135 , 74 , - , 18 , 5 , 80 , 47 , D , D , 10 , D , 30 , 24 , - , - , D , 5 , 23 , 238 , D , 6 , - , 4 
Monaco, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - 
