"Table 1.  Persons naturalized by Country of Birth and State of Intended Residence, Fiscal Year 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Burma,905,D,-,5,-,550,D,D,-,D,11,3,4,-,24,10,D,-,D,D,-,43,11,D,3,-,3,D,D,3,D,13,-,104,4,-,5,4,5,17,-,-,-,D,21,-,-,D,-,16,18,-,-,-,10
Cambodia,"3,135",8,D,19,D,"1,078",34,23,-,-,33,75,9,-,70,12,16,11,20,5,27,34,454,14,143,-,11,-,3,13,9,D,D,46,31,D,28,-,51,138,58,D,-,14,146,-,-,30,D,92,340,-,6,-,23
"China, People's Republic","23,991",69,8,188,14,"9,282",174,167,56,21,309,373,157,5,777,194,32,82,64,60,24,765,682,194,199,19,163,6,22,118,37,807,33,"5,125",144,3,162,57,319,655,32,54,7,78,844,-,32,54,16,359,576,29,68,5,271
Cyprus,100,-,-,D,-,18,D,4,-,-,3,D,-,-,6,-,-,-,D,3,D,4,D,-,-,-,3,-,-,D,D,8,D,26,-,-,-,-,D,3,-,D,-,-,4,-,-,-,-,4,D,-,-,-,-
Hong Kong,"3,752",D,D,32,-,"1,916",18,13,D,-,79,34,40,-,85,7,D,7,-,5,-,90,94,15,28,D,20,-,3,24,10,95,-,547,28,-,16,6,45,58,6,12,-,9,142,-,13,13,3,32,160,D,17,-,21
India,"29,761",137,7,318,40,"7,252",181,330,74,16,772,"1,253",20,-,"2,650",299,54,146,152,125,13,"1,108",599,530,207,58,216,-,47,125,92,"2,833",60,"2,824",320,13,358,187,248,"1,118",30,86,5,238,"2,524",-,11,22,12,693,529,46,142,7,634
Indonesia,963,4,D,16,D,531,11,D,-,D,17,22,5,-,13,10,D,4,D,D,-,26,15,5,5,-,6,-,D,9,3,19,-,62,D,-,5,5,20,14,D,D,D,3,58,-,-,D,-,7,42,-,3,-,6
Iran,"10,782",42,-,142,12,"6,669",93,22,8,12,177,293,5,D,205,32,12,51,42,23,7,440,127,62,62,7,52,D,4,47,15,116,14,414,43,-,47,47,91,88,3,20,-,55,523,-,-,37,4,307,189,8,31,-,78
Iraq,"2,209",D,-,101,D,484,38,7,-,4,28,38,-,-,244,31,6,8,60,6,3,15,18,483,16,D,79,-,60,6,-,9,D,53,4,3,17,3,22,64,-,D,10,67,77,-,-,12,-,36,65,D,3,-,21
Israel,"2,036",D,D,19,D,645,20,10,-,D,175,31,4,-,94,9,8,5,6,11,D,56,40,21,13,3,14,-,-,17,3,112,D,467,18,-,19,D,5,44,3,5,D,9,73,-,5,D,D,18,9,-,7,-,25
Japan,"1,795",5,7,23,3,811,24,7,4,D,44,19,132,D,59,9,-,8,4,D,D,26,21,16,8,3,13,-,D,23,D,51,3,142,10,-,15,7,31,21,D,3,D,3,49,-,8,7,-,21,105,D,6,-,29
