Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Brazil," 8,867 ", 19 , D , 56 , 6 , 872 , 62 , 270 , 8 , 15 ," 2,212 ", 290 , D , 38 , 7 , 126 , 35 , 5 , 14 , 16 , 24 , 13 , 136 ," 1,718 ", 104 , 29 , 11 , 36 , 4 , 9 , 61 , 112 , 595 , 10 , 544 , 126 , D , 62 , 22 , 30 , 126 , 8 , 38 , 42 , 3 , 26 , 468 , 3 , - , 104 , 13 , 135 , 113 , 5 , 27 , - , 52 
British Virgin Islands, 36 , D , - , - , - , D , - , - , D , - , 5 , 3 , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , D , - , 5 , D , - , - , - , - , D , - , - , D , - , - , D , - , 11 , - , - , - , D , - , - , - , - 
Brunei, 15 , - , - , - , - , 6 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , D , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - 
Bulgaria," 3,123 ", 8 , - , 50 , 6 , 421 , 60 , 32 , 14 , 11 , 245 , 129 , - , 8 , 3 , 573 , 12 , 5 , 13 , 22 , 11 , 12 , 84 , 124 , 71 , 25 , 6 , 51 , 3 , D , 133 , 6 , 105 , 6 , 240 , 44 , 3 , 44 , 13 , 25 , 103 , D , D , 31 , 3 , 12 , 98 , - , D , 16 , 8 , 66 , 108 , D , 38 , - , 13 
Burkina Faso, 112 , - , - , - , - , 3 , D , - , - , D , - , 8 , - , 3 , D , D , D , - , - , D , D , - , 12 , D , 3 , D , D , D , - , 4 , - , - , 7 , - , 21 , 4 , - , - , D , - , 10 , - , - , D , - , D , 8 , - , - , - , - , D , 7 , - , D , - , - 
Burma," 2,399 ", 4 , D , 45 , - , 860 , 10 , 14 , 3 , D , 132 , 32 , - , 9 , - , 34 , 74 , 3 , 6 , 16 , 4 , 3 , 204 , 25 , 39 , 44 , - , 3 , - , 18 , 17 , D , 29 , D , 386 , 56 , - , 36 , 12 , 17 , 35 , - , D , 18 , - , 14 , 76 , - , - , 11 , - , 52 , 27 , D , 12 , D , 8 
Burundi, 145 , - , - , 11 , - , 6 , 8 , D , - , - , 3 , 12 , - , - , - , - , D , D , - , D , D , - , 6 , D , 6 , 3 , - , D , - , D , D , 7 , - , - , 10 , 3 , - , 5 , - , - , 5 , - , D , - , - , D , 24 , - , - , - , 5 , 12 , - , - , D , - , 1 
Cambodia," 3,756 ", 29 , D , 36 , 3 ," 1,250 ", 37 , 32 , D , D , 81 , 108 , - , 7 , - , 36 , 18 , 7 , 10 , 18 , 15 , 35 , 44 , 467 , 29 , 152 , 7 , 19 , D , D , 17 , 11 , 23 , 4 , 48 , 61 , D , 64 , 7 , 48 , 227 , - , 43 , 12 , 3 , 31 , 244 , - , - , 26 , - , 80 , 333 , - , 10 , D , 16 
Cameroon," 1,519 ", 7 , D , 21 , 10 , 89 , 13 , 9 , 22 , 9 , 27 , 136 , - , D , - , 44 , 7 , 4 , 7 , 8 , 5 , D , 412 , 77 , 28 , 55 , - , 13 , - , 9 , 7 , D , 43 , 4 , 40 , 22 , - , 31 , 13 , D , 30 , - , - , 19 , - , 6 , 172 , - , - , D , D , 60 , 16 , D , 19 , - , 13 
Canada," 8,539 ", 47 , 24 , 310 , 14 ," 1,196 ", 234 , 128 , 9 , 19 , 884 , 297 , D , 60 , 40 , 249 , 85 , 32 , 31 , 35 , 35 , 63 , 107 , 230 , 370 , 132 , 17 , 69 , 41 , 16 , 112 , 94 , 224 , 37 , 488 , 255 , 16 , 186 , 36 , 147 , 193 , 3 , 9 , 82 , 6 , 86 , 701 , D , D , 91 , 57 , 233 , 561 , 12 , 74 , 11 , 47 
Cape Verde, 675 , - , - , - , - , 3 , - , 12 , - , D , 14 , D , - , - , - , - , - , - , D , - , - , - , 5 , 468 , - , - , - , D , - , - , - , D , D , - , 8 , - , D , - , D , - , 3 , - , 143 , - , - , - , 3 , - , - , - , - , D , D , - , - , - , 3 
Cayman Islands, 17 , - , - , - , - , - , - , - , - , - , 10 , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , 3 , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Central African Republic, 27 , - , - , - , - , D , D , - , - , - , D , 3 , - , - , - , D , D , - , - , - , - , - , 9 , - , - , - , - , - , - , - , - , - , D , - , 3 , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , D , - , - , D , - , - 
Chad, 39 , - , - , - , - , D , D , - , - , - , - , D , - , - , - , D , 7 , D , - , - , - , - , 4 , - , - , - , - , - , - , D , - , - , D , D , 3 , - , - , - , D , - , - , - , - , 3 , - , - , D , - , - , 3 , - , 4 , - , - , - , - , - 
Chile," 1,249 ", 5 , D , 18 , D , 161 , 17 , 15 , 3 , 7 , 312 , 24 , - , 3 , 6 , 17 , 11 , 4 , 3 , 5 , 4 , D , 37 , 33 , 6 , 9 , D , 3 , D , D , 15 , 4 , 74 , 12 , 146 , 22 , - , 8 , - , 8 , 25 , 6 , 6 , 12 , - , 7 , 82 , - , - , 25 , - , 44 , 15 , D , 11 , 3 , 11 
