Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Libya, 173 , - , - , D , D , 32 , 3 , - , - , - , 6 , 6 , - , - , - , 8 , D , - , D , D , D , D , 3 , 8 , 7 , D , - , 6 , - , D , 4 , - , 14 , - , 10 , 3 , - , 13 , - , 3 , 5 , - , - , - , - , D , 10 , - , - , - , - , 5 , 4 , D , D , - , 3 
Liechtenstein, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - 
Lithuania, 843 , - , - , D , - , 58 , 24 , 15 , - , - , 69 , 12 , - , - , D , 366 , D , D , D , 3 , - , D , 7 , 19 , 8 , 5 , - , D , - , D , 14 , D , 40 , D , 52 , 14 , - , 23 , D , 6 , 18 , - , D , 4 , - , 4 , 10 , - , - , 4 , - , 14 , 21 , - , 16 , - , 2 
Luxembourg, 18 , - , - , D , - , D , D , D , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , D , D , - , - , - , - , - , - , - , D , - , - , D , - , D , - , - , D , - , - , - , - , - , 3 , - , D , - , - , D , - , - , - , - , - 
Macau, 94 , - , - , D , - , 54 , D , - , - , - , - , - , - , D , - , D , - , - , D , - , - , - , - , 5 , D , D , - , - , - , - , 3 , - , D , - , 14 , D , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , 4 , - , - , - , - 
Macedonia, 682 , - , 13 , 5 , D , 27 , D , 38 , - , D , 31 , D , - , - , - , 84 , 31 , 3 , D , - , 3 , D , D , 7 , 58 , D , - , D , - , - , 10 , 6 , 130 , - , 132 , 3 , D , 19 , - , - , 5 , - , D , - , - , - , 24 , - , - , D , - , 6 , 3 , - , 18 , - , 10 
Madagascar, 55 , - , - , D , D , 6 , D , D , - , - , 7 , D , - , D , - , - , - , - , - , D , - , - , 10 , D , D , D , - , - , - , - , - , - , 3 , - , 6 , - , - , - , - , - , D , - , - , - , - , D , D , - , - , - , - , 6 , D , - , - , - , 1 
Malawi, 80 , - , - , D , D , 10 , - , D , - , - , 6 , 5 , - , - , - , 3 , 6 , D , D , D , - , - , 7 , D , 3 , - , - , D , - , D , - , - , D , - , 5 , D , - , - , - , D , 7 , - , - , - , - , D , 7 , - , - , D , - , 3 , D , - , - , - , - 
Malaysia," 1,211 ", 8 , D , 14 , 4 , 334 , 14 , 6 , D , D , 48 , 56 , - , 14 , D , 43 , 12 , D , 6 , 8 , 10 , - , 15 , 25 , 13 , 18 , D , 5 , - , 5 , 9 , 3 , 53 , D , 155 , 16 , - , 17 , 14 , 9 , 35 , - , 4 , 3 , D , 9 , 119 , - , D , 5 , - , 26 , 52 , - , 7 , - , 4 
Maldives, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Mali, 200 , D , D , 4 , - , 3 , 15 , D , D , - , 4 , 11 , - , D , - , D , D , D , - , D , - , D , 22 , D , 4 , D , - , - , - , - , 3 , - , 6 , - , 38 , - , - , 6 , - , D , 35 , - , 3 , D , - , - , 11 , - , - , 3 , - , 4 , 6 , - , D , - , 5 
Malta, 46 , - , - , D , - , 5 , D , D , - , D , D , D , - , - , - , - , D , - , - , - , - , D , - , - , 9 , - , - , - , - , - , - , - , D , - , 12 , D , - , - , - , - , D , - , - , - , - , - , D , - , - , D , - , 4 , D , - , D , - , - 
Marshall Islands, 21 , - , - , - , - , D , D , - , - , - , D , D , - , 7 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , D , D , - , - , - , D , D , - , - , - , - 
Martinique, 14 , - , - , - , - , - , D , - , - , - , 8 , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - 
Mauritania, 281 , - , D , D , - , 3 , 6 , - , D , D , D , 8 , - , - , - , 7 , D , D , D , 20 , D , - , 3 , 8 , D , - , D , D , - , - , 4 , - , 3 , - , 75 , 3 , - , 78 , D , - , 17 , - , - , - , - , 13 , D , - , - , - , - , 13 , - , - , D , - , - 
Mauritius, 79 , - , - , D , - , 12 , D , D , D , D , 3 , 4 , - , D , - , - , - , - , - , D , D , - , 6 , 4 , 5 , D , - , - , - , - , - , - , 12 , - , 6 , - , - , - , - , - , 3 , - , - , - , - , - , 8 , - , - , - , - , 5 , - , - , - , - , - 
Mexico," 67,062 ", 191 , 42 ," 3,768 ", 352 ," 24,446 "," 1,558 ", 97 , 127 , 15 ," 1,637 "," 1,237 ", 10 , 98 , 410 ," 4,134 ", 543 , 304 , 601 , 149 , 141 , 8 , 230 , 125 , 487 , 370 , 113 , 314 , 19 , 350 ," 1,302 ", 20 , 354 ," 1,164 ", 761 , 838 , 7 , 233 , 518 , 917 , 374 , 47 , 23 , 170 , 19 , 321 ," 14,416 ", D , - , 674 , D , 430 ," 1,641 ", 21 , 515 , 81 , 337 
"Micronesia, Federated States", 84 , - , D , - , - , 6 , 4 , - , - , - , - , D , 3 , 8 , - , D , - , - , D , 4 , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , 7 , - , - , 4 , D , D , - , - , D , - , D , 10 , - , - , D , - , 17 , 8 , - , - , - , - 
Moldova," 1,235 ", 3 , 3 , 7 , - , 252 , 24 , 6 , - , 3 , 44 , 40 , - , D , D , 28 , D , 6 , D , D , 3 , - , 20 , 85 , 5 , 29 , D , 5 , - , D , D , 3 , 20 , D , 125 , 28 , - , 10 , 5 , 50 , 42 , - , D , D , - , 10 , 15 , - , - , 7 , D , 31 , 300 , - , 3 , - , 4 
Monaco, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Mongolia, 157 , D , - , - , - , 46 , 9 , D , - , D , 5 , D , - , D , D , 17 , D , D , - , - , - , - , 4 , D , - , D , - , D , - , D , D , - , 7 , D , 6 , - , - , D , - , - , D , - , - , - , - , D , 4 , - , - , 10 , D , 17 , 3 , - , 7 , - , 1 
Montenegro, 167 , - , - , D , - , 7 , D , D , - , - , D , D , - , - , - , 8 , - , - , - , 3 , - , - , - , - , 22 , - , - , D , - , - , D , - , 5 , - , 109 , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - 
Montserrat, 57 , - , - , - , - , - , - , D , - , - , 11 , D , - , - , - , - , - , - , - , - , - , - , - , 13 , - , - , - , - , - , - , - , - , D , - , 13 , D , - , - , - , - , - , D , - , - , - , - , D , - , 8 , - , - , D , - , - , - , - , 1 
Morocco," 3,710 ", 10 , D , 30 , D , 259 , 67 , 94 , 17 , 10 , 421 , 98 , - , D , - , 163 , 32 , 12 , 7 , 23 , 11 , - , 94 , 436 , 23 , 24 , 8 , 28 , D , 5 , 26 , 11 , 174 , 3 , 470 , 106 , 3 , 112 , 32 , 17 , 209 , D , 27 , 37 , D , 21 , 165 , - , D , D , - , 324 , 47 , 4 , 22 , - , 16 
Mozambique, 41 , - , - , D , - , 5 , D , 3 , - , - , 4 , 3 , - , - , - , D , - , D , - , - , D , - , D , 3 , - , - , - , - , - , - , - , - , 3 , D , D , D , - , - , - , - , D , - , D , D , - , - , 4 , - , - , - , - , - , - , - , D , - , - 
Namibia, 38 , - , - , - , - , 5 , 4 , D , - , - , D , D , - , - , - , - , D , - , - , D , - , - , D , D , - , D , - , - , - , - , - , D , D , D , D , D , - , - , - , - , D , - , - , - , - , D , 4 , - , - , - , - , 3 , 3 , - , - , - , - 
Nauru, D , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - 
Nepal," 2,185 ", 15 , 3 , 14 , D , 237 , 121 , 45 , - , 7 , 43 , 75 , - , 8 , 5 , 64 , 7 , 8 , 10 , 40 , 4 , D , 161 , 141 , 30 , 41 , D , 20 , - , 37 , 6 , 30 , 34 , 8 , 266 , 32 , 3 , 7 , 18 , 11 , 33 , - , 9 , 30 , 3 , 5 , 268 , - , - , 9 , D , 200 , 46 , D , 15 , - , 9 
Netherlands, 691 , 3 , 4 , 18 , 3 , 101 , 25 , 16 , 4 , D , 66 , 25 , - , 7 , D , 19 , 7 , D , D , 7 , 5 , 3 , 19 , 20 , 16 , 11 , D , 6 , D , D , 8 , D , 27 , 5 , 38 , 19 , - , 18 , 3 , 11 , 14 , 4 , D , 4 , - , 4 , 52 , - , D , D , D , 30 , 31 , - , 9 , D , 8 
Netherlands Antilles, 56 , D , - , D , - , D , - , - , D , - , 21 , D , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , 5 , - , 7 , - , - , - , - , - , D , - , - , D , - , D , D , - , D , - , - , D , D , - , D , - , - 
New Zealand, 495 , 4 , D , 16 , - , 141 , 20 , 4 , D , 4 , 20 , 10 , 3 , 13 , 4 , 13 , 3 , 4 , D , D , 4 , D , 7 , 13 , 5 , 3 , 5 , 4 , D , - , 7 , 4 , 11 , 6 , 26 , 11 , D , - , D , 10 , 5 , - , D , D , - , 4 , 30 , - , D , 10 , - , 17 , 28 , - , 8 , - , 3 
Nicaragua," 4,047 ", 15 , D , 27 , 9 , 814 , 22 , 15 , D , 7 ," 1,999 ", 43 , - , 8 , D , 30 , 8 , 5 , 10 , 7 , 59 , - , 105 , 14 , 3 , 7 , 7 , 8 , - , 7 , 48 , D , 94 , 4 , 115 , 84 , - , 13 , 7 , 8 , 25 , 7 , 4 , 10 , - , 12 , 208 , - , - , 9 , D , 100 , 27 , D , 9 , D , 25 
Niger, 89 , D , - , - , - , D , - , D , D , D , 3 , D , - , - , - , D , 8 , D , - , 5 , - , - , 14 , D , 3 , - , - , - , - , D , - , - , D , - , 7 , 6 , - , 7 , D , - , 6 , - , - , D , - , D , D , - , - , - , D , 4 , 3 , - , - , - , 3 
Nigeria," 9,126 ", 35 , 7 , 94 , 15 , 723 , 47 , 62 , 61 , 47 , 257 , 784 , - , 9 , 4 , 508 , 114 , 19 , 42 , 28 , 46 , 5 ," 1,184 ", 251 , 157 , 192 , 16 , 85 , - , 24 , 40 , 15 , 518 , 7 , 854 , 208 , D , 175 , 74 , 21 , 261 , - , 63 , 53 , D , 100 ," 1,539 ", D , D , 10 , 3 , 151 , 60 , 4 , 51 , 3 , 94 
Norway, 91 , - , D , - , - , 15 , 3 , - , - , D , 5 , D , - , - , - , D , - , - , - , D , D , D , D , - , D , D , - , - , - , - , 4 , - , 4 , - , 10 , 3 , D , - , - , D , D , - , - , D , - , - , 11 , - , - , - , D , D , 14 , - , D , - , - 
Oman, 30 , D , - , - , - , D , D , - , - , - , - , - , - , - , - , 7 , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , 4 , 3 , - , - , - , D , - , - , - , D , - , - , 3 , - , - , - , - , 4 , D , - , - , - , - 
Pakistan," 11,601 ", 51 , D , 81 , 24 ," 1,361 ", 68 , 162 , 39 , 6 , 450 , 436 , D , 4 , D , 863 , 64 , 27 , 61 , 57 , 82 , 4 , 441 , 175 , 281 , 97 , 21 , 130 , D , 15 , 53 , 23 , 777 , 15 ," 1,777 ", 194 , D , 138 , 63 , 24 , 385 , - , 25 , 34 , D , 54 ," 1,952 ", - , 3 , 28 , 4 , 696 , 148 , 14 , 102 , 4 , 79 
Palau, 71 , - , - , - , - , 5 , D , - , - , - , D , D , 4 , 11 , - , D , - , - , D , D , - , - , 3 , D , - , - , - , D , - , - , - , - , D , - , D , D , - , - , 4 , D , - , - , - , - , - , D , 7 , - , - , - , - , 12 , 6 , - , - , - , - 
Panama," 1,215 ", 13 , D , 19 , 7 , 104 , 10 , 6 , 3 , 3 , 256 , 91 , D , D , D , 20 , 6 , D , 6 , 5 , 14 , D , 33 , 25 , 10 , 10 , 11 , 7 , D , 3 , 13 , D , 27 , D , 146 , 45 , - , 7 , 8 , 4 , 14 , 10 , D , 17 , - , 17 , 130 , D , - , 5 , - , 48 , 26 , D , D , D , 13 
Papua New Guinea, 16 , - , - , - , - , D , - , - , - , D , - , - , - , 3 , - , - , - , - , - , - , - , - , D , D , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , D , D , - , - , D , - , - , D , - , - , - , - 
Paraguay, 212 , D , D , D , - , 16 , 3 , 11 , - , - , 24 , 3 , - , - , - , 3 , - , - , 4 , - , - , D , 14 , - , D , D , D , D , - , - , D , - , 22 , - , 70 , 3 , - , D , - , D , D , D , - , - , - , - , 10 , - , - , 3 , - , 8 , - , - , - , - , 2 
Peru," 8,551 ", 22 , 8 , 78 , 10 ," 1,264 ", 94 , 179 , 13 , 22 ," 2,142 ", 207 , D , 30 , 16 , 152 , 42 , 7 , 19 , 36 , 28 , 9 , 281 , 160 , 28 , 35 , 10 , 25 , 15 , 18 , 81 , 11 ," 1,022 ", 12 , 773 , 157 , D , 76 , 55 , 32 , 124 , 27 , 15 , 27 , 6 , 26 , 368 , - , - , 121 , 5 , 436 , 113 , 11 , 41 , 3 , 55 
Philippines," 35,465 ", 105 , 257 , 601 , 61 ," 14,144 ", 206 , 258 , 87 , 29 ," 1,512 ", 378 , 424 ," 1,378 ", 35 ," 1,710 ", 191 , 74 , 87 , 102 , 103 , 39 , 871 , 218 , 334 , 174 , 66 , 225 , 12 , 44 ," 1,353 ", 51 ," 1,860 ", 83 ," 1,508 ", 396 , 30 , 280 , 130 , 239 , 470 , 5 , 30 , 200 , 32 , 156 ," 2,176 ", 5 , 22 , 98 , 6 , 929 ," 1,294 ", 47 , 137 , 16 , 187 
Poland," 8,038 ", 8 , 7 , 91 , D , 324 , 76 , 454 , 14 , 9 , 333 , 58 , D , 16 , 5 ," 2,551 ", 36 , 4 , 4 , 11 , 8 , 4 , 65 , 260 , 156 , 23 , D , 19 , D , 3 , 62 , 21 ," 1,040 ", 6 ," 1,458 ", 61 , 3 , 84 , 8 , 19 , 242 , D , 35 , 14 , 8 , 27 , 124 , - , - , 11 , 12 , 73 , 66 , 3 , 65 , - , 51 
Portugal," 1,266 ", D , - , 7 , - , 91 , D , 72 , D , D , 65 , 10 , - , D , 3 , 7 , D , 4 , D , - , D , - , 21 , 267 , 7 , D , - , - , - , - , D , 4 , 376 , D , 118 , 8 , - , D , 3 , D , 20 , D , 81 , 6 , D , 4 , 12 , - , D , - , - , 26 , 6 , - , D , D , 20 
Qatar, 115 , 3 , - , D , - , 21 , D , - , - , - , 5 , D , - , - , - , 3 , - , - , 5 , D , D , - , 3 , D , 4 , D , D , 4 , - , - , - , - , 6 , - , 7 , D , - , 5 , - , D , 4 , - , - , D , - , 3 , 22 , - , - , - , - , 3 , 3 , - , - , - , - 
Reunion, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Romania," 4,385 ", 17 , 4 , 162 , 6 , 546 , 62 , 51 , 18 , 9 , 332 , 210 , D , 9 , 22 , 463 , 32 , 7 , 10 , 9 , 10 , 10 , 58 , 113 , 276 , 34 , 5 , 36 , 7 , 9 , 55 , 21 , 140 , 14 , 409 , 78 , D , 204 , 15 , 110 , 160 , D , 7 , 25 , 5 , 31 , 184 , D , - , 9 , 6 , 89 , 245 , 6 , 22 , D , 17 
Russia," 7,566 ", 23 , 33 , 74 , 11 ," 1,419 ", 191 , 87 , 14 , 15 , 486 , 161 , D , 20 , 27 , 283 , 54 , 24 , 24 , 26 , 11 , 17 , 183 , 421 , 109 , 120 , 9 , 74 , 12 , 18 , 90 , 29 , 330 , 17 ," 1,015 ", 98 , 6 , 180 , 36 , 146 , 288 , 3 , 20 , 50 , 6 , 39 , 289 , D , D , 35 , 11 , 168 , 634 , 4 , 70 , 5 , 47 
Rwanda, 278 , - , - , 3 , D , 19 , D , 3 , 4 , 3 , 10 , 14 , - , D , - , 9 , 7 , 3 , - , 5 , 3 , D , 10 , 12 , 11 , 8 , - , D , - , - , D , 8 , D , - , 21 , 10 , D , 19 , - , 4 , 11 , - , D , D , - , 12 , 35 , - , - , 3 , 4 , 8 , D , - , D , - , 2 
Saint Kitts-Nevis, 305 , D , - , - , - , 8 , - , D , D , - , 51 , 16 , - , D , - , D , - , D , 3 , - , - , - , 10 , 6 , D , D , - , - , - , D , D , D , 9 , - , 64 , 7 , - , D , 6 , - , D , 4 , D , D , - , - , 6 , - , 78 , - , - , 17 , - , - , - , - , 1 
Saint Lucia, 554 , D , - , D , - , 8 , D , 21 , 10 , - , 87 , 17 , - , D , - , D , D , - , D , D , D , - , 18 , 13 , 3 , 3 , - , D , - , - , 3 , - , 25 , D , 174 , 7 , - , D , D , - , 4 , D , 4 , 8 , - , - , 48 , D , 62 , - , - , 14 , D , - , D , - , 4 
Saint Vincent and the Grenadines, 375 , - , - , D , - , 6 , D , 5 , 3 , D , 37 , 18 , - , D , - , D , - , - , D , - , - , - , 13 , 10 , - , - , - , - , - , - , - , - , 19 , - , 202 , 3 , - , D , D , - , 11 , - , - , 4 , - , - , 8 , - , 13 , - , - , 5 , 5 , - , - , - , 1 
Samoa, 154 , - , 8 , D , - , 47 , 3 , D , - , - , 3 , D , D , 28 , - , - , D , - , D , D , - , - , - , - , - , - , - , 6 , - , - , - , D , - , - , D , D , - , - , D , D , D , - , - , - , - , - , D , - , - , 23 , - , D , 12 , D , - , - , 2 
San Marino, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Sao Tome and Principe, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
Saudi Arabia, 739 , 9 , - , 5 , D , 109 , 6 , 11 , D , D , 38 , 10 , - , - , - , 51 , 3 , 3 , 3 , 3 , 3 , - , 18 , 25 , 46 , 11 , D , 9 , - , - , 6 , - , 40 , - , 42 , 14 , D , 35 , 7 , 5 , 27 , - , D , 9 , - , 10 , 91 , - , D , 3 , - , 49 , 17 , D , 7 , - , 5 
Senegal, 633 , 3 , D , 5 , D , 31 , 11 , 4 , - , 8 , 18 , 58 , D , 3 , - , 9 , 15 , D , D , 11 , D , - , 57 , 21 , 16 , 12 , D , 6 , - , - , D , - , 17 , 3 , 108 , 17 , - , 57 , D , 3 , 14 , D , 20 , D , - , 10 , 28 , - , - , - , - , 28 , 14 , D , 7 , D , 4 
Serbia, 27 , - , - , D , - , D , - , - , - , - , 3 , - , - , - , - , 15 , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Serbia and Montenegro1," 2,653 ", 4 , D , 54 , 3 , 238 , 24 , 51 , 8 , 6 , 158 , 44 , - , 6 , 6 , 279 , 20 , 12 , 9 , 18 , 4 , 3 , 26 , 47 , 223 , 18 , - , 38 , - , D , 28 , 7 , 133 , 3 , 750 , 29 , 5 , 65 , 6 , 17 , 48 , D , 3 , 5 , 3 , 14 , 80 , - , - , 16 , D , 34 , 26 , 3 , 46 , - , 28 
Seychelles, 12 , - , - , D , - , D , D , - , - , D , D , - , - , D , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
Sierra Leone," 1,878 ", 3 , - , 17 , D , 100 , 11 , 6 , 18 , 20 , 31 , 103 , - , D , - , 25 , 6 , 9 , D , 7 , D , - , 380 , 75 , 33 , 42 , D , 25 , D , D , D , 5 , 127 , D , 175 , 26 , 4 , 88 , 3 , 5 , 149 , - , D , 3 , D , 10 , 120 , - , - , 6 , - , 176 , 28 , 3 , 4 , - , 21 
Singapore, 336 , - , - , 5 , - , 122 , 4 , 3 , 3 , - , 9 , 5 , D , 4 , D , 8 , - , D , 3 , D , 3 , - , 6 , 8 , 3 , 4 , - , D , - , - , 5 , D , 18 , - , 26 , D , - , 6 , D , 6 , 12 , - , D , D , - , D , 32 , - , - , D , - , 7 , 14 , D , D , - , - 
Slovakia, 485 , D , D , 7 , D , 49 , 20 , 18 , 3 , - , 52 , 12 , - , D , D , 36 , 3 , D , 3 , D , D , - , 9 , 8 , 12 , 5 , D , D , - , 3 , D , 5 , 88 , - , 60 , D , - , 6 , D , D , 29 , - , D , D , - , D , 6 , - , - , D , D , 11 , 6 , D , - , - , 4 
Slovenia, 64 , - , - , D , - , 14 , D , D , - , D , 8 , - , - , - , D , 3 , D , - , - , - , - , D , D , D , D , - , - , D , - , - , - , - , 5 , - , 6 , D , - , D , - , - , 3 , - , - , D , - , - , - , - , - , - , - , 5 , D , - , - , - , - 
Solomon Islands, D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Somalia," 5,728 ", - , 17 , 134 , D , 323 , 78 , 12 , - , D , 14 , 178 , - , D , 24 , 127 , 29 , 14 , 12 , 56 , 6 , 136 , 33 , 159 , 58 ," 2,021 ", - , 81 , - , 64 , 18 , 10 , D , D , 77 , 52 , 20 , 612 , - , 93 , 31 , - , - , 3 , 4 , 151 , 141 , D , - , 65 , 18 , 134 , 617 , - , 57 , - , 42 
South Africa," 2,550 ", 8 , 7 , 73 , 4 , 403 , 60 , 44 , 8 , 7 , 259 , 228 , D , 11 , 5 , 83 , 21 , 18 , 12 , 12 , 11 , 3 , 61 , 69 , 35 , 21 , 13 , 17 , D , 6 , 26 , 6 , 82 , 10 , 108 , 94 , 3 , 44 , 10 , 24 , 82 , - , 4 , 23 , 6 , 42 , 263 , - , - , 22 , 6 , 75 , 79 , 5 , 29 , D , 4 
"Soviet Union, former"," 2,954 ", 11 , 7 , 33 , 7 , 466 , 53 , 44 , 4 , D , 170 , 63 , D , 5 , 6 , 117 , 16 , 4 , 10 , 13 , D , 8 , 100 , 88 , 49 , 38 , 7 , 15 , D , 9 , 14 , 14 , 184 , 21 , 716 , 45 , - , 53 , 7 , 50 , 87 , - , 5 , 19 , 7 , 13 , 114 , - , - , 13 , 5 , 70 , 127 , 4 , 21 , - , 15 
Spain," 1,115 ", 4 , 5 , 14 , D , 151 , 11 , 15 , D , 13 , 211 , 24 , D , 7 , 3 , 32 , 11 , D , D , D , D , - , 27 , 41 , 14 , 7 , D , 13 , D , D , 7 , D , 98 , 3 , 112 , 11 , D , 14 , 3 , 14 , 29 , 20 , D , 7 , - , 9 , 66 , - , - , 7 , - , 30 , 27 , D , 7 , D , 28 
Sri Lanka," 1,421 ", 6 , - , 17 , - , 334 , 6 , 16 , D , - , 65 , 27 , D , 4 , 3 , 44 , 4 , 5 , 7 , 6 , D , D , 102 , 64 , 29 , 37 , 3 , 3 , - , 4 , 27 , 5 , 93 , - , 196 , 22 , - , 36 , 5 , 14 , 54 , - , 3 , 5 , 4 , D , 80 , - , - , 4 , - , 39 , 20 , D , 15 , - , 4 
Sudan," 2,885 ", 17 , 5 , 140 , D , 161 , 82 , 24 , 5 , 8 , 90 , 75 , - , D , 16 , 89 , 27 , 116 , 18 , 18 , 9 , 58 , 74 , 38 , 65 , 108 , 4 , 60 , - , 124 , 11 , 37 , 39 , D , 176 , 108 , 24 , 46 , 6 , 11 , 112 , - , D , 12 , 33 , 81 , 262 , D , - , 40 , 8 , 308 , 98 , D , 18 , - , 16 
Suriname, 161 , D , - , D , - , 9 , - , D , 3 , D , 47 , 9 , - , - , - , - , D , - , - , D , - , - , 5 , D , D , - , - , - , - , - , - , - , 7 , D , 51 , 3 , - , D , D , - , 5 , - , - , - , - , - , 3 , - , - , - , - , D , D , - , - , - , 2 
Swaziland, 8 , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Sweden, 774 , D , D , 7 , D , 190 , 27 , 8 , D , 7 , 94 , 19 , - , 9 , D , 15 , 4 , D , 4 , D , D , D , 13 , 39 , 8 , 9 , - , 4 , D , D , 7 , 5 , 27 , 4 , 53 , 31 , - , 5 , 5 , 9 , 17 , D , - , D , - , 5 , 42 , - , D , 8 , - , 26 , 33 , D , 10 , D , 8 
Switzerland, 484 , D , D , 12 , - , 115 , 18 , 9 , D , 4 , 43 , 8 , - , 4 , D , 11 , D , - , D , 3 , D , D , 13 , 25 , 5 , 7 , - , D , 4 , - , 6 , D , 27 , 6 , 38 , 6 , - , 4 , 4 , 5 , 6 , 3 , 3 , 8 , - , D , 23 , - , - , D , D , 11 , 20 , D , 4 , D , 2 
Syria," 2,029 ", 10 , - , 31 , 5 , 586 , 13 , 12 , D , 9 , 145 , 24 , - , D , - , 153 , 20 , 4 , 9 , 3 , 16 , 3 , 20 , 75 , 93 , 4 , 3 , 5 , - , 3 , 9 , 5 , 98 , 3 , 179 , 26 , - , 68 , 21 , 9 , 125 , - , 24 , D , - , 19 , 85 , - , D , D , D , 44 , 17 , 15 , 6 , D , 21 
Taiwan," 5,621 ", 19 , 8 , 58 , 15 ," 2,683 ", 35 , 18 , 8 , D , 130 , 116 , 14 , 36 , 3 , 108 , 26 , 8 , 24 , 12 , 13 , 7 , 102 , 100 , 64 , 45 , 3 , 40 , - , D , 21 , 11 , 228 , 16 , 403 , 66 , D , 76 , 12 , 51 , 108 , - , D , 28 , D , 14 , 488 , - , - , 24 , D , 84 , 232 , 5 , 32 , D , 15 
Tajikistan, 178 , - , - , D , - , 25 , 8 , D , - , - , 4 , D , - , - , - , - , - , - , - , - , - , - , 6 , 5 , D , 3 , - , D , - , D , D , D , 10 , D , 60 , - , - , 3 , D , 12 , 4 , - , - , - , - , - , 9 , - , - , - , - , 4 , 12 , - , - , - , 1 
