Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Dominica, 597 , - , - , D , - , 8 , 3 , 15 , D , D , 80 , 19 , - , - , - , 7 , 3 , D , D , 3 , 3 , - , 12 , 14 , 8 , D , - , D , - , - , - , - , 44 , D , 139 , 6 , - , D , D , - , 15 , D , D , 9 , - , 5 , 32 , D , 131 , - , - , 10 , D , D , - , - , 9 
Dominican Republic," 33,351 ", 14 , 36 , 29 , 4 , 97 , 21 , 380 , 26 , 59 ," 3,082 ", 182 , - , 5 , D , 69 , 28 , 5 , 7 , 20 , 67 , 3 , 185 ," 2,621 ", 74 , 22 , 8 , 28 , - , D , 25 , 101 ," 5,355 ", 4 ," 15,638 ", 250 , D , 119 , 22 , 5 ," 1,644 "," 1,513 ", 847 , 62 , - , 28 , 177 , 20 , 119 , 25 , D , 155 , 20 , 5 , 42 , - , 96 
East Timor, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Ecuador," 8,783 ", 10 , D , 30 , 6 , 350 , 19 , 396 , 11 , 8 ," 1,265 ", 90 , - , 5 , - , 235 , 15 , 9 , 12 , 13 , 13 , 3 , 98 , 133 , 6 , 82 , 3 , 19 , D , 5 , 35 , 11 ," 1,816 ", 6 ," 3,109 ", 167 , - , 29 , 16 , 18 , 161 , 11 , 14 , 47 , - , 30 , 171 , D , - , 65 , D , 118 , 46 , D , 19 , - , 49 
Egypt," 6,191 ", 11 , D , 36 , 7 ," 1,007 ", 11 , 47 , 15 , 10 , 313 , 71 , - , 3 , 3 , 153 , 23 , 13 , 13 , 11 , 22 , D , 90 , 195 , 108 , 61 , 4 , 21 , D , 17 , 13 , 10 ," 1,216 ", 3 , 887 , 134 , D , 134 , 9 , 29 , 207 , - , 10 , 41 , - , 447 , 255 , - , - , D , D , 373 , 86 , 6 , 15 , D , 43 
El Salvador," 16,685 ", 21 , 9 , 148 , 132 ," 5,874 ", 112 , 47 , 18 , 176 , 668 , 252 , D , 6 , 12 , 139 , 53 , 58 , 53 , 20 , 26 , 6 ," 1,063 ", 603 , 25 , 90 , 9 , 47 , - , 61 , 306 , 6 , 578 , 18 ," 1,137 ", 339 , D , 28 , 28 , 60 , 69 , 10 , 31 , 34 , 15 , 69 ," 2,303 ", 9 , - , 121 , D ," 1,558 ", 140 , 12 , 18 , D , 62 
Equatorial Guinea, 19 , - , - , 4 , - , D , - , 4 , - , - , D , 3 , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Eritrea," 1,059 ", D , - , 17 , - , 176 , 48 , - , 3 , 28 , 23 , 50 , - , - , - , 35 , 19 , 4 , 3 , D , D , - , 61 , 24 , 7 , 55 , - , 10 , - , D , 22 , - , 12 , - , 23 , 20 , - , 32 , 3 , 17 , 19 , - , 4 , D , 3 , 19 , 90 , - , - , D , - , 111 , 106 , D , D , - , 3 
Estonia, 234 , - , D , - , - , 30 , 3 , D , - , - , 46 , 5 , - , D , - , 15 , - , D , - , D , - , - , 7 , 9 , D , 8 , - , 3 , - , - , D , D , 4 , - , 36 , 3 , - , 4 , - , 3 , 4 , - , 4 , 4 , - , 5 , 3 , - , - , - , - , 7 , 16 , - , 3 , - , - 
Ethiopia," 8,803 ", 7 , 4 , 64 , - , 812 , 381 , 17 , 11 , 403 , 106 , 493 , - , D , 8 , 151 , 34 , 36 , 68 , 13 , 20 , 9 , 811 , 202 , 43 , 906 , 5 , 103 , D , 35 , 325 , D , 75 , D , 144 , 129 , 3 , 267 , 20 , 101 , 128 , - , 3 , 16 , 70 , 188 , 601 , D , - , 17 , 4 ," 1,240 ", 653 , 12 , 13 , - , 43 
Fiji," 1,134 ", - , - , 9 , D , 891 , D , 3 , - , - , 7 , 4 , - , 7 , D , 8 , - , - , 6 , - , - , - , D , D , D , D , - , 4 , D , D , 8 , - , 4 , D , 5 , 4 , - , D , 3 , 46 , 3 , - , - , D , - , - , 19 , D , - , 4 , - , 3 , 76 , - , - , - , 1 
Finland, 329 , D , - , 7 , - , 60 , D , 3 , - , 6 , 53 , 15 , - , D , - , 17 , D , 4 , 4 , D , D , 3 , 3 , 11 , 6 , 5 , - , 3 , 3 , - , - , - , 12 , - , 19 , 8 , - , 3 , - , 4 , 4 , - , - , D , D , 3 , 33 , - , - , - , D , 7 , 17 , - , 3 , - , - 
France," 2,358 ", 4 , D , 29 , - , 584 , 56 , 31 , 3 , 27 , 276 , 66 , D , 16 , - , 56 , 13 , 3 , 3 , 4 , 15 , D , 68 , 82 , 33 , 32 , 6 , 9 , D , D , 18 , 6 , 96 , 14 , 294 , 38 , - , 24 , 3 , 20 , 50 , D , 10 , 14 , - , 11 , 126 , - , 7 , 11 , 6 , 89 , 76 , - , 9 , 3 , 8 
French Polynesia, 15 , - , - , - , - , 5 , - , - , - , - , - , - , - , 3 , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - 
Gabon, 80 , D , - , - , - , D , D , D , - , D , 3 , 9 , - , - , 3 , 3 , - , - , D , - , D , D , 14 , 4 , D , - , - , D , - , 4 , - , - , D , D , 7 , D , - , D , - , - , 4 , - , D , - , - , - , 5 , - , - , - , D , - , D , D , - , - , 1 
Gambia, 556 , D , 5 , 6 , - , 15 , 4 , D , D , - , 4 , 62 , - , - , - , 5 , 3 , D , 6 , 7 , - , - , 47 , 10 , 8 , 18 , D , 3 , - , D , - , - , 16 , - , 121 , 32 , - , 19 , D , D , 10 , - , 14 , 9 , - , 19 , 15 , D , - , D , - , 18 , 48 , - , 15 , - , 2 
Georgia," 1,271 ", - , - , 7 , - , 229 , 11 , 12 , D , 5 , 31 , 46 , - , - , 7 , 31 , D , 3 , - , 9 , D , - , 30 , 13 , 7 , 4 , - , 16 , - , D , 7 , D , 100 , 4 , 426 , 13 , - , 43 , D , 10 , 99 , - , D , 4 , D , 7 , 11 , - , - , D , - , 27 , 41 , - , D , - , 3 
Germany," 4,192 ", 32 , 19 , 107 , 16 , 702 , 135 , 54 , 11 , 23 , 395 , 142 , 3 , 31 , 15 , 125 , 42 , 20 , 31 , 34 , 21 , 13 , 88 , 124 , 110 , 46 , 6 , 51 , 15 , 6 , 39 , 18 , 138 , 32 , 281 , 112 , 3 , 81 , 30 , 49 , 111 , 3 , 14 , 63 , 4 , 48 , 278 , D , D , 23 , 12 , 146 , 155 , 12 , 57 , 3 , 60 
Ghana," 5,344 ", 5 , 3 , 38 , 3 , 153 , 67 , 98 , 36 , 20 , 79 , 255 , - , D , D , 290 , 15 , 14 , 16 , 21 , 6 , - , 389 , 345 , 37 , 87 , 8 , 31 , D , 8 , 19 , 3 , 469 , 8 , 991 , 130 , D , 324 , 48 , 15 , 121 , - , 24 , 61 , D , 63 , 253 , 7 , D , 13 , 5 , 657 , 43 , 3 , 15 , D , 37 
Gibraltar, D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - 
Greece, 867 , D , 3 , 6 , - , 82 , 4 , 27 , 3 , 3 , 66 , 13 , - , D , D , 53 , 8 , D , - , 3 , 11 , 4 , 26 , 75 , 18 , 7 , - , 3 , - , D , 9 , 9 , 63 , 3 , 186 , 27 , - , 17 , - , D , 33 , D , 5 , 4 , - , 3 , 17 , - , - , 6 , D , 30 , 15 , D , 9 , - , 2 
Greenland, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - 
Grenada, 683 , - , - , - , - , 10 , D , 4 , - , D , 41 , 13 , - , D , - , 5 , D , - , - , - , D , - , 26 , 8 , D , - , - , D , - , - , 4 , - , 23 , - , 476 , 5 , - , D , D , D , 8 , - , D , D , - , D , 24 , - , 3 , D , - , 9 , D , - , D , - , - 
Guam, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Guatemala," 8,797 ", 30 , 6 , 118 , 29 ," 3,402 ", 61 , 114 , 12 , 25 , 675 , 176 , - , 8 , 6 , 307 , 52 , 43 , 34 , 23 , 33 , 4 , 225 , 345 , 22 , 40 , 12 , 28 , D , 70 , 149 , 4 , 407 , 22 , 506 , 129 , - , 47 , 41 , 91 , 75 , 4 , 238 , 28 , 12 , 69 , 545 , 4 , - , 68 , - , 347 , 70 , - , 12 , D , 26 
Guinea, 787 , D , D , 3 , D , 9 , 12 , 10 , 6 , 6 , 8 , 54 , - , D , - , 13 , 22 , D , D , D , D , - , 76 , 12 , 12 , 23 , 3 , 4 , - , - , D , - , 31 , - , 268 , 7 , D , 37 , D , - , 44 , - , 10 , D , - , 30 , 18 , - , - , D , - , 35 , 8 , - , D , - , 3 
Guinea-Bissau, 30 , - , - , - , - , 3 , - , - , - , - , D , 4 , - , - , - , - , - , - , - , - , - , - , D , 4 , D , - , - , - , - , - , - , - , D , - , 3 , D , - , D , - , D , - , - , 6 , - , - , - , - , - , - , - , - , D , D , - , - , - , - 
Guyana," 6,201 ", 8 , - , 12 , - , 50 , 4 , 110 , 15 , 12 , 593 , 154 , D , 3 , D , 35 , 6 , D , D , 4 , 5 , - , 172 , 41 , 5 , 110 , D , 5 , - , D , 3 , D , 516 , - ," 3,990 ", 34 , - , 23 , 13 , D , 68 , - , 3 , 21 , - , 11 , 71 , 5 , 5 , 5 , D , 49 , 13 , - , 5 , - , 9 
Haiti," 19,114 ", 7 , D , 16 , - , 97 , 13 , 225 , 55 , 10 ," 12,212 ", 279 , - , 4 , 3 , 84 , 19 , D , 6 , 20 , 31 , 4 , 128 ," 1,429 ", 13 , 9 , 4 , 29 , - , 6 , 9 , 17 ," 1,068 ", 3 ," 2,436 ", 65 , - , 38 , 17 , 11 , 303 , 12 , 68 , 37 , 3 , 29 , 72 , 20 , 34 , 10 , D , 71 , 9 , 5 , 3 , - , 67 
Honduras," 5,294 ", 25 , 3 , 36 , 14 , 607 , 23 , 43 , 3 , 18 ," 1,268 ", 93 , D , 4 , 5 , 103 , 22 , 9 , 13 , 16 , 186 , 4 , 108 , 122 , 21 , 30 , 11 , 25 , - , 13 , 43 , 5 , 378 , 8 , 651 , 159 , 3 , 24 , 26 , 19 , 60 , 9 , 11 , 45 , 6 , 51 , 558 , D , D , 22 , 3 , 290 , 42 , D , 21 , - , 30 
Hong Kong," 1,980 ", 4 , D , 29 , - , 810 , 14 , 17 , D , D , 50 , 27 , D , 30 , - , 50 , 14 , 4 , 3 , D , 4 , 3 , 35 , 85 , 26 , 12 , D , 9 , - , - , 19 , 4 , 65 , D , 281 , 22 , - , 22 , 3 , 9 , 28 , D , 3 , 9 , D , 5 , 119 , - , 3 , 15 , D , 36 , 85 , - , 11 , - , 1 
Hungary," 1,014 ", 4 , 4 , 19 , 3 , 143 , 19 , 33 , D , D , 210 , 12 , - , 8 , D , 17 , 7 , D , D , 3 , D , 4 , 14 , 19 , 5 , 11 , D , 8 , D , - , 31 , D , 72 , D , 144 , 18 , D , 24 , 5 , 12 , 25 , - , D , 15 , - , D , 35 , - , - , 10 , 3 , 29 , 17 , - , 5 , D , 7 
Iceland, 97 , D , - , D , - , 14 , D , 3 , - , - , 11 , - , - , - , - , 3 , - , 3 , D , - , D , - , 4 , 5 , D , 3 , - , - , - , - , - , - , 4 , - , 6 , 4 , - , - , D , D , - , - , - , D , D , D , 4 , - , - , - , D , 13 , 5 , - , - , - , 1 
India," 42,928 ", 220 , 10 , 484 , 131 ," 8,799 ", 232 , 576 , 152 , 43 ," 1,512 "," 1,524 ", D , 15 , 20 ," 2,822 ", 390 , 128 , 200 , 183 , 144 , 21 ," 1,030 "," 1,143 "," 1,085 ", 368 , 102 , 314 , 4 , 81 , 164 , 148 ," 5,318 ", 68 ," 3,044 ", 873 , 10 , 943 , 189 , 205 ," 1,772 ", - , 45 , 278 , 5 , 488 ," 4,040 ", D , 14 , 68 , 28 ," 1,812 "," 1,162 ", 45 , 307 , 9 , 155 
Indonesia," 2,123 ", 4 , 3 , 34 , 10 , 864 , 58 , 11 , D , 8 , 39 , 68 , 3 , 15 , 3 , 38 , 7 , 4 , 7 , 5 , 3 , D , 40 , 26 , 21 , 16 , 3 , 8 , - , 6 , 17 , 33 , 66 , D , 223 , 9 , - , 35 , 9 , 19 , 119 , - , 4 , 8 , D , 6 , 115 , - , - , 11 , - , 56 , 72 , - , 8 , - , 4 
Iran," 9,627 ", 12 , D , 172 , 5 ," 5,428 ", 85 , 25 , 5 , 14 , 207 , 226 , D , 8 , 16 , 208 , 17 , 4 , 52 , 38 , 13 , 7 , 273 , 124 , 65 , 36 , 9 , 57 , - , 6 , 74 , 8 , 120 , 25 , 267 , 68 , D , 87 , 47 , 72 , 83 , 3 , 4 , 51 , D , 76 , 692 , - , - , 75 , D , 469 , 219 , 17 , 20 , D , 30 
Iraq," 3,523 ", 8 , D , 131 , 3 , 655 , 31 , 15 , 3 , 3 , 45 , 38 , - , - , 4 , 197 , 8 , 3 , 10 , 23 , 5 , 5 , 19 , 22 ," 1,424 ", 24 , D , 63 , - , 33 , 14 , 3 , 17 , 12 , 54 , 13 , D , 38 , 9 , 16 , 43 , - , D , 17 , D , 129 , 130 , D , - , 19 , D , 134 , 42 , 4 , 5 , - , 40 
Ireland," 1,239 ", D , 3 , 14 , 3 , 197 , 17 , 27 , D , 8 , 73 , 22 , - , 3 , D , 68 , 5 , 3 , - , 11 , 3 , 5 , 17 , 144 , 12 , 9 , - , 5 , 3 , - , D , 10 , 69 , D , 247 , 31 , - , 19 , D , 12 , 46 , - , 4 , 8 , D , 9 , 45 , - , - , - , 6 , 27 , 29 , D , 14 , - , 1 
Israel," 2,859 ", 3 , - , 41 , 3 , 607 , 25 , 20 , 4 , 8 , 331 , 67 , - , 7 , D , 117 , 15 , 3 , 3 , 6 , 13 , D , 53 , 88 , 36 , 13 , D , 16 , - , 3 , 36 , 4 , 202 , 3 , 684 , 42 , - , 53 , 10 , 14 , 71 , - , D , 12 , - , 11 , 119 , - , - , D , D , 41 , 46 , D , 13 , - , 7 
Italy," 2,234 ", 4 , D , 33 , D , 328 , 17 , 50 , 8 , 15 , 250 , 38 , D , 8 , D , 96 , 11 , 5 , 7 , 3 , 5 , 3 , 47 , 109 , 58 , 14 , - , 18 , 3 , - , 15 , 7 , 210 , 9 , 420 , 27 , - , 37 , 3 , 13 , 98 , 6 , 13 , 7 , 3 , 9 , 60 , D , - , 5 , 4 , 72 , 41 , 3 , 14 , - , 22 
Jamaica," 15,531 ", 37 , D , 39 , D , 235 , 41 , 664 , 58 , 49 ," 4,432 ", 734 , - , 7 , D , 194 , 25 , 3 , 7 , 21 , 18 , 16 , 473 , 398 , 59 , 21 , 24 , 37 , D , 4 , 24 , 19 ," 1,017 ", 5 ," 5,277 ", 164 , D , 91 , 50 , 12 , 409 , - , 24 , 143 , D , 32 , 262 , 28 , 10 , 5 , 4 , 230 , 29 , 10 , 22 , - , 60 
Japan," 1,663 ", 7 , 3 , 33 , D , 548 , 26 , 23 , - , 3 , 44 , 25 , 9 , 142 , D , 57 , 7 , 5 , D , 7 , 4 , - , 23 , 21 , 22 , 7 , 3 , 7 , D , 4 , 35 , 5 , 65 , 9 , 178 , 17 , - , 25 , 4 , 27 , 19 , - , D , 7 , D , 7 , 52 , - , D , 10 , D , 54 , 87 , D , 7 , - , 11 
Jordan," 2,436 ", 15 , - , 27 , 10 , 371 , 12 , 15 , - , D , 145 , 21 , - , - , D , 351 , 26 , 4 , 18 , 10 , 45 , D , 26 , 34 , 122 , 22 , 5 , 32 , D , 5 , 6 , 4 , 154 , 17 , 155 , 60 , D , 153 , 5 , 7 , 72 , 3 , 3 , 9 , - , 50 , 223 , - , 10 , 7 , - , 92 , 22 , 5 , 35 , - , 21 
Kazakhstan," 1,040 ", 8 , 5 , 11 , D , 203 , 17 , 4 , D , D , 60 , 9 , - , D , 5 , 28 , 5 , - , D , 6 , D , 6 , 22 , 45 , 5 , 24 , - , 10 , D , D , 5 , D , 31 , D , 184 , 14 , - , 25 , 3 , 35 , 49 , - , D , 19 , - , 6 , 36 , - , - , 3 , D , 36 , 89 , D , 8 , D , 6 
Kenya," 4,170 ", 51 , D , 67 , 6 , 341 , 47 , 23 , 75 , 15 , 78 , 257 , - , 4 , 8 , 92 , 60 , 33 , 97 , 21 , 10 , 12 , 202 , 353 , 50 , 332 , 6 , 80 , - , 17 , 17 , 23 , 225 , 6 , 98 , 143 , 10 , 117 , 51 , 23 , 89 , - , 7 , 54 , 3 , 44 , 558 , 4 , D , 5 , 3 , 127 , 180 , 7 , 19 , D , 17 
Kiribati, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
"Korea, North", 19 , - , - , - , - , 8 , - , - , - , - , - , D , - , - , - , D , - , - , - , 3 , - , - , D , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - 
"Korea, South"," 13,790 ", 50 , 36 , 117 , 20 ," 4,308 ", 216 , 63 , 36 , 13 , 209 , 599 , 57 , 185 , 11 , 539 , 66 , 24 , 56 , 36 , 24 , 10 , 408 , 194 , 139 , 56 , 5 , 58 , 3 , 12 , 127 , 10 ," 1,152 ", 19 ," 1,315 ", 217 , D , 114 , 66 , 100 , 372 , D , 24 , 88 , 4 , 68 , 660 , 16 , 4 , 52 , 5 ," 1,118 ", 585 , - , 40 , D , 79 
Kosovo, 510 , D , D , 19 , - , 12 , 5 , 17 , D , - , 33 , 13 , - , - , D , 23 , 5 , 8 , D , 9 , - , - , 5 , 9 , 20 , D , D , 9 , - , D , 3 , D , 27 , - , 174 , 9 , - , D , 4 , D , 16 , - , D , D , D , 11 , 22 , - , - , 3 , - , 7 , D , - , 18 , - , 1 
Kuwait, 820 , 12 , - , 11 , D , 107 , 5 , 6 , - , D , 48 , 20 , - , - , D , 53 , 7 , D , 8 , D , 18 , 5 , 13 , 19 , 34 , 10 , 6 , 10 , D , - , 4 , D , 43 , - , 57 , 29 , - , 43 , 11 , 4 , 11 , D , D , 7 , - , 18 , 94 , D , - , 4 , - , 54 , 16 , D , 10 , - , 6 
Kyrgyzstan, 420 , 3 , 9 , 5 , - , 47 , 5 , 4 , - , - , 19 , 3 , - , D , D , 9 , - , D , D , D , D , D , 7 , 18 , D , 10 , - , 10 , - , D , 5 , D , 12 , - , 82 , 3 , D , 13 , 4 , 18 , 21 , - , - , 4 , - , 6 , 7 , - , - , D , - , 14 , 55 , 3 , 3 , D , 3 
Laos," 7,027 ", 11 , 108 , 15 , 22 ," 4,018 ", 33 , 27 , 4 , D , 61 , 75 , - , 11 , 6 , 30 , 17 , 35 , 58 , D , 9 , D , 9 , 52 , 64 , 848 , D , 20 , - , 5 , 37 , 8 , 3 , 5 , 26 , 121 , - , 38 , 33 , 64 , 32 , - , 27 , 11 , - , 69 , 219 , - , - , 23 , - , 33 , 131 , - , 589 , D , 12 
Latvia, 392 , D , - , 4 , D , 72 , 5 , 4 , 3 , - , 32 , 11 , - , D , D , 18 , D , D , - , D , - , - , 7 , 18 , 4 , 8 , D , D , D , D , 3 , - , 32 , - , 80 , 8 , D , 4 , D , 5 , 7 , - , D , D , D , - , 8 , - , - , 3 , - , 10 , 14 , - , 9 , - , 2 
Lebanon," 2,914 ", 9 , - , 38 , - , 552 , 14 , 25 , D , 10 , 174 , 39 , - , D , D , 67 , 13 , 10 , 18 , 7 , 14 , 3 , 35 , 222 , 603 , 22 , 4 , 18 , - , 3 , 26 , 11 , 102 , D , 160 , 44 , D , 132 , 18 , 17 , 46 , D , 27 , 16 , - , 23 , 195 , - , - , 11 , D , 132 , 24 , 3 , 4 , - , 13 
Lesotho, 7 , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , D , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Liberia," 4,322 ", 9 , - , 103 , D , 117 , 38 , 34 , 68 , 14 , 43 , 164 , - , D , 11 , 70 , 35 , 63 , 3 , 27 , 9 , D , 296 , 150 , 32 , 714 , - , 45 , - , 12 , 3 , 9 , 289 , D , 305 , 162 , 22 , 97 , 20 , 10 , 690 , - , 156 , 20 , 21 , 40 , 192 , D , - , 18 , D , 126 , 22 , 6 , 21 , - , 26 
Libya, 195 , - , - , 4 , - , 34 , 7 , 4 , - , - , 17 , D , - , - , - , 10 , D , - , D , D , D , D , 4 , 4 , 7 , 4 , - , D , - , 3 , - , - , 12 , - , 10 , 5 , - , 6 , D , D , 5 , - , D , 3 , - , 4 , 17 , - , - , D , - , 10 , 8 , - , D , - , 2 
Lithuania, 938 , D , D , 8 , - , 78 , 20 , 14 , D , D , 60 , 19 , - , D , - , 394 , 4 , - , D , D , D , D , 12 , 37 , 15 , 8 , D , 9 , - , - , 5 , - , 61 , D , 65 , 6 , - , 26 , D , D , 13 , - , D , 4 , D , - , 12 , D , - , D , D , 19 , 9 , - , 11 , - , 5 
Luxembourg, 23 , - , - , D , - , 5 , D , - , - , - , 4 , - , - , - , - , - , D , D , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , D , - , D , D , - , - , - , - , D , D , - , - , - , - 
Macau, 106 , - , - , - , - , 52 , - , D , - , - , 3 , D , - , 4 , - , 3 , - , - , - , - , - , - , D , D , - , D , - , - , D , - , D , - , - , - , 16 , D , - , - , - , - , - , - , - , D , - , D , 8 , - , - , - , - , - , 6 , D , - , - , - 
Macedonia, 635 , - , 6 , 9 , - , 24 , D , 29 , - , D , 36 , D , - , - , D , 87 , 41 , 6 , D , D , - , - , D , 9 , 54 , D , - , 7 , - , D , 6 , - , 127 , - , 98 , D , - , 20 , D , - , 7 , - , - , 5 , - , 4 , 8 , D , - , D , D , 9 , 4 , D , 16 , - , 4 
Madagascar, 37 , D , - , - , - , 3 , - , D , - , D , 4 , D , - , - , - , D , - , D , D , - , - , - , D , D , 3 , D , - , - , - , - , - , - , - , - , 4 , - , - , D , - , D , D , - , - , - , - , D , 4 , - , - , - , D , D , - , - , - , - , - 
Malawi, 85 , - , - , - , - , 10 , - , D , - , D , 3 , 6 , - , - , - , 4 , 9 , - , 3 , - , D , - , D , - , D , 3 , - , 5 , - , D , - , D , 3 , - , 3 , 5 , - , 3 , D , - , D , - , - , - , - , D , 13 , - , - , - , - , - , - , - , - , - , - 
Malaysia," 1,150 ", 6 , 4 , 19 , D , 258 , 10 , 10 , - , 5 , 34 , 36 , - , 9 , D , 29 , 12 , D , 16 , 7 , 10 , D , 19 , 20 , 17 , 25 , 3 , 12 , - , 4 , 18 , 3 , 44 , D , 216 , 26 , - , 16 , 12 , 16 , 23 , - , D , D , - , 8 , 102 , D , - , 3 , D , 39 , 33 , D , 6 , - , 4 
Maldives, 3 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Mali, 288 , - , - , 5 , - , 14 , 15 , D , D , D , 4 , 9 , - , - , - , 9 , 9 , D , - , - , D , - , 24 , 4 , - , D , - , - , - , - , D , D , 8 , D , 80 , 8 , - , 7 , - , D , 51 , D , D , - , - , 4 , 7 , - , - , - , - , 11 , 3 , - , D , - , - 
Malta, 44 , - , - , - , - , 7 , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , D , 4 , - , - , D , - , D , D , - , D , - , 17 , D , - , - , - , - , - , - , - , 3 , - , - , 4 , - , - , - , - , - , - , - , - , - , - 
Marshall Islands, 21 , - , - , D , - , - , D , - , - , - , - , D , D , 5 , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , D , - , - , - , - , - , - , - , D , - , - , D , D , D , - , - , D , D , - , - , - , - 
Mauritania, 495 , - , 3 , 3 , - , 6 , 30 , - , - , 3 , D , 15 , - , - , - , 8 , 3 , D , - , 21 , D , - , 7 , 3 , 10 , - , D , 4 , - , - , 3 , D , 8 , - , 159 , 4 , - , 101 , - , - , 19 , - , - , 3 , - , 34 , 4 , - , - , - , D , 13 , 20 , - , D , - , 3 
Mauritius, 57 , - , - , - , - , 11 , D , - , - , - , 4 , - , - , D , D , 3 , - , - , - , - , - , - , D , 3 , - , D , - , D , - , - , - , D , 5 , - , D , D , - , - , - , 3 , D , - , D , D , - , D , 5 , - , - , D , - , 6 , D , - , D , - , - 
Mexico," 102,181 ", 308 , 54 ," 6,193 ", 515 ," 39,755 "," 1,930 ", 151 , 135 , 23 ," 2,413 "," 1,708 ", 5 , 65 , 549 ," 5,790 ", 727 , 409 , 754 , 199 , 167 , 6 , 354 , 180 , 735 , 530 , 127 , 439 , 21 , 497 ," 1,942 ", 41 , 678 ," 1,648 "," 1,248 "," 1,469 ", 13 , 348 , 748 ," 1,330 ", 498 , 59 , 39 , 452 , 23 , 555 ," 21,535 ", 61 , - , 999 , 7 , 665 ," 2,042 ", 28 , 685 , 72 , 257 
"Micronesia, Federated States", 73 , - , - , - , - , 4 , D , - , - , - , - , D , 5 , 7 , - , D , - , - , D , D , - , - , - , - , - , D , - , D , - , - , - , - , - , D , - , 6 , - , - , 3 , D , - , - , - , 4 , - , 3 , 9 , 6 , D , - , - , 6 , 7 , - , - , - , 1 
Moldova," 1,602 ", 5 , 6 , 4 , D , 391 , 11 , 7 , D , - , 47 , 38 , - , - , 3 , 32 , 8 , - , 3 , 8 , - , 3 , 10 , 84 , 7 , 115 , D , 25 , - , D , 9 , D , 30 , 3 , 133 , 96 , - , 17 , D , 92 , 33 , - , - , 7 , D , 30 , 18 , - , - , D , 3 , 19 , 289 , - , D , - , 4 
