SUPPLEMENTAL TABLE 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY COUNTRY OF BIRTH AND STATE OF INTENDED RESIDENCE: FISCAL YEAR 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Malta,80,-,-,D,-,17,-,-,-,-,5,-,-,-,D,-,-,-,-,-,-,D,D,8,-,-,-,-,-,-,-,D,-,36,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,1
Moldova,711,-,D,-,-,135,10,7,-,D,19,14,-,D,13,D,D,-,3,-,D,10,17,13,18,-,4,-,D,3,-,26,D,174,12,-,15,D,15,35,-,-,-,-,11,-,-,3,D,22,113,-,D,-,5
Monaco,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Netherlands,722,-,D,14,-,188,15,16,D,-,73,7,4,D,17,4,-,D,3,3,5,21,24,28,11,D,7,4,D,5,9,30,6,49,6,-,17,4,16,18,3,8,D,4,37,-,3,5,D,13,17,D,9,3,2
Norway,137,-,D,4,-,23,3,8,-,D,9,-,D,-,4,D,-,-,-,-,-,3,4,D,4,-,D,D,-,D,-,9,-,14,D,-,D,D,D,3,D,-,-,-,9,-,-,D,-,D,14,-,3,-,2
Poland,"10,335",3,3,37,7,370,96,395,18,3,264,28,7,5,"4,409",47,7,D,9,5,15,58,249,355,29,3,35,4,7,31,11,"1,193",10,"1,646",31,-,149,7,23,213,34,23,-,39,114,-,D,13,6,43,67,3,80,-,128
Portugal,"2,173",D,-,6,-,273,-,101,D,3,47,4,3,D,D,D,-,-,-,-,D,27,637,5,3,-,D,-,D,6,17,538,-,135,10,-,-,D,3,47,227,-,-,D,10,-,D,6,D,19,3,-,D,-,27
Romania,"4,388",6,4,102,5,735,35,67,D,4,203,92,7,16,571,22,4,3,5,8,7,47,57,580,28,D,33,D,6,47,17,129,8,427,25,D,381,7,131,106,6,13,D,17,140,-,3,8,6,52,159,D,24,-,28
Russia,"7,586",10,34,61,D,"1,490",259,88,19,10,246,57,9,8,226,32,10,19,25,14,11,218,326,165,163,D,81,12,14,48,13,420,17,"1,574",47,3,268,22,107,286,17,22,4,38,185,-,3,48,13,132,526,9,54,7,113
San Marino,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
